,Unnamed: 0.1,Unnamed: 0,Date,CAG,CAG_6m,CAG_12m
0,0,0,2019-02-05,18.605239868164062,,
1,1,1,2019-02-06,18.462060928344727,,
2,2,2,2019-02-07,18.714733123779297,,
3,3,3,2019-02-08,18.689468383789062,,
4,4,4,2019-02-11,19.21165657043457,,
5,5,5,2019-02-12,19.98652458190918,,
6,6,6,2019-02-13,19.834917068481445,18.605239868164062,
7,7,7,2019-02-14,19.978103637695312,18.462060928344727,
8,8,8,2019-02-15,20.635053634643555,18.714733123779297,
9,9,9,2019-02-19,20.222352981567383,18.689468383789062,
10,10,10,2019-02-20,20.23919486999512,19.21165657043457,
11,11,11,2019-02-21,20.272890090942383,19.98652458190918,
12,12,12,2019-02-22,19.69174194335937,19.834917068481445,18.605239868164062
13,13,13,2019-02-25,19.63278579711914,19.978103637695312,18.462060928344727
14,14,14,2019-02-26,19.67489624023437,20.635053634643555,18.714733123779297
15,15,15,2019-02-27,19.447486877441406,20.222352981567383,18.689468383789062
16,16,16,2019-02-28,19.68331718444824,20.23919486999512,19.21165657043457
17,17,17,2019-03-01,19.59066772460937,20.272890090942383,19.98652458190918
18,18,18,2019-03-04,19.514867782592773,19.69174194335937,19.834917068481445
19,19,19,2019-03-05,19.262195587158203,19.63278579711914,19.978103637695312
20,20,20,2019-03-06,19.279035568237305,19.67489624023437,20.635053634643555
21,21,21,2019-03-07,18.841073989868164,19.447486877441406,20.222352981567383
22,22,22,2019-03-08,18.92529487609864,19.68331718444824,20.23919486999512
23,23,23,2019-03-11,19.28746223449707,19.59066772460937,20.272890090942383
24,24,24,2019-03-12,19.19481468200684,19.514867782592773,19.69174194335937
25,25,25,2019-03-13,19.40538024902344,19.262195587158203,19.63278579711914
26,26,26,2019-03-14,19.447486877441406,19.279035568237305,19.67489624023437
27,27,27,2019-03-15,19.447486877441406,18.841073989868164,19.447486877441406
28,28,28,2019-03-18,19.430639266967773,18.92529487609864,19.68331718444824
29,29,29,2019-03-19,19.21165657043457,19.28746223449707,19.59066772460937
30,30,30,2019-03-20,19.28746223449707,19.19481468200684,19.514867782592773
31,31,31,2019-03-21,21.7468204498291,19.40538024902344,19.262195587158203
32,32,32,2019-03-22,22.277442932128903,19.447486877441406,19.279035568237305
33,33,33,2019-03-25,23.04388427734375,19.447486877441406,18.841073989868164
34,34,34,2019-03-26,22.84174156188965,19.430639266967773,18.92529487609864
35,35,35,2019-03-27,22.84174156188965,19.21165657043457,19.28746223449707
36,36,36,2019-03-28,23.36394119262696,19.28746223449707,19.19481468200684
37,37,37,2019-03-29,23.36394119262696,21.7468204498291,19.40538024902344
38,38,38,2019-04-01,23.27129173278809,22.277442932128903,19.447486877441406
39,39,39,2019-04-02,23.069149017333984,23.04388427734375,19.447486877441406
40,40,40,2019-04-03,23.13652801513672,22.84174156188965,19.430639266967773
41,41,41,2019-04-04,23.406051635742188,22.84174156188965,19.21165657043457
42,42,42,2019-04-05,23.82717704772949,23.36394119262696,19.28746223449707
43,43,43,2019-04-08,23.835596084594727,23.36394119262696,21.7468204498291
44,44,44,2019-04-09,23.19548797607422,23.27129173278809,22.277442932128903
45,45,45,2019-04-10,24.753643035888672,23.069149017333984,23.04388427734375
46,46,46,2019-04-11,25.082124710083008,23.13652801513672,22.84174156188965
47,47,47,2019-04-12,25.056854248046875,23.406051635742188,22.84174156188965
48,48,48,2019-04-15,25.33479881286621,23.82717704772949,23.36394119262696
49,49,49,2019-04-16,25.34321594238281,23.835596084594727,23.36394119262696
50,50,50,2019-04-17,25.368484497070312,23.19548797607422,23.27129173278809
51,51,51,2019-04-18,25.705385208129883,24.753643035888672,23.069149017333984
52,52,52,2019-04-22,26.008594512939453,25.082124710083008,23.13652801513672
53,53,53,2019-04-23,26.01701736450196,25.056854248046875,23.406051635742188
54,54,54,2019-04-24,26.345495223999023,25.33479881286621,23.82717704772949
55,55,55,2019-04-25,26.06755256652832,25.34321594238281,23.835596084594727
56,56,56,2019-04-26,26.10124588012696,25.368484497070312,23.19548797607422
57,57,57,2019-04-29,25.747596740722656,25.705385208129883,24.753643035888672
58,58,58,2019-04-30,26.10378646850586,26.008594512939453,25.082124710083008
59,59,59,2019-05-01,25.56101417541504,26.01701736450196,25.056854248046875
60,60,60,2019-05-02,25.39988136291504,26.345495223999023,25.33479881286621
61,61,61,2019-05-03,25.450767517089844,26.06755256652832,25.34321594238281
62,62,62,2019-05-06,25.272668838500977,26.10124588012696,25.368484497070312
63,63,63,2019-05-07,24.763824462890625,25.747596740722656,25.705385208129883
64,64,64,2019-05-08,25.094572067260746,26.10378646850586,26.008594512939453
65,65,65,2019-05-09,24.789268493652344,25.56101417541504,26.01701736450196
66,66,66,2019-05-10,24.35675048828125,25.39988136291504,26.345495223999023
67,67,67,2019-05-13,23.83942604064941,25.450767517089844,26.06755256652832
68,68,68,2019-05-14,24.254976272583008,25.272668838500977,26.10124588012696
69,69,69,2019-05-15,24.594207763671875,24.763824462890625,25.747596740722656
70,70,70,2019-05-16,24.679018020629883,25.094572067260746,26.10378646850586
71,71,71,2019-05-17,24.66205596923828,24.789268493652344,25.56101417541504
72,72,72,2019-05-20,24.153209686279297,24.35675048828125,25.39988136291504
73,73,73,2019-05-21,24.221057891845703,23.83942604064941,25.450767517089844
74,74,74,2019-05-22,24.12776756286621,24.254976272583008,25.272668838500977
75,75,75,2019-05-23,24.50092124938965,24.594207763671875,24.763824462890625
76,76,76,2019-05-24,24.45003700256348,24.679018020629883,25.094572067260746
