,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GWW,GWW_6m,GWW_12m,GWW_6m_ret,GWW_12m_ret
0,0,0,0,2019-02-05,278.0477600097656,,,,
1,1,1,1,2019-02-06,281.3195495605469,,,,
2,2,2,2,2019-02-07,280.8932189941406,,,,
3,3,3,3,2019-02-08,279.7108154296875,,,,
4,4,4,4,2019-02-11,285.67877197265625,,,,
5,5,5,5,2019-02-12,290.96697998046875,,,,
6,6,6,6,2019-02-13,291.7025146484375,278.0477600097656,,0.049109385517769555,
7,7,7,7,2019-02-14,290.3059997558594,281.3195495605469,,0.031943923589207834,
8,8,8,8,2019-02-15,294.78424072265625,280.8932189941406,,0.04945303335644202,
9,9,9,9,2019-02-19,292.9501037597656,279.7108154296875,,0.047332057252559734,
10,10,10,10,2019-02-20,289.58905029296875,285.67877197265625,,0.013687675473089689,
11,11,11,11,2019-02-21,288.239013671875,290.96697998046875,,-0.009375518516832604,
12,12,12,12,2019-02-22,290.8273620605469,291.7025146484375,278.0477600097656,-0.0030001544174048655,0.045961895360467686
13,13,13,13,2019-02-25,289.9057312011719,290.3059997558594,281.3195495605469,-0.001378781544384644,0.030521098352523257
14,14,14,14,2019-02-26,287.2707824707031,294.78424072265625,280.8932189941406,-0.02548799160204107,0.02270458325551661
15,15,15,15,2019-02-27,289.6635437011719,292.9501037597656,279.7108154296875,-0.011218839032359207,0.035582207488813467
16,16,16,16,2019-02-28,283.75146484375,289.58905029296875,285.67877197265625,-0.020158170494751215,-0.0067464135175249185
17,17,17,17,2019-03-01,281.6659851074219,288.239013671875,290.96697998046875,-0.022804090538332544,-0.03196580888206357
18,18,18,18,2019-03-04,281.7497863769531,290.8273620605469,291.7025146484375,-0.031212935465487313,-0.03411944625667518
19,19,19,19,2019-03-05,280.520751953125,289.9057312011719,290.3059997558594,-0.03237252057474649,-0.033706667485217445
20,20,20,20,2019-03-06,281.59149169921875,287.2707824707031,294.78424072265625,-0.019769816904590898,-0.0447539155793939
21,21,21,21,2019-03-07,277.1690673828125,289.6635437011719,292.9501037597656,-0.04313444542834555,-0.053869366060694035
22,22,22,22,2019-03-08,273.1656494140625,283.75146484375,289.58905029296875,-0.03730664592521726,-0.056712782690820585
23,23,23,23,2019-03-11,274.6459655761719,281.6659851074219,288.239013671875,-0.024923206572397105,-0.047158946051547135
24,24,24,24,2019-03-12,274.9997863769531,281.7497863769531,290.8273620605469,-0.023957427215114846,-0.054422581051017604
