,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CBRE,CBRE_6m,CBRE_12m,CBRE_6m_ret,CBRE_12m_ret
0,0,0,0,2019-02-05,46.56999969482422,,,,
1,1,1,1,2019-02-06,46.27999877929688,,,,
2,2,2,2,2019-02-07,46.15999984741211,,,,
3,3,3,3,2019-02-08,46.38999938964844,,,,
4,4,4,4,2019-02-11,46.7599983215332,,,,
5,5,5,5,2019-02-12,47.83000183105469,,,,
6,6,6,6,2019-02-13,49.2400016784668,46.56999969482422,,0.05733308999654807,
7,7,7,7,2019-02-14,49.47999954223633,46.27999877929688,,0.06914435711633926,
8,8,8,8,2019-02-15,50.040000915527344,46.15999984741211,,0.08405548268936491,
9,9,9,9,2019-02-19,50.130001068115234,46.38999938964844,,0.08062086069570729,
10,10,10,10,2019-02-20,50.119998931884766,46.7599983215332,,0.07185630305731361,
11,11,11,11,2019-02-21,50.56999969482422,47.83000183105469,,0.05728617518033485,
12,12,12,12,2019-02-22,50.869998931884766,49.2400016784668,46.56999969482422,0.03310311124808063,0.09233410490098093
13,13,13,13,2019-02-25,50.470001220703125,49.47999954223633,46.27999877929688,0.020008118181604306,0.09053592376671848
14,14,14,14,2019-02-26,49.9900016784668,50.040000915527344,46.15999984741211,-0.0009991853746156298,0.08297231030578978
15,15,15,15,2019-02-27,49.720001220703125,50.130001068115234,46.38999938964844,-0.008178732070143302,0.07178275220666963
16,16,16,16,2019-02-28,49.7599983215332,50.119998931884766,46.7599983215332,-0.007182773703583223,0.06415740178969354
17,17,17,17,2019-03-01,49.66999816894531,50.56999969482422,47.83000183105469,-0.017797143193793996,0.038469501723831456
18,18,18,18,2019-03-04,50.310001373291016,50.869998931884766,49.2400016784668,-0.011008405157302836,0.021730293630191744
19,19,19,19,2019-03-05,50.5,50.470001220703125,49.47999954223633,0.0005943883212067291,0.02061439909458751
20,20,20,20,2019-03-06,49.29999923706055,49.9900016784668,50.040000915527344,-0.013802808926559162,-0.014788202736366718
21,21,21,21,2019-03-07,49.86000061035156,49.720001220703125,50.130001068115234,0.002815755957587207,-0.00538600542610812
22,22,22,22,2019-03-08,50.09000015258789,49.7599983215332,50.119998931884766,0.006631869818851666,-0.0005985391048719535
23,23,23,23,2019-03-11,50.56999969482422,49.66999816894531,50.56999969482422,0.018119620677610637,0.0
24,24,24,24,2019-03-12,49.790000915527344,50.310001373291016,50.869998931884766,-0.010335926129386497,-0.021230549224181106
25,25,25,25,2019-03-13,50.33000183105469,50.5,50.470001220703125,-0.0033663003751547294,-0.0027739129435766507
26,26,26,26,2019-03-14,50.11000061035156,49.29999923706055,49.9900016784668,0.01643004839403961,0.0024004586488433066
27,27,27,27,2019-03-15,50.63999938964844,49.86000061035156,49.720001220703125,0.015643777973298745,0.018503582991913348
28,28,28,28,2019-03-18,50.88999938964844,50.09000015258789,49.7599983215332,0.015971236466830296,0.02270902544677611
29,29,29,29,2019-03-19,50.56999969482422,50.56999969482422,49.66999816894531,0.0,0.018119620677610637
30,30,30,30,2019-03-20,49.369998931884766,49.790000915527344,50.310001373291016,-0.008435468486034825,-0.018684206236282974
31,31,31,31,2019-03-21,49.720001220703125,50.33000183105469,50.5,-0.012120019633601098,-0.015445520382116329
