,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IPG,IPG_6m,IPG_12m,IPG_6m_ret,IPG_12m_ret
0,0,0,0,2019-02-05,18.73149681091309,,,,
1,1,1,1,2019-02-06,17.676313400268555,,,,
2,2,2,2,2019-02-07,17.90534210205078,,,,
3,3,3,3,2019-02-08,18.08530235290528,,,,
4,4,4,4,2019-02-11,17.839908599853516,,,,
5,5,5,5,2019-02-12,17.72539520263672,,,,
6,6,6,6,2019-02-13,18.56789779663086,18.73149681091309,,-0.008733899694920111,
7,7,7,7,2019-02-14,18.837831497192383,17.676313400268555,,0.06571042675143901,
8,8,8,8,2019-02-15,19.124116897583008,17.90534210205078,,0.06806766319156976,
9,9,9,9,2019-02-19,19.05050277709961,18.08530235290528,,0.0533693274992042,
10,10,10,10,2019-02-20,19.35315322875977,17.839908599853516,,0.08482356400181779,
11,11,11,11,2019-02-21,19.14866065979004,17.72539520263672,,0.08029527358248156,
12,12,12,12,2019-02-22,19.426767349243164,18.56789779663086,18.73149681091309,0.04625561611870488,0.03711772451227735
13,13,13,13,2019-02-25,19.344974517822266,18.837831497192383,17.676313400268555,0.026921518047630322,0.09440096923877572
14,14,14,14,2019-02-26,19.328611373901367,19.124116897583008,17.90534210205078,0.010693015390645488,0.07948852715232801
15,15,15,15,2019-02-27,18.821474075317383,19.05050277709961,18.08530235290528,-0.01202218673501565,0.040705524743070765
16,16,16,16,2019-02-28,19.032207489013672,19.35315322875977,17.839908599853516,-0.01658364070972973,0.06683323978296318
17,17,17,17,2019-03-01,19.11484909057617,19.14866065979004,17.72539520263672,-0.0017657406862335856,0.07838775226477113
18,18,18,18,2019-03-04,18.974348068237305,19.426767349243164,18.56789779663086,-0.02328844901843563,0.02188994554247259
19,19,19,19,2019-03-05,18.95783042907715,19.344974517822266,18.837831497192383,-0.020012644027442184,0.006370103262822502
20,20,20,20,2019-03-06,18.883451461791992,19.328611373901367,19.124116897583008,-0.023031137803849466,-0.012584394724204584
21,21,21,21,2019-03-07,18.470251083374023,18.821474075317383,19.05050277709961,-0.018660759010579064,-0.03045860261615252
22,22,22,22,2019-03-08,18.38760566711425,19.032207489013672,19.35315322875977,-0.03386899928826004,-0.04989096868259513
23,23,23,23,2019-03-11,18.63553047180176,19.11484909057617,19.14866065979004,-0.025075720791890355,-0.02679718425768496
24,24,24,24,2019-03-12,18.561153411865234,18.974348068237305,19.426767349243164,-0.021776487649857623,-0.044557796045858966
25,25,25,25,2019-03-13,18.371078491210938,18.95783042907715,19.344974517822266,-0.030950373781498897,-0.050343618995935646
26,26,26,26,2019-03-14,18.52809333801269,18.883451461791992,19.328611373901367,-0.01881849430430227,-0.041416220772568346
27,27,27,27,2019-03-15,18.46198081970215,18.470251083374023,18.821474075317383,-0.0004477613019197024,-0.01910016474674936
28,28,28,28,2019-03-18,18.35454750061035,18.38760566711425,19.032207489013672,-0.0017978505250970667,-0.0356059584152022
29,29,29,29,2019-03-19,18.412399291992188,18.63553047180176,19.11484909057617,-0.011973427863897101,-0.03674890632175043
30,30,30,30,2019-03-20,18.13141822814941,18.561153411865234,18.974348068237305,-0.023152396523004604,-0.04442470629591444
31,31,31,31,2019-03-21,18.12315368652344,18.371078491210938,18.95783042907715,-0.013495386501457096,-0.0440280730264101
32,32,32,32,2019-03-22,17.462026596069336,18.52809333801269,18.883451461791992,-0.05753785467801953,-0.07527357319178163
33,33,33,33,2019-03-25,17.321533203125,18.46198081970215,18.470251083374023,-0.06177276575653745,-0.06219286760443887
34,34,34,34,2019-03-26,17.181047439575195,18.35454750061035,18.38760566711425,-0.06393511259245876,-0.06561801734180939
35,35,35,35,2019-03-27,17.371126174926758,18.412399291992188,18.63553047180176,-0.05655282076781243,-0.06784911751174616
36,36,36,36,2019-03-28,17.2967472076416,18.13141822814941,18.561153411865234,-0.046034513682551514,-0.06812110089103407
37,37,37,37,2019-03-29,17.362857818603516,18.12315368652344,18.371078491210938,-0.04195163165698301,-0.054880864674862306
38,38,38,38,2019-04-01,17.495088577270508,17.462026596069336,18.52809333801269,0.0018933644969143515,-0.055753430312381114
