,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MAS,MAS_6m,MAS_12m,MAS_6m_ret,MAS_12m_ret
563,563,563,563,2021-04-30,60.53782653808594,60.7178955078125,59.21107864379883,-0.0029656655294219014,0.022407088752234072
564,564,564,564,2021-05-03,61.731910705566406,61.3623161315918,59.90288162231445,0.006023152274467813,0.03053324036703131
565,565,565,565,2021-05-04,62.110984802246094,60.08294296264648,61.21068954467773,0.03375403633041829,0.014708137814902988
566,566,566,566,2021-05-05,62.092018127441406,60.24404525756836,61.17278289794922,0.030674780585735695,0.015026866294863384
567,567,567,567,2021-05-06,62.59430694580078,60.64207458496094,60.177711486816406,0.03219270406233754,0.0401576497224192
568,568,568,568,2021-05-07,63.36192321777344,61.54236602783203,60.69893646240234,0.029565928438931355,0.043872049669611446
569,569,569,569,2021-05-10,63.59883880615234,60.53782653808594,60.7178955078125,0.050563630098953594,0.047448009754704756
570,570,570,570,2021-05-11,61.30545425415039,61.731910705566406,61.3623161315918,-0.0069082010671923655,-0.0009266579396948194
571,571,571,571,2021-05-12,58.869911193847656,62.110984802246094,60.08294296264648,-0.05218197101072586,-0.020189286825596398
572,572,572,572,2021-05-13,60.43358612060547,62.092018127441406,60.24404525756836,-0.02670926242777405,0.003146217393382944
573,573,573,573,2021-05-14,60.793701171875,62.59430694580078,60.64207458496094,-0.02876628661269298,0.002500352897749636
574,574,574,574,2021-05-17,60.47148895263672,63.36192321777344,61.54236602783203,-0.04561784299384919,-0.017400648436412314
575,575,575,575,2021-05-18,58.424503326416016,63.59883880615234,60.53782653808594,-0.08135896152927513,-0.034909135866322716
576,576,576,576,2021-05-19,58.22548675537109,61.30545425415039,61.731910705566406,-0.0502396978580546,-0.05680083299088845
577,577,577,577,2021-05-20,58.0264778137207,58.869911193847656,62.110984802246094,-0.014327070705944855,-0.06576142692842446
578,578,578,578,2021-05-21,57.49577331542969,60.43358612060547,62.092018127441406,-0.04861225344650044,-0.07402311843976639
579,579,579,579,2021-05-24,57.47682189941406,60.793701171875,62.59430694580078,-0.054559587729056114,-0.08175639760366471
580,580,580,580,2021-05-25,57.85589218139648,60.47148895263672,63.36192321777344,-0.04325338794433964,-0.08689810467799186
581,581,581,581,2021-05-26,57.95066833496094,58.424503326416016,63.59883880615234,-0.008110210005685015,-0.08880933327111329
582,582,582,582,2021-05-27,57.527320861816406,58.22548675537109,61.30545425415039,-0.011990726612350344,-0.06162801398830198
583,583,583,583,2021-05-28,57.375099182128906,58.0264778137207,58.869911193847656,-0.011225541444767395,-0.02539178302472056
584,584,584,584,2021-06-01,57.670021057128906,57.49577331542969,60.43358612060547,0.003030618281160802,-0.045728960349322945
585,585,585,585,2021-06-02,56.49987411499024,57.47682189941406,60.793701171875,-0.016997247797268744,-0.07062947269397724
586,586,586,586,2021-06-03,56.21446990966797,57.85589218139648,60.47148895263672,-0.028370874769023224,-0.07039712626065797
587,587,587,587,2021-06-04,56.87089538574219,57.95066833496094,58.424503326416016,-0.01863262288844625,-0.026591718409549214
588,588,588,588,2021-06-07,56.357177734375,57.527320861816406,58.22548675537109,-0.02034065049287015,-0.03208747792604316
589,589,589,589,2021-06-08,56.30009078979492,57.375099182128906,58.0264778137207,-0.018736497324763235,-0.029751711442281725
590,590,590,590,2021-06-09,55.56756591796875,57.670021057128906,57.49577331542969,-0.03645663900620788,-0.033536506881688966
591,591,591,591,2021-06-10,55.605613708496094,56.49987411499024,57.47682189941406,-0.015827653078909876,-0.03255587433474716
592,592,592,592,2021-06-11,55.891021728515625,56.21446990966797,57.85589218139648,-0.005753824267525798,-0.03396145800881201
593,593,593,593,2021-06-14,55.98615646362305,56.87089538574219,57.95066833496094,-0.01555697191187444,-0.03389972760940052
594,594,594,594,2021-06-15,56.55695724487305,56.357177734375,57.527320861816406,0.0035448813891933995,-0.016867874297053054
595,595,595,595,2021-06-16,56.04322814941406,56.30009078979492,57.375099182128906,-0.004562384123675711,-0.023213398350511172
596,596,596,596,2021-06-17,56.243011474609375,55.56756591796875,57.670021057128906,0.012155392187553238,-0.024744391563615187
597,597,597,597,2021-06-18,55.04432678222656,55.605613708496094,56.49987411499024,-0.01009406944435487,-0.02576195709394513
598,598,598,598,2021-06-21,55.72929763793945,55.891021728515625,56.21446990966797,-0.0028935611762784808,-0.008630736401288641
599,599,599,599,2021-06-22,55.605613708496094,55.98615646362305,56.87089538574219,-0.006797086622194026,-0.022248316448404415
600,600,600,600,2021-06-23,54.93968200683594,56.55695724487305,56.357177734375,-0.028595513564049102,-0.025151999878703313
601,601,601,601,2021-06-24,54.79697799682617,56.04322814941406,56.30009078979492,-0.022237301342908466,-0.026698230355983843
602,602,602,602,2021-06-25,55.158485412597656,56.243011474609375,55.56756591796875,-0.019282859035763433,-0.007361857562287244
603,603,603,603,2021-06-28,55.28216171264648,55.04432678222656,55.605613708496094,0.00432078915890588,-0.005816894631273439
