,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FE,FE_6m,FE_12m,FE_6m_ret,FE_12m_ret
0,0,0,0,2019-02-05,31.594968795776367,,,,
1,1,1,1,2019-02-06,31.883628845214844,,,,
2,2,2,2,2019-02-07,32.4196891784668,,,,
3,3,3,3,2019-02-08,32.568145751953125,,,,
4,4,4,4,2019-02-11,32.45268249511719,,,,
5,5,5,5,2019-02-12,32.59288787841797,,,,
6,6,6,6,2019-02-13,32.58463668823242,31.594968795776367,,0.031323591387384164,
7,7,7,7,2019-02-14,32.535152435302734,31.883628845214844,,0.020434423987647055,
8,8,8,8,2019-02-15,32.65061950683594,32.4196891784668,,0.007123150598326022,
9,9,9,9,2019-02-19,32.658870697021484,32.568145751953125,,0.00278569574575549,
10,10,10,10,2019-02-20,32.65061950683594,32.45268249511719,,0.00609924963055164,
11,11,11,11,2019-02-21,33.029991149902344,32.59288787841797,,0.01341100159994757,
12,12,12,12,2019-02-22,33.582557678222656,32.58463668823242,31.594968795776367,0.03062550611008108,0.06290839833688944
13,13,13,13,2019-02-25,33.3433837890625,32.535152435302734,31.883628845214844,0.024841787828317807,0.04578383944105968
14,14,14,14,2019-02-26,33.63203811645508,32.65061950683594,32.4196891784668,0.030058192599183853,0.03739545223010721
15,15,15,15,2019-02-27,33.582557678222656,32.658870697021484,32.568145751953125,0.02828288184763883,0.031147365097034863
16,16,16,16,2019-02-28,33.6072883605957,32.65061950683594,32.45268249511719,0.02930017464322443,0.03557813335314375
17,17,17,17,2019-03-01,33.73099899291992,33.029991149902344,32.59288787841797,0.021223373625386177,0.03491900192298014
18,18,18,18,2019-03-04,33.59904479980469,33.582557678222656,32.58463668823242,0.0004909429990416214,0.031131484486939476
19,19,19,19,2019-03-05,33.33513259887695,33.3433837890625,32.535152435302734,-0.0002474610926637144,0.024588179359694262
20,20,20,20,2019-03-06,33.582557678222656,33.63203811645508,32.65061950683594,-0.0014712292505464353,0.02854274085646691
21,21,21,21,2019-03-07,33.63203811645508,33.582557678222656,32.658870697021484,0.0014733969552447324,0.029797950714883337
22,22,22,22,2019-03-08,33.722747802734375,33.6072883605957,32.65061950683594,0.00343554769726806,0.032836384488017734
23,23,23,23,2019-03-11,34.11037063598633,33.73099899291992,33.029991149902344,0.01124697324102475,0.0327090455816601
24,24,24,24,2019-03-12,34.29181671142578,33.59904479980469,33.582557678222656,0.020618797818476198,0.021119863471955158
25,25,25,25,2019-03-13,34.32480239868164,33.33513259887695,33.3433837890625,0.02968849146974839,0.029433683630545993
26,26,26,26,2019-03-14,33.98666000366211,33.582557678222656,33.63203811645508,0.012033101507974209,0.010544168806514431
27,27,27,27,2019-03-15,34.00315475463867,33.63203811645508,33.582557678222656,0.011034616364864913,0.012524271690263822
28,28,28,28,2019-03-18,34.01140594482422,33.722747802734375,33.6072883605957,0.00855974559897632,0.012024700710526304
29,29,29,29,2019-03-19,33.32688522338867,34.11037063598633,33.73099899291992,-0.02296912633869419,-0.011980486246970456
30,30,30,30,2019-03-20,33.475337982177734,34.29181671142578,33.59904479980469,-0.023809725104940282,-0.00368185519451647
31,31,31,31,2019-03-21,34.01140594482422,34.32480239868164,33.33513259887695,-0.009130320699805683,0.020287105321730392
32,32,32,32,2019-03-22,34.44850540161133,33.98666000366211,33.582557678222656,0.013589019865425156,0.02578563942883405
33,33,33,33,2019-03-25,34.52272415161133,34.00315475463867,33.63203811645508,0.015280035065033948,0.026483260754883275
34,34,34,34,2019-03-26,34.638187408447266,34.01140594482422,33.722747802734375,0.018428566717878736,0.02714605615971366
