,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EVRG,EVRG_6m,EVRG_12m,EVRG_6m_ret,EVRG_12m_ret
0,0,0,0,2019-02-05,47.84578704833984,,,,
1,1,1,1,2019-02-06,47.65419769287109,,,,
2,2,2,2,2019-02-07,48.01237869262695,,,,
3,3,3,3,2019-02-08,48.395545959472656,,,,
4,4,4,4,2019-02-11,48.370548248291016,,,,
5,5,5,5,2019-02-12,48.56215286254883,,,,
6,6,6,6,2019-02-13,48.68708419799805,47.84578704833984,,0.017583515740021705,
7,7,7,7,2019-02-14,48.6620979309082,47.65419769287109,,0.021150292877302856,
8,8,8,8,2019-02-15,48.95363998413086,48.01237869262695,,0.019604554432302024,
9,9,9,9,2019-02-19,49.38678359985352,48.395545959472656,,0.020482001405892847,
10,10,10,10,2019-02-20,49.47007751464844,48.370548248291016,,0.022731379034891752,
11,11,11,11,2019-02-21,49.869895935058594,48.56215286254883,,0.026929264775621187,
12,12,12,12,2019-02-22,46.22149658203125,48.68708419799805,47.84578704833984,-0.05064151317708565,-0.033948453281111735
13,13,13,13,2019-02-25,46.346435546875,48.6620979309082,47.65419769287109,-0.04758657111991027,-0.027442748158820085
14,14,14,14,2019-02-26,46.471378326416016,48.95363998413086,48.01237869262695,-0.05070637563457003,-0.03209589710346061
15,15,15,15,2019-02-27,46.22149658203125,49.38678359985352,48.395545959472656,-0.06409178300551766,-0.04492250958925015
16,16,16,16,2019-02-28,46.57134246826172,49.47007751464844,48.370548248291016,-0.05859572476975361,-0.03719630736442736
17,17,17,17,2019-03-01,46.23109817504883,49.869895935058594,48.56215286254883,-0.07296581819116421,-0.04800146925318283
18,18,18,18,2019-03-04,46.43272018432617,46.22149658203125,48.68708419799805,0.00456981313705529,-0.04630312229222744
19,19,19,19,2019-03-05,46.27310180664063,46.346435546875,48.6620979309082,-0.0015822951510521266,-0.049093570270224096
20,20,20,20,2019-03-06,46.07146835327149,46.471378326416016,48.95363998413086,-0.008605511339378591,-0.058875532683446474
21,21,21,21,2019-03-07,46.533538818359375,46.22149658203125,49.38678359985352,0.006751019750611764,-0.057773448147828144
22,22,22,22,2019-03-08,46.84437561035156,46.57134246826172,49.47007751464844,0.005862685669323797,-0.053076567416321274
