,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSFT,MSFT_6m,MSFT_12m,MSFT_6m_ret,MSFT_12m_ret
0,0,0,0,2019-02-05,101.81581115722656,,,,
1,1,1,1,2019-02-06,100.68578338623048,,,,
2,2,2,2,2019-02-07,99.96410369873048,,,,
3,3,3,3,2019-02-08,100.34391784667967,,,,
4,4,4,4,2019-02-11,99.94510650634766,,,,
5,5,5,5,2019-02-12,101.5024185180664,,,,
6,6,6,6,2019-02-13,101.42646026611328,101.81581115722656,,-0.003824071003196483,
7,7,7,7,2019-02-14,101.51194763183594,100.68578338623048,,0.008205371382336013,
8,8,8,8,2019-02-15,102.76538848876952,99.96410369873048,,0.02802290708754307,
9,9,9,9,2019-02-19,102.71794128417967,100.34391784667967,,0.023658867308005593,
10,10,10,10,2019-02-20,102.18387603759766,99.94510650634766,,0.02239999145038496,
11,11,11,11,2019-02-21,104.3391342163086,101.5024185180664,,0.027947271992708966,
12,12,12,12,2019-02-22,105.82682800292967,101.42646026611328,101.81581115722656,0.04338481028787866,0.039394832689681136
13,13,13,13,2019-02-25,106.41808319091795,101.51194763183594,100.68578338623048,0.04833062189758808,0.05693256398173285
14,14,14,14,2019-02-26,107.15241241455078,102.76538848876952,99.96410369873048,0.042689703121792766,0.07190889979351245
15,15,15,15,2019-02-27,106.97120666503906,102.71794128417967,100.34391784667967,0.041407229620113783,0.06604574507929373
16,16,16,16,2019-02-28,106.8376922607422,102.18387603759766,99.94510650634766,0.045543547608550394,0.06896371413598712
17,17,17,17,2019-03-01,107.31452178955078,104.3391342163086,101.5024185180664,0.028516506252331153,0.057260736801555856
18,18,18,18,2019-03-04,107.05704498291016,105.82682800292967,101.42646026611328,0.011624811998961482,0.05551396255004737
19,19,19,19,2019-03-05,106.5229949951172,106.41808319091795,101.51194763183594,0.0009858456481595113,0.049364114079018195
20,20,20,20,2019-03-06,106.5706787109375,107.15241241455078,102.76538848876952,-0.005429030392359979,0.03702890903374367
21,21,21,21,2019-03-07,105.27369689941406,106.97120666503906,102.71794128417967,-0.015868847501556593,0.02488129710625353
22,22,22,22,2019-03-08,105.38815307617188,106.8376922607422,102.18387603759766,-0.01356767591939989,0.031357951594978006
23,23,23,23,2019-03-11,107.6006088256836,107.31452178955078,104.3391342163086,0.0026658743976313293,0.03125840207389041
24,24,24,24,2019-03-12,108.35401153564452,107.05704498291016,105.82682800292967,0.012114724004771427,0.023880367392707713
25,25,25,25,2019-03-13,109.19320678710938,106.5229949951172,106.41808319091795,0.0250669988401524,0.02607755668003109
26,26,26,26,2019-03-14,109.27904510498048,106.5706787109375,107.15241241455078,0.025413804498600978,0.019846801789232593
27,27,27,27,2019-03-15,110.5378875732422,105.27369689941406,106.97120666503906,0.05000480489307724,0.03334243876832721
28,28,28,28,2019-03-18,112.12094116210938,105.38815307617188,106.8376922607422,0.06388562556050492,0.04945117017759215
29,29,29,29,2019-03-19,112.19723510742188,107.6006088256836,107.31452178955078,0.04271933339322431,0.045499092168032496
30,30,30,30,2019-03-20,112.0732650756836,108.35401153564452,107.05704498291016,0.03432501932626253,0.04685558146663027
31,31,31,31,2019-03-21,114.64810180664062,109.19320678710938,106.5229949951172,0.04995635882520144,0.07627561365408342
32,32,32,32,2019-03-22,111.6250457763672,109.27904510498048,106.5706787109375,0.021467982897663607,0.04742737051660506
33,33,33,33,2019-03-25,112.206787109375,110.5378875732422,105.27369689941406,0.015097986516405815,0.06585776327951409
34,34,34,34,2019-03-26,112.4451904296875,112.12094116210938,105.38815307617188,0.0028919599159384912,0.0669623401447692
35,35,35,35,2019-03-27,111.3580093383789,112.19723510742188,107.6006088256836,-0.007479914885954786,0.03491988152950354
36,36,36,36,2019-03-28,111.51060485839844,112.0732650756836,108.35401153564452,-0.0050204677886843685,0.029132223883704622
37,37,37,37,2019-03-29,112.47379302978516,114.64810180664062,109.19320678710938,-0.018965065645155987,0.030043867555532344
38,38,38,38,2019-04-01,113.50373840332033,111.6250457763672,109.27904510498048,0.016830386172624223,0.0386596835128028
39,39,39,39,2019-04-02,113.66585540771484,112.206787109375,110.5378875732422,0.013003387191878213,0.02829769867277454
40,40,40,40,2019-04-03,114.4097137451172,112.4451904296875,112.12094116210938,0.017470941246332083,0.020413426424048753
41,41,41,41,2019-04-04,113.82797241210938,111.3580093383789,112.19723510742188,0.022180380992848914,0.014534558744929482
42,42,42,42,2019-04-05,114.33341979980467,111.51060485839844,112.0732650756836,0.025314318265879487,0.020166760757748925
43,43,43,43,2019-04-08,114.3715591430664,112.47379302978516,114.64810180664062,0.01687296268899452,-0.002412099801186618
44,44,44,44,2019-04-09,113.75169372558594,113.50373840332033,111.6250457763672,0.002184556436234164,0.01905170953729618
45,45,45,45,2019-04-10,114.61949920654295,113.66585540771484,112.206787109375,0.008389888022286351,0.02150237217661477
46,46,46,46,2019-04-11,114.75301361083984,114.4097137451172,112.4451904296875,0.0030006181685537925,0.02052398303861147
47,47,47,47,2019-04-12,115.3442840576172,113.82797241210938,111.3580093383789,0.013321081043401906,0.03579692868903006
48,48,48,48,2019-04-15,115.4396514892578,114.33341979980467,111.51060485839844,0.009675488508872565,0.03523473517024378
49,49,49,49,2019-04-16,115.17262268066406,114.3715591430664,112.47379302978516,0.00700404491815676,0.023995186595727303
50,50,50,50,2019-04-17,116.12625885009766,113.75169372558594,113.50373840332033,0.02087498697153567,0.023105145994914755
51,51,51,51,2019-04-18,117.6521224975586,114.61949920654295,113.66585540771484,0.02645817955940366,0.03507004874546693
52,52,52,52,2019-04-22,118.02405548095705,114.75301361083984,114.4097137451172,0.02850506289281629,0.03159121387098218
53,53,53,53,2019-04-23,119.62619018554688,115.3442840576172,113.82797241210938,0.03712282895432217,0.05093842621078504
54,54,54,54,2019-04-24,119.21612548828124,115.4396514892578,114.33341979980467,0.03271383749261281,0.042705848360226284
55,55,55,55,2019-04-25,123.16422271728516,115.17262268066406,114.3715591430664,0.06938801818188312,0.0768780598961678
56,56,56,56,2019-04-26,123.86994934082033,116.12625885009766,113.75169372558594,0.0666833717662314,0.08895037325460509
57,57,57,57,2019-04-29,123.7555160522461,117.6521224975586,114.61949920654295,0.05187661238167762,0.07970735266640938
