,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EG,EG_6m,EG_12m,EG_6m_ret,EG_12m_ret
0,0,0,0,2019-02-05,197.3493804931641,,,,
1,1,1,1,2019-02-06,199.00552368164065,,,,
2,2,2,2,2019-02-07,199.18453979492188,,,,
3,3,3,3,2019-02-08,198.55792236328125,,,,
4,4,4,4,2019-02-11,197.2867431640625,,,,
5,5,5,5,2019-02-12,190.1339569091797,,,,
6,6,6,6,2019-02-13,191.9960021972656,197.3493804931641,,-0.02712640030853264,
7,7,7,7,2019-02-14,191.611068725586,199.00552368164065,,-0.03715703373080215,
8,8,8,8,2019-02-15,194.19821166992188,199.18453979492188,,-0.025033710598894254,
9,9,9,9,2019-02-19,196.56153869628903,198.55792236328125,,-0.010054414566947556,
10,10,10,10,2019-02-20,198.4235992431641,197.2867431640625,,0.0057624555044542,
11,11,11,11,2019-02-21,199.4620819091797,190.1339569091797,,0.04906080508520483,
12,12,12,12,2019-02-22,200.44683837890625,191.9960021972656,197.3493804931641,0.044015688269164466,0.015695300780786958
13,13,13,13,2019-02-25,199.81121826171875,191.611068725586,199.00552368164065,0.04279580292867391,0.004048604104914144
14,14,14,14,2019-02-26,199.4620819091797,194.19821166992188,199.18453979492188,0.027105657637078506,0.0013933918493049813
15,15,15,15,2019-02-27,200.7869567871093,196.56153869628903,198.55792236328125,0.021496667755277477,0.0112261167789105
16,16,16,16,2019-02-28,202.416259765625,198.4235992431641,197.2867431640625,0.020121903532089425,0.02600031061031216
17,17,17,17,2019-03-01,201.77169799804688,199.4620819091797,190.1339569091797,0.011579223814172535,0.06120811494196232
18,18,18,18,2019-03-04,201.315170288086,200.44683837890625,191.9960021972656,0.004331981068907309,0.048538344466388716
19,19,19,19,2019-03-05,200.9097900390625,199.81121826171875,191.611068725586,0.005498048542523781,0.04852914487311577
20,20,20,20,2019-03-06,200.08102416992188,199.4620819091797,194.19821166992188,0.0031030572568875314,0.03029282530159949
21,21,21,21,2019-03-07,196.5047912597656,200.7869567871093,196.56153869628903,-0.021326910850509084,-0.0002887006120313451
22,22,22,22,2019-03-08,195.2796630859375,202.416259765625,198.4235992431641,-0.035257032651185516,-0.015844567728931058
23,23,23,23,2019-03-11,196.31561279296875,201.77169799804688,199.4620819091797,-0.027040884619660255,-0.015774773260632147
24,24,24,24,2019-03-12,196.5858764648437,201.315170288086,200.44683837890625,-0.023491989284635584,-0.01926177506858029
25,25,25,25,2019-03-13,196.6579742431641,200.9097900390625,199.81121826171875,-0.02116281040894885,-0.015781116025349706
26,26,26,26,2019-03-14,197.2885131835937,200.08102416992188,199.4620819091797,-0.013956900700171304,-0.010897152505285113
27,27,27,27,2019-03-15,197.3245391845703,196.5047912597656,200.7869567871093,0.0041716434472127695,-0.01724423567119504
28,28,28,28,2019-03-18,198.5316467285156,195.2796630859375,202.416259765625,0.016652956028232024,-0.01919121043737959
29,29,29,29,2019-03-19,197.1803741455078,196.31561279296875,201.77169799804688,0.004404954553721696,-0.022755043933780583
30,30,30,30,2019-03-20,190.9286956787109,196.5858764648437,201.315170288086,-0.028777147615406062,-0.05159310445661813
31,31,31,31,2019-03-21,194.108642578125,196.6579742431641,200.9097900390625,-0.012963276342340846,-0.033851747391777987
32,32,32,32,2019-03-22,193.6671905517578,197.2885131835937,200.08102416992188,-0.01835546618198669,-0.03205618146335065
33,33,33,33,2019-03-25,193.4960327148437,197.3245391845703,196.5047912597656,-0.019402079870793787,-0.015311374982936332
34,34,34,34,2019-03-26,194.108642578125,198.5316467285156,195.2796630859375,-0.022278584917188926,-0.005996633183954048
35,35,35,35,2019-03-27,193.36090087890625,197.1803741455078,196.31561279296875,-0.019370453490381356,-0.015050824903969806
36,36,36,36,2019-03-28,194.00949096679688,190.9286956787109,196.5858764648437,0.016135842111812515,-0.013105649013944065
37,37,37,37,2019-03-29,194.54098510742188,194.108642578125,196.6579742431641,0.0022273224084954357,-0.010764827329730275
38,38,38,38,2019-04-01,195.775146484375,193.6671905517578,197.2885131835937,0.010884424597742193,-0.007670830271858664
39,39,39,39,2019-04-02,193.5771026611328,193.4960327148437,197.3245391845703,0.0004189747208336314,-0.0189912341309576
40,40,40,40,2019-04-03,194.703125,194.108642578125,198.5316467285156,0.003062627268828333,-0.019284188650039003
41,41,41,41,2019-04-04,193.9374237060547,193.36090087890625,197.1803741455078,0.0029815894760931716,-0.016446618754562325
42,42,42,42,2019-04-05,194.8562774658203,194.00949096679688,190.9286956787109,0.004364665330565565,0.02057093499302276
43,43,43,43,2019-04-08,196.3245849609375,194.54098510742188,194.108642578125,0.009168247259212503,0.011415990310274848
44,44,44,44,2019-04-09,193.39694213867188,195.775146484375,193.6671905517578,-0.01214763154777121,-0.0013954269296518884
45,45,45,45,2019-04-10,195.3066864013672,193.5771026611328,193.4960327148437,0.008934857048987332,0.009357575249058891
46,46,46,46,2019-04-11,199.90087890625,194.703125,194.108642578125,0.02669579086750673,0.029840177393408718
47,47,47,47,2019-04-12,203.8914794921875,193.9374237060547,193.36090087890625,0.051326121570119954,0.05446074447013527
48,48,48,48,2019-04-15,203.77438354492188,194.8562774658203,194.00949096679688,0.045767609825482225,0.0503320354559158
49,49,49,49,2019-04-16,206.5579528808593,196.3245849609375,194.54098510742188,0.052124739863618874,0.061770879626223074
50,50,50,50,2019-04-17,206.0084228515625,193.39694213867188,195.775146484375,0.06521034186697627,0.052270559113100745
51,51,51,51,2019-04-18,206.3236846923828,195.3066864013672,193.5771026611328,0.056408710290517305,0.06584757110226813
52,52,52,52,2019-04-22,205.8462829589844,199.90087890625,194.703125,0.029741760442797638,0.057231531127116764
53,53,53,53,2019-04-23,206.9812774658203,203.8914794921875,193.9374237060547,0.015154129938770744,0.06725805422441722
54,54,54,54,2019-04-24,208.341537475586,203.77438354492188,194.8562774658203,0.022412797188795297,0.06920618717111204
55,55,55,55,2019-04-25,205.83729553222656,206.5579528808593,196.3245849609375,-0.0034888869616576113,0.04845399557667118
56,56,56,56,2019-04-26,207.828125,206.0084228515625,193.39694213867188,0.008833144408608273,0.07461949864223039
57,57,57,57,2019-04-29,208.3685760498047,206.3236846923828,195.3066864013672,0.009911083938185294,0.06687886569123669
58,58,58,58,2019-04-30,212.1430206298828,205.8462829589844,199.90087890625,0.030589513594243778,0.06124106002242313
59,59,59,59,2019-05-01,213.0077667236328,206.9812774658203,203.8914794921875,0.029116108140784247,0.044711467365631696
60,60,60,60,2019-05-02,213.3050842285156,208.341537475586,203.77438354492188,0.023824086224338403,0.04677084782588814
61,61,61,61,2019-05-03,214.98960876464844,205.83729553222656,206.5579528808593,0.044463823763118526,0.0408198075464683
62,62,62,62,2019-05-06,214.2058868408203,207.828125,206.0084228515625,0.030687674446470137,0.03979188751502849
