,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,OTIS,OTIS_6m,OTIS_12m,OTIS_6m_ret,OTIS_12m_ret
0,0,0,0,2020-03-19,42.976539611816406,,,,
1,1,1,1,2020-03-20,42.73909759521485,,,,
2,2,2,2,2020-03-23,37.99031448364258,,,,
3,3,3,3,2020-03-24,37.99031448364258,,,,
4,4,4,4,2020-03-25,38.94956970214844,,,,
5,5,5,5,2020-03-26,42.73909759521485,,,,
6,6,6,6,2020-03-27,42.96230316162109,42.976539611816406,,-0.00033126096991309417,
7,7,7,7,2020-03-30,47.487892150878906,42.73909759521485,,0.11111124995291766,
8,8,8,8,2020-03-31,47.487892150878906,37.99031448364258,,0.24999997489690906,
9,9,9,9,2020-04-01,44.35369110107422,37.99031448364258,,0.16749997213556922,
10,10,10,10,2020-04-02,41.78934860229492,38.94956970214844,,0.07290912125249593,
11,11,11,11,2020-04-03,44.94254302978516,42.73909759521485,,0.05155573136895186,
12,12,12,12,2020-04-06,43.63188552856445,42.96230316162109,42.976539611816406,0.015585346167882319,0.01524892238108122
13,13,13,13,2020-04-07,42.055274963378906,47.487892150878906,42.73909759521485,-0.11440004896910239,-0.015999931451816773
14,14,14,14,2020-04-08,41.87482833862305,47.487892150878906,37.99031448364258,-0.11819989386814622,0.10225011052890909
15,15,15,15,2020-04-09,46.67109680175781,44.35369110107422,37.99031448364258,0.05224831672752184,0.2284998804590812
16,16,16,16,2020-04-13,43.68886566162109,41.78934860229492,38.94956970214844,0.0454545744994419,0.12167774883559845
17,17,17,17,2020-04-14,43.58439254760742,44.94254302978516,42.73909759521485,-0.03021970699961596,0.01977802527321515
18,18,18,18,2020-04-15,42.31171417236328,43.63188552856445,42.96230316162109,-0.03025703198952734,-0.015143252139214636
19,19,19,19,2020-04-16,43.32795333862305,42.055274963378906,47.487892150878906,0.030262039098599924,-0.08759998862528728
20,20,20,20,2020-04-17,43.831321716308594,41.87482833862305,47.487892150878906,0.04672242144765959,-0.07700005767686269
21,21,21,21,2020-04-20,43.1095085144043,46.67109680175781,44.35369110107422,-0.0763125045567683,-0.028051387737598854
