,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
0,0,0,0,2019-02-05,152.7917022705078,,,,
1,1,1,1,2019-02-06,152.29855346679688,,,,
2,2,2,2,2019-02-07,150.54930114746094,,,,
3,3,3,3,2019-02-08,151.4332275390625,,,,
4,4,4,4,2019-02-11,150.67958068847656,,,,
5,5,5,5,2019-02-12,153.7035675048828,,,,
6,6,6,6,2019-02-13,151.38670349121094,152.7917022705078,,-0.00919551754721215,
7,7,7,7,2019-02-14,151.1261749267578,152.29855346679688,,-0.007697896751820754,
8,8,8,8,2019-02-15,147.93467712402344,150.54930114746094,,-0.017367227901486704,
9,9,9,9,2019-02-19,146.324951171875,151.4332275390625,,-0.033732863323340356,
10,10,10,10,2019-02-20,148.76278686523438,150.67958068847656,,-0.012720992549117072,
11,11,11,11,2019-02-21,151.52630615234375,153.7035675048828,,-0.014165327375826209,
12,12,12,12,2019-02-22,154.42933654785156,151.38670349121094,152.7917022705078,0.02009841674646995,0.010718083855394411
13,13,13,13,2019-02-25,153.39649963378906,151.1261749267578,152.29855346679688,0.015022710050932808,0.007209170028207534
14,14,14,14,2019-02-26,152.41024780273438,147.93467712402344,150.54930114746094,0.030253695521022195,0.012361044794559906
15,15,15,15,2019-02-27,152.21482849121094,146.324951171875,151.4332275390625,0.04025203680005074,0.00516135702084819
16,16,16,16,2019-02-28,152.63352966308594,148.76278686523438,150.67958068847656,0.026019563624860798,0.012967576400740644
17,17,17,17,2019-03-01,151.9542999267578,151.52630615234375,153.7035675048828,0.0028245509659805546,-0.011380787098968503
18,18,18,18,2019-03-04,154.28976440429688,154.42933654785156,151.38670349121094,-0.0009037929364634767,0.019176459002916868
19,19,19,19,2019-03-05,150.22361755371094,153.39649963378906,151.1261749267578,-0.020684188281042237,-0.0059722107932943524
20,20,20,20,2019-03-06,147.2368621826172,152.41024780273438,147.93467712402344,-0.033943817392207976,-0.0047170477873907934
21,21,21,21,2019-03-07,147.03211975097656,152.21482849121094,146.324951171875,-0.03404864553346476,0.004832863933581066
22,22,22,22,2019-03-08,147.9532928466797,152.63352966308594,148.76278686523438,-0.030663228628317274,-0.005441508831694697
23,23,23,23,2019-03-11,149.2652587890625,151.9542999267578,151.52630615234375,-0.01769638068150381,-0.014921814044671633
24,24,24,24,2019-03-12,148.07427978515625,154.28976440429688,154.42933654785156,-0.04028449095854303,-0.041151875056629095
25,25,25,25,2019-03-13,148.5767059326172,150.22361755371094,153.39649963378906,-0.010963067245434388,-0.03142049337943431
26,26,26,26,2019-03-14,146.79022216796875,147.2368621826172,152.41024780273438,-0.0030334795786022273,-0.03687432909393118
27,27,27,27,2019-03-15,147.153076171875,147.03211975097656,152.21482849121094,0.0008226530441328705,-0.03325400271122869
28,28,28,28,2019-03-18,149.1536102294922,147.9532928466797,152.63352966308594,0.008112812900057387,-0.022799180765033178
29,29,29,29,2019-03-19,149.77699279785156,149.2652587890625,151.9542999267578,0.003428353073853696,-0.014328697048755501
