,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,V,V_6m,V_12m,V_6m_ret,V_12m_ret
0,0,0,0,2019-02-05,137.75135803222656,,,,
1,1,1,1,2019-02-06,136.7462158203125,,,,
2,2,2,2,2019-02-07,135.47048950195312,,,,
3,3,3,3,2019-02-08,135.6734161376953,,,,
4,4,4,4,2019-02-11,136.079345703125,,,,
5,5,5,5,2019-02-12,137.2294464111328,,,,
6,6,6,6,2019-02-13,138.67916870117188,137.75135803222656,,0.006735401249026163,
7,7,7,7,2019-02-14,138.60174560546875,136.7462158203125,,0.013569149054877272,
8,8,8,8,2019-02-15,140.29600524902344,135.47048950195312,,0.0356204200989525,
9,9,9,9,2019-02-19,139.84097290039062,135.6734161376953,,0.03071756340583076,
10,10,10,10,2019-02-20,140.1217498779297,136.079345703125,,0.029706228773496157,
11,11,11,11,2019-02-21,139.4149627685547,137.2294464111328,,0.015926001412803092,
12,12,12,12,2019-02-22,141.22540283203125,138.67916870117188,137.75135803222656,0.01836060999432476,0.025219677318839562
13,13,13,13,2019-02-25,141.4093780517578,138.60174560546875,136.7462158203125,0.020256833231242277,0.03410085027561438
14,14,14,14,2019-02-26,142.358154296875,140.29600524902344,135.47048950195312,0.0146985585526207,0.05084254748206685
15,15,15,15,2019-02-27,142.53244018554688,139.84097290039062,135.6734161376953,0.019246628719276737,0.05055540166314021
16,16,16,16,2019-02-28,143.4037628173828,140.1217498779297,136.079345703125,0.023422580308284147,0.05382460561088376
17,17,17,17,2019-03-01,144.7108154296875,139.4149627685547,137.2294464111328,0.03798625739996475,0.05451722800178671
18,18,18,18,2019-03-04,143.24888610839844,141.22540283203125,138.67916870117188,0.014328040393510877,0.0329517219494837
19,19,19,19,2019-03-05,143.2392120361328,141.4093780517578,138.60174560546875,0.01293997618535081,0.033458932356196014
20,20,20,20,2019-03-06,143.1036834716797,142.358154296875,140.29600524902344,0.0052369966335048534,0.020012531487783036
21,21,21,21,2019-03-07,142.1548614501953,142.53244018554688,139.84097290039062,-0.0026490722733718552,0.01654657073540866
22,22,22,22,2019-03-08,142.6582794189453,143.4037628173828,140.1217498779297,-0.005198492590371084,0.01810232560773306
23,23,23,23,2019-03-11,145.87258911132812,144.7108154296875,139.4149627685547,0.008028243626373,0.0463194639551987
24,24,24,24,2019-03-12,146.8988494873047,143.24888610839844,141.22540283203125,0.025479872675200133,0.04017298971362293
