,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GLW,GLW_6m,GLW_12m,GLW_6m_ret,GLW_12m_ret
0,0,0,0,2019-02-05,28.94683265686035,,,,
1,1,1,1,2019-02-06,29.13664627075196,,,,
2,2,2,2,2019-02-07,28.653484344482425,,,,
3,3,3,3,2019-02-08,28.808780670166016,,,,
4,4,4,4,2019-02-11,28.782899856567383,,,,
5,5,5,5,2019-02-12,29.35234642028809,,,,
6,6,6,6,2019-02-13,29.369609832763672,28.94683265686035,,0.01460530003109417,
7,7,7,7,2019-02-14,29.102140426635746,29.13664627075196,,-0.0011842764536306172,
8,8,8,8,2019-02-15,29.775115966796875,28.653484344482425,,0.03914468512205338,
9,9,9,9,2019-02-19,29.507646560668945,28.808780670166016,,0.024258780630263432,
10,10,10,10,2019-02-20,29.9045352935791,28.782899856567383,,0.03896881282293019,
11,11,11,11,2019-02-21,29.76648712158203,29.35234642028809,,0.014109287733388598,
12,12,12,12,2019-02-22,30.06847381591797,29.369609832763672,28.94683265686035,0.023795480673177716,0.038748320838887684
13,13,13,13,2019-02-25,30.26691436767578,29.102140426635746,29.13664627075196,0.04002365200512803,0.038791976482839496
14,14,14,14,2019-02-26,30.120235443115234,29.775115966796875,28.653484344482425,0.011590869258182313,0.05118927530763817
15,15,15,15,2019-02-27,30.102876663208008,29.507646560668945,28.808780670166016,0.02017206290292406,0.04492019318200935
16,16,16,16,2019-02-28,30.207012176513672,29.9045352935791,28.782899856567383,0.01011474948415314,0.049477722086482157
17,17,17,17,2019-03-01,30.31114387512207,29.76648712158203,29.35234642028809,0.018297649679499317,0.0326651042170607
18,18,18,18,2019-03-04,30.26776123046875,30.06847381591797,29.369609832763672,0.0066277861580483766,0.030580978188655905
19,19,19,19,2019-03-05,30.102876663208008,30.26691436767578,29.102140426635746,-0.005419703590365366,0.03438703208429095
20,20,20,20,2019-03-06,29.946685791015625,30.120235443115234,29.775115966796875,-0.00576189560096152,0.005762188278630731
