,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BDX,BDX_6m,BDX_12m,BDX_6m_ret,BDX_12m_ret
0,0,0,0,2019-02-05,220.93055725097656,,,,
1,1,1,1,2019-02-06,221.53208923339844,,,,
2,2,2,2,2019-02-07,220.15586853027344,,,,
3,3,3,3,2019-02-08,220.748291015625,,,,
4,4,4,4,2019-02-11,221.26779174804688,,,,
5,5,5,5,2019-02-12,224.4394073486328,,,,
6,6,6,6,2019-02-13,223.33660888671875,220.93055725097656,,0.010890533503742139,
7,7,7,7,2019-02-14,222.8444976806641,221.53208923339844,,0.005924236311801057,
8,8,8,8,2019-02-15,226.3350830078125,220.15586853027344,,0.02806745293137336,
9,9,9,9,2019-02-19,226.06167602539065,220.748291015625,,0.0240698806107158,
10,10,10,10,2019-02-20,226.99131774902344,221.26779174804688,,0.02586696398856736,
11,11,11,11,2019-02-21,225.74270629882807,224.4394073486328,,0.005806907822434093,
12,12,12,12,2019-02-22,227.53814697265625,223.33660888671875,220.93055725097656,0.018812581183538235,0.029907993732951388
13,13,13,13,2019-02-25,228.1032257080078,222.8444976806641,221.53208923339844,0.02359819552232989,0.02966223312093752
14,14,14,14,2019-02-26,227.0368804931641,226.3350830078125,220.15586853027344,0.0031007012966142167,0.03125518301568442
15,15,15,15,2019-02-27,228.11231994628903,226.06167602539065,220.748291015625,0.00907117012026415,0.03335939271277444
16,16,16,16,2019-02-28,226.7452392578125,226.99131774902344,221.26779174804688,-0.0010840876807588495,0.02475483425080993
17,17,17,17,2019-03-01,231.83078002929688,225.74270629882807,224.4394073486328,0.026969082768103725,0.03293259756822775
18,18,18,18,2019-03-04,230.45458984375,227.53814697265625,223.33660888671875,0.012817379898256043,0.03187108908169045
19,19,19,19,2019-03-05,229.8804473876953,228.1032257080078,222.8444976806641,0.007791304459510373,0.031573360707849885
20,20,20,20,2019-03-06,226.55386352539065,227.0368804931641,226.3350830078125,-0.0021274824016443983,0.0009666222075284114
21,21,21,21,2019-03-07,225.5116577148437,228.11231994628903,226.06167602539065,-0.011400796905917665,-0.002433045353893548
22,22,22,22,2019-03-08,225.55734252929688,226.7452392578125,226.99131774902344,-0.005238904827302493,-0.006317313075877462
23,23,23,23,2019-03-11,228.5011444091797,231.83078002929688,225.74270629882807,-0.014362353522239024,0.012219389744978715
24,24,24,24,2019-03-12,229.0862274169922,230.45458984375,227.53814697265625,-0.00593766619135494,0.006803608383617377
25,25,25,25,2019-03-13,231.8746337890625,229.8804473876953,228.1032257080078,0.008674884810903283,0.01653377793912658
26,26,26,26,2019-03-14,230.62213134765625,226.55386352539065,227.0368804931641,0.017957176977516642,0.015791490997869362
27,27,27,27,2019-03-15,232.1397705078125,225.5116577148437,228.11231994628903,0.02939144193312604,0.017655559166956714
28,28,28,28,2019-03-18,223.6831970214844,225.55734252929688,226.7452392578125,-0.00830895366471629,-0.013504328674554977
29,29,29,29,2019-03-19,226.3344573974609,228.5011444091797,231.83078002929688,-0.009482171379583404,-0.02370833860431043
30,30,30,30,2019-03-20,222.29356384277344,229.0862274169922,230.45458984375,-0.029651121548457282,-0.03541272927785821
31,31,31,31,2019-03-21,224.36880493164065,231.8746337890625,229.8804473876953,-0.03237020253043266,-0.023976125497786382
32,32,32,32,2019-03-22,219.52346801757807,230.62213134765625,226.55386352539065,-0.04812488404830184,-0.031031894130662985
33,33,33,33,2019-03-25,220.5564880371093,232.1397705078125,225.5116577148437,-0.04989788025276509,-0.021973008969674357
34,34,34,34,2019-03-26,225.81333923339844,223.6831970214844,225.55734252929688,0.009523031860589226,0.0011349517653955754
35,35,35,35,2019-03-27,224.5334014892578,226.3344573974609,228.5011444091797,-0.00795749762944975,-0.01736421465275806
36,36,36,36,2019-03-28,225.81333923339844,222.29356384277344,229.0862274169922,0.015833905983506202,-0.014286708635854795
37,37,37,37,2019-03-29,228.3091735839844,224.36880493164065,231.8746337890625,0.0175620164913044,-0.015376672069794428
38,38,38,38,2019-04-01,229.8267364501953,219.52346801757807,230.62213134765625,0.04693470144974299,-0.003448909663669286
39,39,39,39,2019-04-02,229.2325134277344,220.5564880371093,232.1397705078125,0.039336976517169386,-0.012523735479355369
40,40,40,40,2019-04-03,227.99832153320312,225.81333923339844,223.6831970214844,0.009676055042728615,0.019291232283774384
41,41,41,41,2019-04-04,230.0096130371093,224.5334014892578,226.3344573974609,0.024389295808683764,0.016237720415652523
42,42,42,42,2019-04-05,229.7261657714844,225.81333923339844,222.29356384277344,0.017327703276384776,0.033435974484479436
43,43,43,43,2019-04-08,229.4610595703125,228.3091735839844,224.36880493164065,0.005045289982201995,0.022695911939377256
44,44,44,44,2019-04-09,228.3457489013672,229.8267364501953,219.52346801757807,-0.0064439306396758544,0.040188326849331046
45,45,45,45,2019-04-10,230.59474182128903,229.2325134277344,220.5564880371093,0.005942561869540786,0.045513300803424084
46,46,46,46,2019-04-11,230.1376037597656,227.99832153320312,225.81333923339844,0.009382885857126544,0.01914973021986821
47,47,47,47,2019-04-12,225.54820251464844,230.0096130371093,224.5334014892578,-0.019396626356399493,0.004519599394387619
48,48,48,48,2019-04-15,225.0819854736328,229.7261657714844,225.81333923339844,-0.020216157276882862,-0.003238753575180553
49,49,49,49,2019-04-16,219.4320373535156,229.4610595703125,228.3091735839844,-0.043706859175047796,-0.03888208297159512
50,50,50,50,2019-04-17,206.4957733154297,228.3457489013672,229.8267364501953,-0.0956881207163418,-0.10151544374308064
51,51,51,51,2019-04-18,208.34249877929688,230.59474182128903,229.2325134277344,-0.09649935148667721,-0.09113024298371664
