,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,UBER,UBER_6m,UBER_12m,UBER_6m_ret,UBER_12m_ret
0,0,0,0,2019-05-10,41.56999969482422,,,,
1,1,1,1,2019-05-13,37.09999847412109,,,,
2,2,2,2,2019-05-14,39.959999084472656,,,,
3,3,3,3,2019-05-15,41.290000915527344,,,,
4,4,4,4,2019-05-16,43.0,,,,
5,5,5,5,2019-05-17,41.90999984741211,,,,
6,6,6,6,2019-05-20,41.59000015258789,41.56999969482422,,0.00048112720496762407,
7,7,7,7,2019-05-21,41.5,37.09999847412109,,0.11859842875595028,
8,8,8,8,2019-05-22,41.25,39.959999084472656,,0.032282305932999966,
9,9,9,9,2019-05-23,40.470001220703125,41.290000915527344,,-0.019859522321198475,
10,10,10,10,2019-05-24,41.5099983215332,43.0,,-0.034651201824809186,
11,11,11,11,2019-05-28,40.95000076293945,41.90999984741211,,-0.022906205868954088,
12,12,12,12,2019-05-29,39.93999862670898,41.59000015258789,41.56999969482422,-0.03967303485994922,-0.03921099543135642
13,13,13,13,2019-05-30,39.79999923706055,41.5,37.09999847412109,-0.040963873805769935,0.07277630388105893
14,14,14,14,2019-05-31,40.40999984741211,41.25,39.959999084472656,-0.02036364006273672,0.01126128061184839
15,15,15,15,2019-06-03,41.25,40.470001220703125,41.290000915527344,0.019273505208046604,-0.000968779720038726
16,16,16,16,2019-06-04,42.75,41.5099983215332,43.0,0.02987236156604589,-0.005813953488372103
17,17,17,17,2019-06-05,45.0,40.95000076293945,41.90999984741211,0.09890107842747287,0.0737294240953974
18,18,18,18,2019-06-06,44.91999816894531,39.93999862670898,41.59000015258789,0.12468702337175519,0.08006727588699514
19,19,19,19,2019-06-07,44.15999984741211,39.79999923706055,41.5,0.10954775612889112,0.06409638186535194
20,20,20,20,2019-06-10,42.61000061035156,40.40999984741211,41.25,0.0544419888949923,0.03296971176609853
21,21,21,21,2019-06-11,42.45000076293945,41.25,40.470001220703125,0.029090927586411075,0.048925116938801194
22,22,22,22,2019-06-12,42.16999816894531,42.75,41.5099983215332,-0.013567294293676868,0.015899780151755305
23,23,23,23,2019-06-13,44.310001373291016,45.0,40.95000076293945,-0.015333302815755179,0.08205129542738443
24,24,24,24,2019-06-14,43.22999954223633,44.91999816894531,39.93999862670898,-0.037622410854801336,0.08237358609539958
25,25,25,25,2019-06-17,43.77999877929688,44.15999984741211,39.79999923706055,-0.008605096680893598,0.09999999041533347
26,26,26,26,2019-06-18,43.86000061035156,42.61000061035156,40.40999984741211,0.029335836237850854,0.08537492640352973
27,27,27,27,2019-06-19,44.86000061035156,42.45000076293945,41.25,0.05677266911891632,0.08751516631155298
28,28,28,28,2019-06-20,43.86000061035156,42.16999816894531,42.75,0.04007594296389594,0.025964926557931367
29,29,29,29,2019-06-21,44.0,44.310001373291016,45.0,-0.006996194170237113,-0.022222222222222254
30,30,30,30,2019-06-24,43.09000015258789,43.22999954223633,44.91999816894531,-0.0032384777036986723,-0.04073904921978733
31,31,31,31,2019-06-25,43.09000015258789,43.77999877929688,44.15999984741211,-0.01576059035970745,-0.02423006563680785
32,32,32,32,2019-06-26,42.5,43.86000061035156,42.61000061035156,-0.0310077654223877,-0.0025815679130696267
33,33,33,33,2019-06-27,45.130001068115234,44.86000061035156,42.45000076293945,0.0060187350443630105,0.06313310381646753
34,34,34,34,2019-06-28,46.380001068115234,43.86000061035156,42.16999816894531,0.05745554999305935,0.09983407830143665
35,35,35,35,2019-07-01,44.27000045776367,44.0,44.310001373291016,0.006136374040083492,-0.000902751394439294
36,36,36,36,2019-07-02,44.0,43.09000015258789,43.22999954223633,0.02111858538384004,0.01781171561224215
37,37,37,37,2019-07-03,44.22999954223633,43.09000015258789,43.77999877929688,0.026456240093096772,0.010278683770823749
38,38,38,38,2019-07-05,43.52999877929688,42.5,43.86000061035156,0.024235265395220695,-0.007523981451491246
