,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,INTU,INTU_6m,INTU_12m,INTU_6m_ret,INTU_12m_ret
0,0,0,0,2019-02-05,217.09976196289065,,,,
1,1,1,1,2019-02-06,217.1868438720703,,,,
2,2,2,2,2019-02-07,213.69566345214844,,,,
3,3,3,3,2019-02-08,217.4285888671875,,,,
4,4,4,4,2019-02-11,218.0475006103516,,,,
5,5,5,5,2019-02-12,221.4226226806641,,,,
6,6,6,6,2019-02-13,221.0647888183593,217.09976196289065,,0.018263616779765846,
7,7,7,7,2019-02-14,223.1826934814453,217.1868438720703,,0.02760687296927955,
8,8,8,8,2019-02-15,225.6391143798828,213.69566345214844,,0.055890001391669886,
9,9,9,9,2019-02-19,226.9059600830078,217.4285888671875,,0.043588431793619486,
10,10,10,10,2019-02-20,228.20184326171875,218.0475006103516,,0.046569406312585215,
11,11,11,11,2019-02-21,227.2928009033203,221.4226226806641,,0.026511194527409243,
12,12,12,12,2019-02-22,242.6790466308593,221.0647888183593,217.09976196289065,0.09777340809467239,0.11782272093113111
13,13,13,13,2019-02-25,239.5650329589844,223.1826934814453,217.1868438720703,0.07340326985927814,0.10303657757509255
14,14,14,14,2019-02-26,240.71588134765625,225.6391143798828,213.69566345214844,0.0668180559439282,0.12644251857529287
15,15,15,15,2019-02-27,241.62489318847656,226.9059600830078,217.4285888671875,0.06486798804264193,0.11128391370864743
16,16,16,16,2019-02-28,238.9944305419922,228.20184326171875,218.0475006103516,0.047294040775541335,0.0960659024891668
17,17,17,17,2019-03-01,242.1664886474609,227.2928009033203,221.4226226806641,0.06543844629054996,0.09368449219713937
18,18,18,18,2019-03-04,240.8029022216797,242.6790466308593,221.0647888183593,-0.007730969917783659,0.08928655490014958
19,19,19,19,2019-03-05,238.955795288086,239.5650329589844,223.1826934814453,-0.0025430993136745794,0.07067349874040296
20,20,20,20,2019-03-06,238.78170776367188,240.71588134765625,225.6391143798828,-0.008035089222845793,0.058246077679875885
21,21,21,21,2019-03-07,237.3504333496093,241.62489318847656,226.9059600830078,-0.01769047792411449,0.046029964408077495
22,22,22,22,2019-03-08,237.7855987548828,238.9944305419922,228.20184326171875,-0.005057991453474409,0.0419968364680241
23,23,23,23,2019-03-11,242.29220581054688,242.1664886474609,227.2928009033203,0.0005191352601596755,0.06599155295554926
24,24,24,24,2019-03-12,242.0601043701172,240.8029022216797,242.6790466308593,0.005220876230470628,-0.002550456124395306
25,25,25,25,2019-03-13,245.29983520507807,238.955795288086,239.5650329589844,0.02654901049519931,0.023938394411155528
26,26,26,26,2019-03-14,248.317123413086,238.78170776367188,240.71588134765625,0.039933610236390304,0.03157765089230469
27,27,27,27,2019-03-15,249.6323699951172,237.3504333496093,241.62489318847656,0.0517460047246554,0.03314011524629823
28,28,28,28,2019-03-18,249.2358245849609,237.7855987548828,238.9944305419922,0.04815357149480426,0.042852019688254916
29,29,29,29,2019-03-19,247.6304931640625,242.29220581054688,242.1664886474609,0.022032435321876376,0.022563008396078832
30,30,30,30,2019-03-20,247.5627593994141,242.0601043701172,240.8029022216797,0.022732597937259236,0.0280721582479575
31,31,31,31,2019-03-21,252.040283203125,245.29983520507807,238.955795288086,0.027478404102520892,0.05475693903662937
32,32,32,32,2019-03-22,244.3617401123047,248.317123413086,238.78170776367188,-0.01592875773694169,0.023368759696431596
33,33,33,33,2019-03-25,245.473876953125,249.6323699951172,237.3504333496093,-0.016658468779804148,0.034225526740665924
34,34,34,34,2019-03-26,247.5627593994141,249.2358245849609,237.7855987548828,-0.006712779707062078,0.04111754747018925
35,35,35,35,2019-03-27,246.97286987304688,247.6304931640625,242.29220581054688,-0.002655663616434878,0.019318260968575807
36,36,36,36,2019-03-28,250.6864624023437,247.5627593994141,242.0601043701172,0.012617822690729863,0.035637256518061156
37,37,37,37,2019-03-29,252.804428100586,252.040283203125,245.29983520507807,0.0030318363705581497,0.03059355049804191
38,38,38,38,2019-04-01,257.00146484375,244.3617401123047,248.317123413086,0.051725465392562286,0.03497278524855196
39,39,39,39,2019-04-02,259.42889404296875,245.473876953125,249.6323699951172,0.05684929599457367,0.03924380499229008
40,40,40,40,2019-04-03,260.22186279296875,247.5627593994141,249.2358245849609,0.05113492604568459,0.04407888884474098
41,41,41,41,2019-04-04,253.9841766357422,246.97286987304688,247.6304931640625,0.02838897554334352,0.025657920357450514
42,42,42,42,2019-04-05,253.0848388671875,250.6864624023437,247.5627593994141,0.0095672356690506,0.022305776043092918
43,43,43,43,2019-04-08,252.1757659912109,252.804428100586,252.040283203125,-0.0024867527602204786,0.0005375441828745497
44,44,44,44,2019-04-09,250.82907104492188,257.00146484375,244.3617401123047,-0.0240169596020815,0.02646621737774879
45,45,45,45,2019-04-10,251.01315307617188,259.42889404296875,245.473876953125,-0.03243948981798073,0.022565644018017528
46,46,46,46,2019-04-11,251.49755859375,260.22186279296875,247.5627593994141,-0.03352640744932245,0.01589414823086366
47,47,47,47,2019-04-12,251.95291137695312,253.9841766357422,246.97286987304688,-0.00799760554257778,0.020164326172612324
48,48,48,48,2019-04-15,252.747299194336,253.0848388671875,250.6864624023437,-0.0013337016723812267,0.008220774158457456
49,49,49,49,2019-04-16,249.94744873046875,252.1757659912109,252.804428100586,-0.008836365588039241,-0.011301144491743242
50,50,50,50,2019-04-17,248.2810974121093,250.82907104492188,257.00146484375,-0.010158207029982824,-0.0339311973841957
51,51,51,51,2019-04-18,249.73426818847656,251.01315307617188,259.42889404296875,-0.005094891929058543,-0.0373691060521828
52,52,52,52,2019-04-22,253.4351806640625,251.49755859375,260.22186279296875,0.0077043374939571585,-0.026080368713314872
53,53,53,53,2019-04-23,257.397705078125,251.95291137695312,253.9841766357422,0.021610362314987475,0.013439925618982107
54,54,54,54,2019-04-24,255.80889892578125,252.747299194336,253.0848388671875,0.012113283667934294,0.01076342648886719
55,55,55,55,2019-04-25,255.6151123046875,249.94744873046875,252.1757659912109,0.02267542078547269,0.01363868688951042
56,56,56,56,2019-04-26,245.6749267578125,248.2810974121093,250.82907104492188,-0.010496854901406172,-0.02054843270613671
