,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HSIC,HSIC_6m,HSIC_12m,HSIC_6m_ret,HSIC_12m_ret
0,0,0,0,2019-02-05,62.48627471923828,,,,
1,1,1,1,2019-02-06,63.3411750793457,,,,
2,2,2,2,2019-02-07,62.50196075439453,,,,
3,3,3,3,2019-02-08,59.150001525878906,,,,
4,4,4,4,2019-02-11,60.38999938964844,,,,
5,5,5,5,2019-02-12,61.0099983215332,,,,
6,6,6,6,2019-02-13,62.09000015258789,62.48627471923828,,-0.006341785751045714,
7,7,7,7,2019-02-14,62.369998931884766,63.3411750793457,,-0.015332461802995856,
8,8,8,8,2019-02-15,62.38999938964844,62.50196075439453,,-0.0017913256383436105,
9,9,9,9,2019-02-19,63.11000061035156,59.150001525878906,,0.06694841897409098,
10,10,10,10,2019-02-20,60.16999816894531,60.38999938964844,,-0.0036430075000271067,
11,11,11,11,2019-02-21,59.97999954223633,61.0099983215332,,-0.01688245873846128,
12,12,12,12,2019-02-22,59.93999862670898,62.09000015258789,62.48627471923828,-0.034627178621279175,-0.04074936622434555
13,13,13,13,2019-02-25,59.83000183105469,62.369998931884766,63.3411750793457,-0.04072466160539856,-0.0554327140898897
14,14,14,14,2019-02-26,58.4900016784668,62.38999938964844,62.50196075439453,-0.06250998155689547,-0.06418933146262384
15,15,15,15,2019-02-27,58.400001525878906,63.11000061035156,59.150001525878906,-0.07463158039805351,-0.012679627737150034
16,16,16,16,2019-02-28,59.29999923706055,60.16999816894531,60.38999938964844,-0.01445901542895156,-0.018049348627327988
17,17,17,17,2019-03-01,60.06999969482422,59.97999954223633,61.0099983215332,0.0015005027221535183,-0.01540728819160142
18,18,18,18,2019-03-04,59.7599983215332,59.93999862670898,62.09000015258789,-0.0030030081631594596,-0.03752620108437177
19,19,19,19,2019-03-05,58.869998931884766,59.83000183105469,62.369998931884766,-0.01604551010846922,-0.056116723744414454
20,20,20,20,2019-03-06,57.70000076293945,58.4900016784668,62.38999938964844,-0.013506597586886104,-0.07517228197772885
21,21,21,21,2019-03-07,57.400001525878906,58.400001525878906,63.11000061035156,-0.017123287223834494,-0.09047692963476339
22,22,22,22,2019-03-08,58.56999969482422,59.29999923706055,60.16999816894531,-0.012310279116835132,-0.026591300030101683
23,23,23,23,2019-03-11,59.93000030517578,60.06999969482422,59.97999954223633,-0.002330604134504477,-0.000833598490199039
24,24,24,24,2019-03-12,59.709999084472656,59.7599983215332,59.93999862670898,-0.0008366673103223921,-0.003837162954719142
25,25,25,25,2019-03-13,60.150001525878906,58.869998931884766,59.83000183105469,0.021742867627280837,0.005348482116511066
26,26,26,26,2019-03-14,59.09999847412109,57.70000076293945,58.4900016784668,0.024263391554075087,0.010429078101375167
27,27,27,27,2019-03-15,59.290000915527344,57.400001525878906,58.400001525878906,0.0329268177596882,0.015239715177987723
28,28,28,28,2019-03-18,59.77999877929688,58.56999969482422,59.29999923706055,0.020659024940708592,0.008094427460571652
29,29,29,29,2019-03-19,60.5,59.93000030517578,60.06999969482422,0.009511091138355798,0.00715832041552078
30,30,30,30,2019-03-20,60.119998931884766,59.709999084472656,59.7599983215332,0.006866519070483967,0.006024106768119486
31,31,31,31,2019-03-21,61.220001220703125,60.150001525878906,58.869998931884766,0.01778885565553745,0.03991850401657748
32,32,32,32,2019-03-22,59.79999923706055,59.09999847412109,57.70000076293945,0.011844344856387412,0.03639512038741466
33,33,33,33,2019-03-25,58.869998931884766,59.290000915527344,57.400001525878906,-0.007083858612870864,0.02560971022523595
34,34,34,34,2019-03-26,59.34000015258789,59.77999877929688,58.56999969482422,-0.007360298355532424,0.013146669997877947
35,35,35,35,2019-03-27,58.790000915527344,60.5,59.93000030517578,-0.028264447677234017,-0.019022182276711597
36,36,36,36,2019-03-28,58.88999938964844,60.119998931884766,59.709999084472656,-0.020459074585645,-0.013733038140967824
37,37,37,37,2019-03-29,60.11000061035156,61.220001220703125,60.150001525878906,-0.018131339239114364,-0.000665019360143071
38,38,38,38,2019-04-01,60.9900016784668,59.79999923706055,59.09999847412109,0.019899706631915093,0.03197975047619184
39,39,39,39,2019-04-02,60.66999816894531,58.869998931884766,59.290000915527344,0.03057583267740882,0.023275379188880452
40,40,40,40,2019-04-03,60.560001373291016,59.34000015258789,59.77999877929688,0.020559508216481115,0.013047885746432453
41,41,41,41,2019-04-04,61.36000061035156,58.790000915527344,60.5,0.043714911631264286,0.014214886121513448
42,42,42,42,2019-04-05,62.72999954223633,58.88999938964844,60.119998931884766,0.06520632012882777,0.04341318457621157
43,43,43,43,2019-04-08,61.630001068115234,60.11000061035156,61.220001220703125,0.025286981239888817,0.0066971551655810035
44,44,44,44,2019-04-09,61.9900016784668,60.9900016784668,59.79999923706055,0.016396130061971492,0.036622114872018496
45,45,45,45,2019-04-10,61.84000015258789,60.66999816894531,58.869998931884766,0.019284687966934166,0.05045016603685615
46,46,46,46,2019-04-11,60.93000030517578,60.560001373291016,59.34000015258789,0.006109625553079034,0.02679474466631837
47,47,47,47,2019-04-12,61.77999877929688,61.36000061035156,58.790000915527344,0.006844820155925246,0.050858952495437704
48,48,48,48,2019-04-15,61.88999938964844,62.72999954223633,58.88999938964844,-0.013390724672687315,0.05094243557637612
49,49,49,49,2019-04-16,61.33000183105469,61.630001068115234,60.11000061035156,-0.004867746744462664,0.020296143874818595
50,50,50,50,2019-04-17,60.72999954223633,61.9900016784668,60.9900016784668,-0.020325892920053712,-0.004263028842025229
51,51,51,51,2019-04-18,61.5,61.84000015258789,60.66999816894531,-0.0054980619623051785,0.013680597595262967
52,52,52,52,2019-04-22,61.400001525878906,60.93000030517578,60.560001373291016,0.007713789895766654,0.013870543816704162
53,53,53,53,2019-04-23,63.2599983215332,61.77999877929688,61.36000061035156,0.023955965870499307,0.030964760304469596
54,54,54,54,2019-04-24,64.18000030517578,61.88999938964844,62.72999954223633,0.037001146196656176,0.02311494936267544
55,55,55,55,2019-04-25,63.81999969482422,61.33000183105469,61.630001068115234,0.04059999656658597,0.035534619321011096
56,56,56,56,2019-04-26,64.47000122070312,60.72999954223633,61.9900016784668,0.061584088698464656,0.04000644418594668
57,57,57,57,2019-04-29,63.4900016784668,61.5,61.84000015258789,0.032357750869378865,0.026681783987833052
58,58,58,58,2019-04-30,64.05999755859375,61.400001525878906,60.93000030517578,0.0433224098796432,0.05137037974299963
59,59,59,59,2019-05-01,62.43999862670898,63.2599983215332,61.77999877929688,-0.012962373009502648,0.010683066695580168
60,60,60,60,2019-05-02,62.77000045776367,64.18000030517578,61.88999938964844,-0.021969458409279552,0.014218792644913547
61,61,61,61,2019-05-03,63.22999954223633,63.81999969482422,61.33000183105469,-0.009244753296915764,0.030979906317556427
62,62,62,62,2019-05-06,63.27999877929688,64.47000122070312,60.72999954223633,-0.0184582351306688,0.04198911997829158
63,63,63,63,2019-05-07,66.70999908447266,63.4900016784668,61.5,0.05071660609355355,0.08471543226784806
64,64,64,64,2019-05-08,68.70999908447266,64.05999755859375,61.400001525878906,0.07258822514980112,0.11905533187181971
