,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TDY,TDY_6m,TDY_12m,TDY_6m_ret,TDY_12m_ret
0,0,0,0,2019-02-05,226.8800048828125,,,,
1,1,1,1,2019-02-06,226.8699951171875,,,,
2,2,2,2,2019-02-07,227.1199951171875,,,,
3,3,3,3,2019-02-08,228.69000244140625,,,,
4,4,4,4,2019-02-11,229.7700042724609,,,,
5,5,5,5,2019-02-12,232.22000122070312,,,,
6,6,6,6,2019-02-13,231.3500061035156,226.8800048828125,,0.01970205009036352,
7,7,7,7,2019-02-14,232.44000244140625,226.8699951171875,,0.024551538079513824,
8,8,8,8,2019-02-15,236.3800048828125,227.1199951171875,,0.04077144225389362,
9,9,9,9,2019-02-19,235.4499969482422,228.69000244140625,,0.029559641587602714,
10,10,10,10,2019-02-20,235.83999633789065,229.7700042724609,,0.026417687046007776,
11,11,11,11,2019-02-21,233.2899932861328,232.22000122070312,,0.004607665402657446,
12,12,12,12,2019-02-22,235.5500030517578,231.3500061035156,226.8800048828125,0.018154297978980605,0.038214024957481385
13,13,13,13,2019-02-25,235.3600006103516,232.44000244140625,226.8699951171875,0.01256237368041413,0.03742233735571188
14,14,14,14,2019-02-26,235.1499938964844,236.3800048828125,227.1199951171875,-0.0052035322824275365,0.03535575445549677
15,15,15,15,2019-02-27,237.0,235.4499969482422,228.69000244140625,0.00658315171734114,0.0363373889102252
16,16,16,16,2019-02-28,236.0399932861328,235.83999633789065,229.7700042724609,0.0008480196376683402,0.027288109401072846
17,17,17,17,2019-03-01,235.8000030517578,233.2899932861328,232.22000122070312,0.010759183153417284,0.015416423272051505
18,18,18,18,2019-03-04,235.8600006103516,235.5500030517578,231.3500061035156,0.0013160583934515024,0.019494248488664656
19,19,19,19,2019-03-05,232.38999938964844,235.3600006103516,232.44000244140625,-0.01261897184313876,-0.00021512240248067194
20,20,20,20,2019-03-06,231.6999969482422,235.1499938964844,236.3800048828125,-0.014671473688240622,-0.019798662483700658
21,21,21,21,2019-03-07,230.5800018310547,237.0,235.4499969482422,-0.02708859986896761,-0.02068377651437403
22,22,22,22,2019-03-08,229.3699951171875,236.0399932861328,235.83999633789065,-0.02825791543240641,-0.027433859061944288
23,23,23,23,2019-03-11,227.259994506836,235.8000030517578,233.2899932861328,-0.03621716893297622,-0.025847652933407073
24,24,24,24,2019-03-12,228.0800018310547,235.8600006103516,235.5500030517578,-0.03298566420403648,-0.031713016870824395
25,25,25,25,2019-03-13,229.58999633789065,232.38999938964844,235.3600006103516,-0.012048724381908626,-0.024515653711326357
26,26,26,26,2019-03-14,227.3999938964844,231.6999969482422,235.1499938964844,-0.018558494209727328,-0.03295768743847649
27,27,27,27,2019-03-15,228.25,230.5800018310547,237.0,-0.010104960588741219,-0.03691983122362874
28,28,28,28,2019-03-18,234.6999969482422,229.3699951171875,236.0399932861328,0.023237572239261484,-0.005676988544336403
29,29,29,29,2019-03-19,232.72000122070312,227.259994506836,235.8000030517578,0.024025375542737315,-0.013061924474948472
30,30,30,30,2019-03-20,233.3800048828125,228.0800018310547,235.8600006103516,0.023237473733815905,-0.010514693975754441
31,31,31,31,2019-03-21,237.0500030517578,229.58999633789065,232.38999938964844,0.032492734147214986,0.020052513767152114
32,32,32,32,2019-03-22,227.6100006103516,227.3999938964844,231.6999969482422,0.0009235123988735605,-0.017652120810360827
33,33,33,33,2019-03-25,229.22999572753903,228.25,230.5800018310547,0.00429351906917419,-0.005854827360547987
34,34,34,34,2019-03-26,231.3500061035156,234.6999969482422,229.3699951171875,-0.01427350186743015,0.00863238884107953
35,35,35,35,2019-03-27,229.8500061035156,232.72000122070312,227.259994506836,-0.012332395591841405,0.011396689515460245
36,36,36,36,2019-03-28,233.5800018310547,233.3800048828125,228.0800018310547,0.0008569583685740234,0.024114345649970614
37,37,37,37,2019-03-29,237.009994506836,237.0500030517578,229.58999633789065,-0.00016877681673377332,0.032318473310244844
38,38,38,38,2019-04-01,240.2100067138672,227.6100006103516,227.3999938964844,0.05535787561938332,0.05633251170276665
39,39,39,39,2019-04-02,240.77999877929688,229.22999572753903,228.25,0.05038608937325151,0.05489594207797088
40,40,40,40,2019-04-03,243.17999267578125,231.3500061035156,234.6999969482422,0.051134585088242535,0.036131213625065106
41,41,41,41,2019-04-04,244.3300018310547,229.8500061035156,232.72000122070312,0.062997586874189,0.0498882801196836
42,42,42,42,2019-04-05,244.6300048828125,233.5800018310547,233.3800048828125,0.04730714515427614,0.04820464377678357
43,43,43,43,2019-04-08,247.58999633789065,237.009994506836,237.0500030517578,0.04463947544941815,0.04446316452411736
44,44,44,44,2019-04-09,245.5599975585937,240.2100067138672,227.6100006103516,0.022272139774340394,0.07886295373712926
45,45,45,45,2019-04-10,247.0200042724609,240.77999877929688,229.22999572753903,0.025915796680785474,0.07760768170177412
46,46,46,46,2019-04-11,249.9100036621093,243.17999267578125,231.3500061035156,0.027675019282120017,0.08022475499866277
47,47,47,47,2019-04-12,251.7899932861328,244.3300018310547,229.8500061035156,0.030532441366887264,0.09545349836856776
48,48,48,48,2019-04-15,252.7100067138672,244.6300048828125,233.5800018310547,0.03302947990752547,0.08189915546215709
49,49,49,49,2019-04-16,253.2899932861328,247.58999633789065,237.009994506836,0.023021919433543037,0.06868908129031359
50,50,50,50,2019-04-17,251.4600067138672,245.5599975585937,240.2100067138672,0.024026751970730453,0.046834018923286314
51,51,51,51,2019-04-18,252.42999267578125,247.0200042724609,240.77999877929688,0.021901013317743967,0.04838439220677526
52,52,52,52,2019-04-22,250.1600036621093,249.9100036621093,243.17999267578125,0.0010003601149877195,0.02870306438257897
53,53,53,53,2019-04-23,252.72000122070312,251.7899932861328,244.3300018310547,0.0036935857634081692,0.03433880132105038
54,54,54,54,2019-04-24,249.72000122070312,252.7100067138672,244.6300048828125,-0.011831765318852328,0.020806917533803482
55,55,55,55,2019-04-25,247.72999572753903,253.2899932861328,247.58999633789065,-0.02195111416151696,0.0005654484903232504
56,56,56,56,2019-04-26,248.5500030517578,251.4600067138672,245.5599975585937,-0.011572431338636835,0.012176272694621959
57,57,57,57,2019-04-29,250.9100036621093,252.42999267578125,247.0200042724609,-0.006021427951409142,0.01574770999257913
58,58,58,58,2019-04-30,248.509994506836,250.1600036621093,249.9100036621093,-0.006595815202744992,-0.00560205327821206
59,59,59,59,2019-05-01,245.3600006103516,252.72000122070312,251.7899932861328,-0.02912314250870851,-0.02553712556985621
60,60,60,60,2019-05-02,244.3800048828125,249.72000122070312,252.7100067138672,-0.02138393525463389,-0.03296269086995984
61,61,61,61,2019-05-03,249.1300048828125,247.72999572753903,253.2899932861328,0.005651350984614778,-0.01642381662753223
62,62,62,62,2019-05-06,250.0599975585937,248.5500030517578,251.4600067138672,0.0060752141955171535,-0.005567522142264747
63,63,63,63,2019-05-07,250.33999633789065,250.9100036621093,252.42999267578125,-0.0022717600569893692,-0.008279508768892496
64,64,64,64,2019-05-08,249.8699951171875,248.509994506836,250.1600036621093,0.005472619373117826,-0.0011592922156873353
65,65,65,65,2019-05-09,247.8800048828125,245.3600006103516,252.72000122070312,0.010270640145876309,-0.019151615679456224
66,66,66,66,2019-05-10,248.08999633789065,244.3800048828125,249.72000122070312,0.015181239794381796,-0.006527330109100338
67,67,67,67,2019-05-13,241.0800018310547,249.1300048828125,247.72999572753903,-0.032312458933015376,-0.026843716995006983
68,68,68,68,2019-05-14,236.94000244140625,250.0599975585937,248.5500030517578,-0.052467388807812765,-0.04671092523758247
69,69,69,69,2019-05-15,239.0,250.33999633789065,250.9100036621093,-0.045298380218016576,-0.04746723322418034
70,70,70,70,2019-05-16,241.52999877929688,249.8699951171875,248.509994506836,-0.03337734222141886,-0.028087384337965204
71,71,71,71,2019-05-17,240.6699981689453,247.8800048828125,245.3600006103516,-0.029086681345176557,-0.01911478003643441
72,72,72,72,2019-05-20,241.759994506836,248.08999633789065,244.3800048828125,-0.02551494185373515,-0.010721050509974739
73,73,73,73,2019-05-21,246.6100006103516,241.0800018310547,249.1300048828125,0.022938438432451358,-0.010115217850400149
74,74,74,74,2019-05-22,246.009994506836,236.94000244140625,250.0599975585937,0.03827969938369824,-0.016196125295125263
75,75,75,75,2019-05-23,237.7400054931641,239.0,250.33999633789065,-0.005271943543246449,-0.050331513258153215
76,76,76,76,2019-05-24,239.7400054931641,241.52999877929688,249.8699951171875,-0.007411059889783855,-0.04054104062903796
77,77,77,77,2019-05-28,236.6000061035156,240.6699981689453,247.8800048828125,-0.01691109027462856,-0.04550588412578749
78,78,78,78,2019-05-29,235.6000061035156,241.759994506836,248.08999633789065,-0.02547976730346191,-0.05034459437600247
79,79,79,79,2019-05-30,236.9499969482422,246.6100006103516,241.0800018310547,-0.03917117569523221,-0.017131262864792718
80,80,80,80,2019-05-31,235.8000030517578,246.009994506836,236.94000244140625,-0.04150234414478016,-0.004811342018662956
81,81,81,81,2019-06-03,236.0599975585937,237.7400054931641,239.0,-0.0070665764942901,-0.012301265445214704
82,82,82,82,2019-06-04,244.1499938964844,239.7400054931641,241.52999877929688,0.01839487904510806,0.010847493605055769
83,83,83,83,2019-06-05,250.6300048828125,236.6000061035156,240.6699981689453,0.05929838722471792,0.04138449657059229
84,84,84,84,2019-06-06,251.92999267578125,235.6000061035156,241.759994506836,0.06931233509854295,0.04206650562551073
