,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HST,HST_6m,HST_12m,HST_6m_ret,HST_12m_ret
0,0,0,0,2019-02-05,15.79116439819336,,,,
1,1,1,1,2019-02-06,15.69635009765625,,,,
2,2,2,2,2019-02-07,15.679112434387209,,,,
3,3,3,3,2019-02-08,15.48947811126709,,,,
4,4,4,4,2019-02-11,15.429142951965332,,,,
5,5,5,5,2019-02-12,15.498096466064451,,,,
6,6,6,6,2019-02-13,15.82564640045166,15.79116439819336,,0.0021836263234804587,
7,7,7,7,2019-02-14,15.808408737182615,15.69635009765625,,0.007139152658368397,
8,8,8,8,2019-02-15,16.06699562072754,15.679112434387209,,0.024738848449713968,
9,9,9,9,2019-02-19,15.9635591506958,15.48947811126709,,0.030606650270796676,
10,10,10,10,2019-02-20,16.963436126708984,15.429142951965332,,0.09944124437243729,
11,11,11,11,2019-02-21,17.058252334594727,15.498096466064451,,0.10066758017324795,
12,12,12,12,2019-02-22,17.35993766784668,15.82564640045166,15.79116439819336,0.096949674507528,0.09934500269231572
13,13,13,13,2019-02-25,17.066869735717773,15.808408737182615,15.69635009765625,0.07960706352279212,0.08731454316033416
14,14,14,14,2019-02-26,16.98067283630371,16.06699562072754,15.679112434387209,0.05686671218092987,0.08301237760512126
15,15,15,15,2019-02-27,16.808284759521484,15.9635591506958,15.48947811126709,0.052915869252682546,0.08514209702747122
16,16,16,16,2019-02-28,16.903099060058594,16.963436126708984,15.429142951965332,-0.0035568894296945652,0.0955306534317586
17,17,17,17,2019-03-01,16.851381301879883,17.058252334594727,15.498096466064451,-0.012127328676883375,0.0873194226644971
18,18,18,18,2019-03-04,17.066869735717773,17.35993766784668,15.82564640045166,-0.016881853940738156,0.07843113032215165
19,19,19,19,2019-03-05,17.101350784301758,17.066869735717773,15.808408737182615,0.0020203499011786086,0.08178824754689207
20,20,20,20,2019-03-06,17.006534576416016,16.98067283630371,16.06699562072754,0.0015230103283665475,0.05847633109928818
21,21,21,21,2019-03-07,16.70484733581543,16.808284759521484,15.9635591506958,-0.006153954742315948,0.046436272645835386
22,22,22,22,2019-03-08,16.62727165222168,16.903099060058594,16.963436126708984,-0.01631815602907305,-0.01981700358207572
23,23,23,23,2019-03-11,16.756567001342773,16.851381301879883,17.058252334594727,-0.0056265002161296485,-0.017685594475591482
24,24,24,24,2019-03-12,16.515216827392578,17.066869735717773,17.35993766784668,-0.032323027999135,-0.04865920930226941
25,25,25,25,2019-03-13,16.523834228515625,17.101350784301758,17.066869735717773,-0.033770230379477795,-0.03181810815990915
26,26,26,26,2019-03-14,16.56693458557129,17.006534576416016,16.98067283630371,-0.025848887018660838,-0.02436524481220048
27,27,27,27,2019-03-15,16.515216827392578,16.70484733581543,16.808284759521484,-0.011351825288237194,-0.017435921411486754
