,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AES,AES_6m,AES_12m,AES_6m_ret,AES_12m_ret
0,0,0,0,2019-02-05,14.5556001663208,,,,
1,1,1,1,2019-02-06,14.581357955932615,,,,
2,2,2,2,2019-02-07,14.692997932434082,,,,
3,3,3,3,2019-02-08,14.787455558776855,,,,
4,4,4,4,2019-02-11,14.735933303833008,,,,
5,5,5,5,2019-02-12,14.7531099319458,,,,
6,6,6,6,2019-02-13,14.632882118225098,14.5556001663208,,0.005309430804723236,
7,7,7,7,2019-02-14,14.650057792663574,14.581357955932615,,0.0047114841387601025,
8,8,8,8,2019-02-15,14.52983570098877,14.692997932434082,,-0.011104761070246938,
9,9,9,9,2019-02-19,14.7531099319458,14.787455558776855,,-0.0023226191074278146,
10,10,10,10,2019-02-20,14.72734546661377,14.735933303833008,,-0.0005827820364119329,
11,11,11,11,2019-02-21,14.873332023620604,14.7531099319458,,0.008148932139011578,
12,12,12,12,2019-02-22,15.05366325378418,14.632882118225098,14.5556001663208,0.02875586177483136,0.03421796983787817
13,13,13,13,2019-02-25,14.881917953491213,14.650057792663574,14.581357955932615,0.01582656970430163,0.020612620475194632
14,14,14,14,2019-02-26,14.847566604614258,14.52983570098877,14.692997932434082,0.0218674808280086,0.01051988660795855
15,15,15,15,2019-02-27,14.735933303833008,14.7531099319458,14.787455558776855,-0.0011642716818369703,-0.003484186629610364
16,16,16,16,2019-02-28,14.796043395996094,14.72734546661377,14.735933303833008,0.004664651178181378,0.004079150666856712
17,17,17,17,2019-03-01,15.02790069580078,14.873332023620604,14.7531099319458,0.01039233656148486,0.018625955145901596
18,18,18,18,2019-03-04,14.70158576965332,15.05366325378418,14.632882118225098,-0.023388159957833166,0.004695155122083072
19,19,19,19,2019-03-05,14.959206581115724,14.881917953491213,14.650057792663574,0.005193458791135308,0.02110222313300114
20,20,20,20,2019-03-06,15.096604347229004,14.847566604614258,14.52983570098877,0.016772966860263194,0.039007230219517464
21,21,21,21,2019-03-07,15.173891067504885,14.735933303833008,14.7531099319458,0.02972039535208526,0.028521521055566712
22,22,22,22,2019-03-08,15.199651718139648,14.796043395996094,14.72734546661377,0.027278125059620573,0.03207001917599994
23,23,23,23,2019-03-11,15.431503295898438,15.02790069580078,14.873332023620604,0.026856884954691962,0.0375283273036191
24,24,24,24,2019-03-12,15.560325622558594,14.70158576965332,15.05366325378418,0.05841137591278511,0.03365708135174672
25,25,25,25,2019-03-13,15.560325622558594,14.959206581115724,14.881917953491213,0.04018388530055561,0.04558603744406686
26,26,26,26,2019-03-14,15.611846923828123,15.096604347229004,14.847566604614258,0.03412969994763704,0.05147512313407265
27,27,27,27,2019-03-15,15.723481178283691,15.173891067504885,14.735933303833008,0.03621945803708604,0.06701631000147157
28,28,28,28,2019-03-18,15.58608627319336,15.199651718139648,14.796043395996094,0.025423908535517903,0.05339555015167474
