,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MCK,MCK_6m,MCK_12m,MCK_6m_ret,MCK_12m_ret
0,0,0,0,2019-02-05,126.18251037597656,,,,
1,1,1,1,2019-02-06,126.99642181396484,,,,
2,2,2,2,2019-02-07,125.06210327148438,,,,
3,3,3,3,2019-02-08,123.04158020019533,,,,
4,4,4,4,2019-02-11,124.89929962158205,,,,
5,5,5,5,2019-02-12,128.3179168701172,,,,
6,6,6,6,2019-02-13,128.48068237304688,126.18251037597656,,0.01821307873985556,
7,7,7,7,2019-02-14,128.69139099121094,126.99642181396484,,0.013346590030143046,
8,8,8,8,2019-02-15,129.811767578125,125.06210327148438,,0.037978445767300695,
9,9,9,9,2019-02-19,130.5203857421875,123.04158020019533,,0.06078274945610862,
10,10,10,10,2019-02-20,128.35621643066406,124.89929962158205,,0.027677631656508384,
11,11,11,11,2019-02-21,126.35484313964844,128.3179168701172,,-0.015298516203748558,
12,12,12,12,2019-02-22,125.9143524169922,128.48068237304688,126.18251037597656,-0.01997444213911681,-0.0021251594867256474
13,13,13,13,2019-02-25,124.65989685058594,128.69139099121094,126.99642181396484,-0.03132683631417377,-0.018398352725257472
14,14,14,14,2019-02-26,121.75839233398438,129.811767578125,125.06210327148438,-0.062038869005414665,-0.02641656306010076
15,15,15,15,2019-02-27,122.0169448852539,130.5203857421875,123.04158020019533,-0.06515028904166853,-0.00832755328137269
16,16,16,16,2019-02-28,122.1418228149414,128.35621643066406,124.89929962158205,-0.04841521344686539,-0.022077600234710726
17,17,17,17,2019-03-01,119.6156234741211,126.35484313964844,128.3179168701172,-0.05333566563870529,-0.06781822529744241
18,18,18,18,2019-03-04,115.36042022705078,125.9143524169922,128.48068237304688,-0.08381834149446143,-0.10211855902120048
19,19,19,19,2019-03-05,112.53643798828124,124.65989685058594,128.69139099121094,-0.09725227734493924,-0.12553250748554745
20,20,20,20,2019-03-06,109.0304946899414,121.75839233398438,129.811767578125,-0.10453404812647515,-0.16008774301356565
21,21,21,21,2019-03-07,107.84903717041016,122.0169448852539,130.5203857421875,-0.11611426370466338,-0.17369967490411264
22,22,22,22,2019-03-08,107.44561767578124,122.1418228149414,128.35621643066406,-0.12032082705550062,-0.16291068197837066
23,23,23,23,2019-03-11,109.00167846679688,119.6156234741211,126.35484313964844,-0.08873376820729906,-0.13733675925403743
24,24,24,24,2019-03-12,111.0476303100586,115.36042022705078,125.9143524169922,-0.03738535199944504,-0.11807011529312628
25,25,25,25,2019-03-13,112.83421325683594,112.53643798828124,124.65989685058594,0.002646034243466211,-0.09486357595758288
26,26,26,26,2019-03-14,113.07434844970705,109.0304946899414,121.75839233398438,0.03708919941403055,-0.07132193286896327
27,27,27,27,2019-03-15,114.5535888671875,107.84903717041016,122.0169448852539,0.062166078369189526,-0.06116655375271873
28,28,28,28,2019-03-18,116.58030700683594,107.44561767578124,122.1418228149414,0.08501686275022191,-0.045533263545049496
29,29,29,29,2019-03-19,117.68492126464844,109.00167846679688,119.6156234741211,0.07966155127140162,-0.016140886561447965
30,30,30,30,2019-03-20,115.88874053955078,111.0476303100586,115.36042022705078,0.04359489901743263,0.004579736372840593
31,31,31,31,2019-03-21,117.4063720703125,112.83421325683594,112.53643798828124,0.040521032420098635,0.04327428670292899
32,32,32,32,2019-03-22,113.86199188232422,113.07434844970705,109.0304946899414,0.006965712767007526,0.04431326489091436
33,33,33,33,2019-03-25,111.08604431152344,114.5535888671875,107.84903717041016,-0.030270064778889716,0.0300142423710148
34,34,34,34,2019-03-26,111.27814483642578,116.58030700683594,107.44561767578124,-0.045480770350855626,0.0356694599886731
35,35,35,35,2019-03-27,111.14366912841795,117.68492126464844,109.00167846679688,-0.055582754918283794,0.01965098787238917
36,36,36,36,2019-03-28,110.74024200439452,115.88874053955078,111.0476303100586,-0.04442621872656538,-0.002768076228243821
37,37,37,37,2019-03-29,112.4403839111328,117.4063720703125,112.83421325683594,-0.04229743302353017,-0.0034903362582650033
38,38,38,38,2019-04-01,114.15013885498048,113.86199188232422,113.07434844970705,0.0025306686444943605,0.009514009322387773
39,39,39,39,2019-04-02,110.25997161865234,111.08604431152344,114.5535888671875,-0.007436331881208291,-0.037481298412336495
40,40,40,40,2019-04-03,110.53853607177734,111.27814483642578,116.58030700683594,-0.0066464871941892545,-0.051824970187326125
41,41,41,41,2019-04-04,110.4712905883789,111.14366912841795,117.68492126464844,-0.006049634183501462,-0.061296133767618444
42,42,42,42,2019-04-05,112.09461212158205,110.74024200439452,115.88874053955078,0.012230153128379273,-0.032739405056126825
43,43,43,43,2019-04-08,112.20986938476562,112.4403839111328,117.4063720703125,-0.002050104405098452,-0.04426082327486269
44,44,44,44,2019-04-09,111.23013305664062,114.15013885498048,113.86199188232422,-0.025580396376473247,-0.02311446323900257
45,45,45,45,2019-04-10,110.72103118896484,110.25997161865234,111.08604431152344,0.004181568011890402,-0.00328585939683812
46,46,46,46,2019-04-11,109.68365478515624,110.53853607177734,111.27814483642578,-0.007733785130517701,-0.014328869820874335
47,47,47,47,2019-04-12,111.47027587890624,110.4712905883789,111.14366912841795,0.009042940344107908,0.002938599679581433
48,48,48,48,2019-04-15,112.58447265625,112.09461212158205,110.74024200439452,0.004370063158224191,0.016653662828209237
49,49,49,49,2019-04-16,112.0081558227539,112.20986938476562,112.4403839111328,-0.001797645457727537,-0.003844064501954292
50,50,50,50,2019-04-17,108.05076599121094,111.23013305664062,114.15013885498048,-0.028583684816871457,-0.05343289920582894
51,51,51,51,2019-04-18,109.5972137451172,110.72103118896484,110.25997161865234,-0.010149990763088645,-0.006010865627894102
52,52,52,52,2019-04-22,108.0315399169922,109.68365478515624,110.53853607177734,-0.015062543925985383,-0.022679838578260503
53,53,53,53,2019-04-23,110.65380859375,111.47027587890624,110.4712905883789,-0.0073245291511002675,0.0016521759128456104
54,54,54,54,2019-04-24,110.7786636352539,112.58447265625,112.09461212158205,-0.016039592124836854,-0.011739622997230303
55,55,55,55,2019-04-25,110.66341400146484,112.0081558227539,112.20986938476562,-0.012005749147562361,-0.013781812524868098
56,56,56,56,2019-04-26,112.93986511230467,108.05076599121094,111.23013305664062,0.04524816715775448,0.015371122992304809
57,57,57,57,2019-04-29,113.69871520996094,109.5972137451172,110.72103118896484,0.03742341000002347,0.02689357197111142
58,58,58,58,2019-04-30,114.54395294189452,108.0315399169922,109.68365478515624,0.0602825159199456,0.044311963949946964
59,59,59,59,2019-05-01,114.31344604492188,110.65380859375,111.47027587890624,0.03307285576231478,0.02550608351507333
60,60,60,60,2019-05-02,117.7905731201172,110.7786636352539,112.58447265625,0.06329657042939663,0.04624172713197128
61,61,61,61,2019-05-03,118.60704040527344,110.66341400146484,112.0081558227539,0.07178186644145512,0.05891432221205273
62,62,62,62,2019-05-06,119.99022674560548,112.93986511230467,108.05076599121094,0.062425801786553325,0.1104986220585027
63,63,63,63,2019-05-07,120.72020721435548,113.69871520996094,109.5972137451172,0.06175524491572615,0.10148974676588285
64,64,64,64,2019-05-08,126.5026397705078,114.54395294189452,108.0315399169922,0.10440260285656144,0.1709787703452914
65,65,65,65,2019-05-09,129.28822326660156,114.31344604492188,110.65380859375,0.13099751376399782,0.16840283140425116
66,66,66,66,2019-05-10,125.69580841064452,117.7905731201172,110.7786636352539,0.06711263118200406,0.13465720099771472
67,67,67,67,2019-05-13,121.45982360839844,118.60704040527344,110.66341400146484,0.024052393461443833,0.09756078559794545
68,68,68,68,2019-05-14,120.6529769897461,119.99022674560548,112.93986511230467,0.0055233685452209524,0.06829397104177248
69,69,69,69,2019-05-15,121.32534790039062,120.72020721435548,113.69871520996094,0.005012753871111553,0.06707756262985054
70,70,70,70,2019-05-16,120.6241683959961,126.5026397705078,114.54395294189452,-0.04646915973592336,0.053081941891650386
71,71,71,71,2019-05-17,120.06706237792967,129.28822326660156,114.31344604492188,-0.07132251225741726,0.05033192972545675
72,72,72,72,2019-05-20,121.41180419921876,125.69580841064452,117.7905731201172,-0.03408231559663499,0.03074296170890345
73,73,73,73,2019-05-21,123.26564025878906,121.45982360839844,118.60704040527344,0.01486760474980442,0.03927759969051969
74,74,74,74,2019-05-22,124.51435089111328,120.6529769897461,119.99022674560548,0.03200396706079922,0.0377041053110061
75,75,75,75,2019-05-23,123.99565887451172,121.32534790039062,120.72020721435548,0.022009506012819813,0.027132588120398315
76,76,76,76,2019-05-24,124.7928695678711,120.6241683959961,126.5026397705078,0.0345594189564864,-0.013515687939306686
77,77,77,77,2019-05-28,124.96581268310548,120.06706237792967,129.28822326660156,0.04080011793539384,-0.03343236123357474
78,78,78,78,2019-05-29,120.44164276123048,121.41180419921876,125.69580841064452,-0.007990668159385761,-0.04180064328198463
79,79,79,79,2019-05-30,118.96243286132812,123.26564025878906,121.45982360839844,-0.03491003160675277,-0.020561455408680707
80,80,80,80,2019-05-31,117.69052124023438,124.51435089111328,120.6529769897461,-0.054803559606123486,-0.02455352386177334
81,81,81,81,2019-06-03,120.02237701416016,123.99565887451172,121.32534790039062,-0.03204371746895329,-0.010739477848439538
82,82,82,82,2019-06-04,122.91307830810548,124.7928695678711,120.6241683959961,-0.01506329060526368,0.018975549780332113
83,83,83,83,2019-06-05,122.7300262451172,124.96581268310548,120.06706237792967,-0.017891184716718467,0.0221789707722293
84,84,84,84,2019-06-06,123.48158264160156,120.44164276123048,121.41180419921876,0.025239940361803326,0.01704758821462371
85,85,85,85,2019-06-07,125.53400421142578,118.96243286132812,123.26564025878906,0.05524072761489318,0.018402240461124597
