,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AMD,AMD_6m,AMD_12m,AMD_6m_ret,AMD_12m_ret
0,0,0,0,2019-02-05,23.309999465942383,,,,
1,1,1,1,2019-02-06,23.26000022888184,,,,
2,2,2,2,2019-02-07,22.670000076293945,,,,
3,3,3,3,2019-02-08,23.049999237060547,,,,
4,4,4,4,2019-02-11,22.959999084472656,,,,
5,5,5,5,2019-02-12,22.81999969482422,,,,
6,6,6,6,2019-02-13,22.850000381469727,23.309999465942383,,-0.01973398090998446,
7,7,7,7,2019-02-14,23.1299991607666,23.26000022888184,,-0.005589039846775945,
8,8,8,8,2019-02-15,23.68000030517578,22.670000076293945,,0.04455228167105285,
9,9,9,9,2019-02-19,23.950000762939453,23.049999237060547,,0.03904562063637096,
10,10,10,10,2019-02-20,23.950000762939453,22.959999084472656,,0.043118541722256154,
11,11,11,11,2019-02-21,23.920000076293945,22.81999969482422,,0.048203347773015714,
12,12,12,12,2019-02-22,24.36000061035156,22.850000381469727,23.309999465942383,0.0660831598981666,0.04504509517228028
13,13,13,13,2019-02-25,24.709999084472656,23.1299991607666,23.26000022888184,0.0683095538708911,0.06233872920561545
14,14,14,14,2019-02-26,24.209999084472656,23.68000030517578,22.670000076293945,0.022381704918349676,0.06793114261120325
15,15,15,15,2019-02-27,23.479999542236328,23.950000762939453,23.049999237060547,-0.019624267462672096,0.018655111471084673
16,16,16,16,2019-02-28,23.530000686645508,23.950000762939453,22.959999084472656,-0.017536537073679748,0.02482585474310106
17,17,17,17,2019-03-01,23.68000030517578,23.920000076293945,22.81999969482422,-0.010033435215412778,0.03768626739055647
18,18,18,18,2019-03-04,23.3700008392334,24.36000061035156,22.850000381469727,-0.04064038367459932,0.02275713125087586
19,19,19,19,2019-03-05,23.5,24.709999084472656,23.1299991607666,-0.048967993901424256,0.015996578152108087
20,20,20,20,2019-03-06,22.40999984741211,24.209999084472656,23.68000030517578,-0.07434941367738401,-0.05363177539681385
21,21,21,21,2019-03-07,22.07999992370605,23.479999542236328,23.950000762939453,-0.05962519786305476,-0.07807936449534758
22,22,22,22,2019-03-08,22.01000022888184,23.530000686645508,23.950000762939453,-0.06459840260975203,-0.08100210740116531
23,23,23,23,2019-03-11,22.959999084472656,23.68000030517578,23.920000076293945,-0.03040545656351845,-0.040133820600306125
24,24,24,24,2019-03-12,23.489999771118164,23.3700008392334,24.36000061035156,0.0051347423010490445,-0.035714319270734984
25,25,25,25,2019-03-13,23.3799991607666,23.5,24.709999084472656,-0.005106418690782877,-0.05382436151289882
26,26,26,26,2019-03-14,22.81999969482422,22.40999984741211,24.209999084472656,0.0182953971532247,-0.057414268575496474
27,27,27,27,2019-03-15,23.290000915527344,22.07999992370605,23.479999542236328,0.05480076974647918,-0.00809193485575721
28,28,28,28,2019-03-18,23.25,22.01000022888184,23.530000686645508,0.056338017184162315,-0.011899731341887376
29,29,29,29,2019-03-19,26.0,22.959999084472656,23.68000030517578,0.1324042263391565,0.09797295882285662
30,30,30,30,2019-03-20,25.700000762939453,23.489999771118164,23.3700008392334,0.0940826314753127,0.099700463843992
31,31,31,31,2019-03-21,27.88999938964844,23.3799991607666,23.5,0.19289993117065452,0.18680848466589106
32,32,32,32,2019-03-22,26.3700008392334,22.81999969482422,22.40999984741211,0.15556534583189996,0.17670687277039798
33,33,33,33,2019-03-25,25.96999931335449,23.290000915527344,22.07999992370605,0.11507077254086329,0.17617750919790387
34,34,34,34,2019-03-26,25.690000534057617,23.25,22.01000022888184,0.10494625952935999,0.16719674088630088
35,35,35,35,2019-03-27,24.88999938964844,26.0,22.959999084472656,-0.0426923311673677,0.08405925009295845
36,36,36,36,2019-03-28,25.059999465942383,25.700000762939453,23.489999771118164,-0.02490277346294789,0.06683693955393699
37,37,37,37,2019-03-29,25.520000457763672,27.88999938964844,23.3799991607666,-0.08497665771783447,0.09153128202793748
38,38,38,38,2019-04-01,26.36000061035156,26.3700008392334,22.81999969482422,-0.00037922747681373714,0.1551271237015066
39,39,39,39,2019-04-02,26.75,25.96999931335449,23.290000915527344,0.030034682605648566,0.1485615692769633
40,40,40,40,2019-04-03,29.020000457763672,25.690000534057617,23.25,0.12962241551110232,0.24817206269951275
41,41,41,41,2019-04-04,29.09000015258789,24.88999938964844,26.0,0.16874250164450366,0.11884615971491885
