,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FICO,FICO_6m,FICO_12m,FICO_6m_ret,FICO_12m_ret
0,0,0,0,2019-02-05,231.8500061035156,,,,
1,1,1,1,2019-02-06,232.19000244140625,,,,
2,2,2,2,2019-02-07,232.2100067138672,,,,
3,3,3,3,2019-02-08,235.97999572753903,,,,
4,4,4,4,2019-02-11,235.7400054931641,,,,
5,5,5,5,2019-02-12,239.69000244140625,,,,
6,6,6,6,2019-02-13,240.63999938964844,231.8500061035156,,0.03791241343426277,
7,7,7,7,2019-02-14,242.4600067138672,232.19000244140625,,0.044231035636655314,
8,8,8,8,2019-02-15,240.63999938964844,232.2100067138672,,0.03630331351813276,
9,9,9,9,2019-02-19,244.33999633789065,235.97999572753903,,0.03542673430676735,
10,10,10,10,2019-02-20,243.6300048828125,235.7400054931641,,0.033469072731811655,
11,11,11,11,2019-02-21,245.47000122070312,239.69000244140625,,0.02411447586642601,
12,12,12,12,2019-02-22,248.6499938964844,240.63999938964844,231.8500061035156,0.03328621395924314,0.07246058809879008
13,13,13,13,2019-02-25,247.0200042724609,242.4600067138672,232.19000244140625,0.0188072153440757,0.063870113592841
14,14,14,14,2019-02-26,246.509994506836,240.63999938964844,232.2100067138672,0.024393264345395682,0.06158213418679015
15,15,15,15,2019-02-27,249.0599975585937,244.33999633789065,235.97999572753903,0.019317349969081077,0.05542843490071392
16,16,16,16,2019-02-28,247.82000732421875,243.6300048828125,235.7400054931641,0.01719822007729155,0.051242901287728015
17,17,17,17,2019-03-01,251.5800018310547,245.47000122070312,239.69000244140625,0.024891027742563354,0.049605737696777785
18,18,18,18,2019-03-04,248.0500030517578,248.6499938964844,240.63999938964844,-0.002412993603275071,0.03079290093460707
19,19,19,19,2019-03-05,247.259994506836,247.0200042724609,242.4600067138672,0.00097154169793634,0.019797029035940605
20,20,20,20,2019-03-06,245.42999267578125,246.509994506836,240.63999938964844,-0.004381168533208468,0.019905224810014888
21,21,21,21,2019-03-07,246.8000030517578,249.0599975585937,244.33999633789065,-0.009074096719623559,0.010067965747471375
22,22,22,22,2019-03-08,245.6000061035156,247.82000732421875,243.6300048828125,-0.008958119421725197,0.008086036946272968
23,23,23,23,2019-03-11,252.759994506836,251.5800018310547,245.47000122070312,0.004690327797094662,0.029698102618977096
24,24,24,24,2019-03-12,256.75,248.0500030517578,248.6499938964844,0.0350735611417301,0.03257593525977609
25,25,25,25,2019-03-13,257.8099975585937,247.259994506836,247.0200042724609,0.04266765059507449,0.043680645694716747
26,26,26,26,2019-03-14,261.239990234375,245.42999267578125,246.509994506836,0.0644175448413069,0.05975415218765301
27,27,27,27,2019-03-15,263.3800048828125,246.8000030517578,249.0599975585937,0.06717990934375151,0.05749621562912721
28,28,28,28,2019-03-18,264.17999267578125,245.6000061035156,247.82000732421875,0.07565140924481306,0.06601559546465108
29,29,29,29,2019-03-19,264.6099853515625,252.759994506836,251.5800018310547,0.04688238290180058,0.05179260444261358
30,30,30,30,2019-03-20,263.3900146484375,256.75,248.0500030517578,0.025861790256815897,0.06184241648035327
31,31,31,31,2019-03-21,269.07000732421875,257.8099975585937,247.259994506836,0.043675613328633345,0.0882067997327396
32,32,32,32,2019-03-22,263.3299865722656,261.239990234375,245.42999267578125,0.008000292512702734,0.0729331965556903
33,33,33,33,2019-03-25,262.5799865722656,263.3800048828125,246.8000030517578,-0.0030375058687649448,0.0639383441060919
34,34,34,34,2019-03-26,265.510009765625,264.17999267578125,245.6000061035156,0.005034511040645118,0.08106678814054158
35,35,35,35,2019-03-27,262.94000244140625,264.6099853515625,252.759994506836,-0.0063111107010473955,0.040275392292331125
36,36,36,36,2019-03-28,266.45001220703125,263.3900146484375,256.75,0.011617743226439714,0.03777998912183533
37,37,37,37,2019-03-29,271.6300048828125,269.07000732421875,257.8099975585937,0.009514243464189054,0.053605397211478945
38,38,38,38,2019-04-01,272.7699890136719,263.3299865722656,261.239990234375,0.035848566144272453,0.04413565767229044
39,39,39,39,2019-04-02,275.5899963378906,262.5799865722656,263.3800048828125,0.049546844508061794,0.04635883980832478
40,40,40,40,2019-04-03,276.6300048828125,265.510009765625,264.17999267578125,0.04188164177690901,0.04712700640548029
41,41,41,41,2019-04-04,270.6300048828125,262.94000244140625,264.6099853515625,0.02924622488021722,0.022750538016363064
42,42,42,42,2019-04-05,272.3099975585937,266.45001220703125,263.3900146484375,0.02199281322235125,0.03386606330563535
43,43,43,43,2019-04-08,275.45001220703125,271.6300048828125,269.07000732421875,0.01406327451146927,0.02371131939326432
44,44,44,44,2019-04-09,275.7900085449219,272.7699890136719,263.3299865722656,0.011071670832155434,0.04731714050058189
45,45,45,45,2019-04-10,276.3099975585937,275.5899963378906,262.5799865722656,0.002612581117858559,0.0522888707763316
46,46,46,46,2019-04-11,279.3399963378906,276.6300048828125,265.510009765625,0.009796447989169232,0.052088381091446756
47,47,47,47,2019-04-12,279.1099853515625,270.6300048828125,262.94000244140625,0.03133422131970165,0.06149685388308157
48,48,48,48,2019-04-15,278.2300109863281,272.3099975585937,266.45001220703125,0.021739978263047854,0.04421091476679617
49,49,49,49,2019-04-16,283.3900146484375,275.45001220703125,271.6300048828125,0.02882556576341133,0.0432942221191599
50,50,50,50,2019-04-17,275.44000244140625,275.7900085449219,272.7699890136719,-0.0012691036392590282,0.009788516095150523
51,51,51,51,2019-04-18,275.4599914550781,276.3099975585937,275.5899963378906,-0.003076277047613263,-0.0004717329530825598
52,52,52,52,2019-04-22,280.25,279.3399963378906,276.6300048828125,0.003257691966919829,0.013086053766007799
53,53,53,53,2019-04-23,283.75,279.1099853515625,270.6300048828125,0.016624323356231763,0.04847945490326788
54,54,54,54,2019-04-24,283.0,278.2300109863281,272.3099975585937,0.01714404925896451,0.03925673878024294
55,55,55,55,2019-04-25,280.5,283.3900146484375,275.45001220703125,-0.01019801157081257,0.018333590739408434
56,56,56,56,2019-04-26,283.67999267578125,275.44000244140625,275.7900085449219,0.029915735410029454,0.02860866560209052
57,57,57,57,2019-04-29,279.8099975585937,275.4599914550781,276.3099975585937,0.01579178914708179,0.0126669321809747
58,58,58,58,2019-04-30,279.75,280.25,279.3399963378906,-0.001784121320249743,0.00146775852897707
59,59,59,59,2019-05-01,270.8999938964844,283.75,279.1099853515625,-0.04528636512252204,-0.029414896943715352
60,60,60,60,2019-05-02,272.5,283.0,278.2300109863281,-0.03710247349823326,-0.020594510872551708
61,61,61,61,2019-05-03,280.25,280.5,283.3900146484375,-0.0008912655971479166,-0.011080188031088123
62,62,62,62,2019-05-06,284.4700012207031,283.67999267578125,275.44000244140625,0.002784858168777493,0.032783904658938656
63,63,63,63,2019-05-07,278.9200134277344,279.8099975585937,275.4599914550781,-0.003180673094687947,0.012560887533536791
64,64,64,64,2019-05-08,283.1199951171875,279.75,280.25,0.012046452608355684,0.010240838955174025
65,65,65,65,2019-05-09,287.2099914550781,270.8999938964844,283.75,0.060206710690536624,0.012193802484856908
66,66,66,66,2019-05-10,287.3299865722656,272.5,283.0,0.05442196907253449,0.015300305909065726
67,67,67,67,2019-05-13,273.07000732421875,280.25,280.5,-0.0256199560241972,-0.026488387435940286
68,68,68,68,2019-05-14,282.3599853515625,284.4700012207031,283.67999267578125,-0.007417358104848448,-0.004653156226380073
69,69,69,69,2019-05-15,287.29998779296875,278.9200134277344,279.8099975585937,0.03004436383840048,0.02676812944400453
70,70,70,70,2019-05-16,294.25,283.1199951171875,279.75,0.03931197045339596,0.05183199285075957
71,71,71,71,2019-05-17,291.8500061035156,287.2099914550781,270.8999938964844,0.016155477826276243,0.07733485669636675
72,72,72,72,2019-05-20,290.1600036621094,287.3299865722656,272.5,0.009849362134473738,0.06480735288847472
73,73,73,73,2019-05-21,293.45001220703125,273.07000732421875,280.25,0.07463289389601524,0.04710084641224355
74,74,74,74,2019-05-22,296.9100036621094,282.3599853515625,284.4700012207031,0.051530029272493616,0.04373045448737778
75,75,75,75,2019-05-23,294.32000732421875,287.29998779296875,278.9200134277344,0.024434458160536687,0.05521293975010644
76,76,76,76,2019-05-24,295.7300109863281,294.25,283.1199951171875,0.00502977395523585,0.04453947473374731
77,77,77,77,2019-05-28,299.1400146484375,291.8500061035156,287.2099914550781,0.024978613645586734,0.041537632910745526
