,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m,LYV_6m_ret,LYV_12m_ret
894,894,894,894,2022-08-23,92.80999755859376,98.51000213623048,96.76000213623048,-0.0578621911890137,-0.04082270039716851
895,895,895,895,2022-08-24,93.69000244140624,99.04000091552734,97.05999755859376,-0.05401856244613934,-0.03472074182933205
896,896,896,896,2022-08-25,95.3499984741211,97.4800033569336,95.13999938964844,-0.021850685365830902,0.0022072638829080393
897,897,897,897,2022-08-26,91.8000030517578,96.47000122070312,97.87000274658205,-0.04840881216805781,-0.06202104347070969
898,898,898,898,2022-08-29,91.91000366210938,94.27999877929688,96.43000030517578,-0.025137835679606813,-0.046873344693163954
899,899,899,899,2022-08-30,91.3000030517578,91.37999725341795,97.88999938964844,-0.0008754016640897255,-0.06732042475206623
900,900,900,900,2022-08-31,90.36000061035156,92.80999755859376,98.51000213623048,-0.026397985267647917,-0.08273273118610025
901,901,901,901,2022-09-01,90.1999969482422,93.69000244140624,99.04000091552734,-0.037250564651726714,-0.08925690514507278
902,902,902,902,2022-09-02,89.63999938964844,95.3499984741211,97.4800033569336,-0.05988462690979912,-0.08042679213477388
903,903,903,903,2022-09-06,88.93000030517578,91.8000030517578,96.47000122070312,-0.03126364543761373,-0.07815902166599342
904,904,904,904,2022-09-07,91.19000244140624,91.91000366210938,94.27999877929688,-0.00783376337738051,-0.03277467520045385
905,905,905,905,2022-09-08,90.7300033569336,91.3000030517578,91.37999725341795,-0.006243150884683635,-0.007113087284099762
906,906,906,906,2022-09-09,93.12000274658205,90.36000061035156,92.80999755859376,0.030544512146830405,0.003340213297522876
907,907,907,907,2022-09-12,95.26000213623048,90.1999969482422,93.69000244140624,0.0560976203900736,0.016757387703198345
908,908,908,908,2022-09-13,90.43000030517578,89.63999938964844,95.3499984741211,0.008813040170754016,-0.05159935236161173
909,909,909,909,2022-09-14,92.25,88.93000030517578,91.8000030517578,0.03733273005095206,0.004901927377807258
910,910,910,910,2022-09-15,92.08999633789062,91.19000244140624,91.91000366210938,0.009869436038919766,0.001958357834942026
911,911,911,911,2022-09-16,87.43000030517578,90.7300033569336,91.3000030517578,-0.036371684444621244,-0.042387761415387026
912,912,912,912,2022-09-19,86.9800033569336,93.12000274658205,90.36000061035156,-0.06593641761757596,-0.03740590117958409
913,913,913,913,2022-09-20,86.86000061035156,95.26000213623048,90.1999969482422,-0.088179732705298,-0.03702878548662447
914,914,914,914,2022-09-21,81.55000305175781,90.43000030517578,89.63999938964844,-0.09819747012551672,-0.09024984820364523
915,915,915,915,2022-09-22,77.4800033569336,92.25,88.93000030517578,-0.16010836469448675,-0.12875291700157332
916,916,916,916,2022-09-23,75.2699966430664,92.08999633789062,91.19000244140624,-0.18264741409163887,-0.1745806050237707
917,917,917,917,2022-09-26,73.77999877929688,87.43000030517578,90.7300033569336,-0.15612491682755758,-0.18681807506338421
918,918,918,918,2022-09-27,75.02999877929688,86.9800033569336,93.12000274658205,-0.1373879525917968,-0.19426550079165628
919,919,919,919,2022-09-28,77.7699966430664,86.86000061035156,95.26000213623048,-0.10465120772980807,-0.18360282491020496
920,920,920,920,2022-09-29,75.26000213623047,81.55000305175781,90.43000030517578,-0.07713060306736264,-0.16775404310240893
921,921,921,921,2022-09-30,76.04000091552734,77.4800033569336,92.25,-0.018585472109138523,-0.17571814725715618
922,922,922,922,2022-10-03,78.36000061035156,75.2699966430664,92.08999633789062,0.041052266574928886,-0.14909323784922146
923,923,923,923,2022-10-04,80.45999908447266,73.77999877929688,87.43000030517578,0.09053944721737017,-0.07972093327661245
924,924,924,924,2022-10-05,80.66999816894531,75.02999877929688,86.9800033569336,0.07516992511540188,-0.07254546958447872
925,925,925,925,2022-10-06,79.86000061035156,77.7699966430664,86.86000061035156,0.026874168156100664,-0.08058945372797721
926,926,926,926,2022-10-07,78.61000061035156,75.26000213623047,81.55000305175781,0.04451233562360457,-0.03605153073434342
927,927,927,927,2022-10-10,78.05999755859375,76.04000091552734,77.4800033569336,0.026564921340682446,0.0074857276268851525
928,928,928,928,2022-10-11,77.75,78.36000061035156,75.2699966430664,-0.007784591699849686,0.03294809974143975
929,929,929,929,2022-10-12,77.33000183105469,80.45999908447266,73.77999877929688,-0.038901283731458625,0.048116062760819256
930,930,930,930,2022-10-13,77.94000244140625,80.66999816894531,75.02999877929688,-0.033841524600282,0.03878453564512574
931,931,931,931,2022-10-14,75.77999877929688,79.86000061035156,77.7699966430664,-0.0510894289991507,-0.02558824674897231
932,932,932,932,2022-10-17,78.02999877929688,78.61000061035156,75.26000213623047,-0.00737821939386063,0.03680569445178006
933,933,933,933,2022-10-18,79.5999984741211,78.05999755859375,76.04000091552734,0.019728426386016462,0.046817431821818856
934,934,934,934,2022-10-19,79.62000274658203,77.75,78.36000061035156,0.024051482271151503,0.016079659602044716
935,935,935,935,2022-10-20,78.86000061035156,77.33000183105469,80.45999908447266,0.019785319320688943,-0.019885638731381272
936,936,936,936,2022-10-21,79.52999877929688,77.94000244140625,80.66999816894531,0.020400260303891526,-0.01413164020731672
937,937,937,937,2022-10-24,78.66000366210938,75.77999877929688,79.86000061035156,0.03800481564007785,-0.015026257689342404
938,938,938,938,2022-10-25,81.70999908447266,78.02999877929688,78.61000061035156,0.04716135284820955,0.039435166646123676
939,939,939,939,2022-10-26,78.47000122070312,79.5999984741211,78.05999755859375,-0.014195945666824916,0.005252417050123803
940,940,940,940,2022-10-27,78.12999725341797,79.62000274658203,77.75,-0.0187139593288701,0.004887424481260005
941,941,941,941,2022-10-28,80.05999755859375,78.86000061035156,77.33000183105469,0.015216801153367765,0.03530318974391555
942,942,942,942,2022-10-31,79.61000061035156,79.52999877929688,77.94000244140625,0.0010059327584890365,0.021426714352501985
943,943,943,943,2022-11-01,79.43000030517578,78.66000366210938,75.77999877929688,0.00978892203430326,0.04816576385160998
944,944,944,944,2022-11-02,76.77999877929688,81.70999908447266,78.02999877929688,-0.06033533668356916,-0.016019479937908865
945,945,945,945,2022-11-03,76.41999816894531,78.47000122070312,79.5999984741211,-0.026124672102298296,-0.039949753343395344
946,946,946,946,2022-11-04,70.72000122070312,78.12999725341797,79.62000274658203,-0.0948418826725439,-0.11178097486640659
947,947,947,947,2022-11-07,73.26000213623047,80.05999755859375,78.86000061035156,-0.08493624318919757,-0.0710118999591538
948,948,948,948,2022-11-08,72.9000015258789,79.61000061035156,79.52999877929688,-0.0842858815855877,-0.08336473475646378
949,949,949,949,2022-11-09,72.63999938964844,79.43000030517578,78.66000366210938,-0.08548408522522566,-0.07653196023636577
950,950,950,950,2022-11-10,76.36000061035156,76.77999877929688,81.70999908447266,-0.005470150763515758,-0.06547544405905825
951,951,951,951,2022-11-11,76.69999694824219,76.41999816894531,78.47000122070312,0.0036639464277121725,-0.02255644507361043
952,952,952,952,2022-11-14,73.5999984741211,70.72000122070312,78.12999725341797,0.04072394236009802,-0.057980275675725834
953,953,953,953,2022-11-15,74.27999877929688,73.26000213623047,80.05999755859375,0.013922967694836696,-0.07219584006440483
954,954,954,954,2022-11-16,74.01000213623047,72.9000015258789,79.61000061035156,0.015226345502304506,-0.07034290203727167
955,955,955,955,2022-11-17,71.8499984741211,72.63999938964844,79.43000030517578,-0.010875563355799311,-0.09542996099624546
956,956,956,956,2022-11-18,66.20999908447266,76.36000061035156,76.77999877929688,-0.13292301525339356,-0.1376660570835322
957,957,957,957,2022-11-21,66.94000244140625,76.69999694824219,76.41999816894531,-0.1272489556084606,-0.12405124253708022
958,958,958,958,2022-11-22,67.48999786376953,73.5999984741211,70.72000122070312,-0.08301631436174461,-0.04567312360266218
959,959,959,959,2022-11-23,68.58000183105469,74.27999877929688,73.26000213623047,-0.07673663222825566,-0.06388206618494352
960,960,960,960,2022-11-25,68.45999908447266,74.01000213623047,72.9000015258789,-0.07498990530417637,-0.060905382009218245
961,961,961,961,2022-11-28,68.69000244140625,71.8499984741211,72.63999938964844,-0.04398046067952266,-0.054377711748784585
962,962,962,962,2022-11-29,70.20999908447266,66.20999908447266,76.36000061035156,0.060413835603541965,-0.0805395688412972
963,963,963,963,2022-11-30,72.76000213623047,66.94000244140625,76.69999694824219,0.0869435237908538,-0.05136890441691233
964,964,964,964,2022-12-01,73.55000305175781,67.48999786376953,73.5999984741211,0.08979115987261665,-0.0006792856440188677
965,965,965,965,2022-12-02,73.91999816894531,68.58000183105469,74.27999877929688,0.07786521136359248,-0.0048465349524466905
966,966,966,966,2022-12-05,73.87999725341797,68.45999908447266,74.01000213623047,0.07917029274653631,-0.0017565853136066734
967,967,967,967,2022-12-06,70.91000366210938,68.69000244140625,71.8499984741211,0.032319131486373553,-0.01308273948468186
