,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KLAC,KLAC_6m,KLAC_12m,KLAC_6m_ret,KLAC_12m_ret
0,0,0,0,2019-02-05,98.6975555419922,,,,
1,1,1,1,2019-02-06,99.6588363647461,,,,
2,2,2,2,2019-02-07,97.49596405029295,,,,
3,3,3,3,2019-02-08,97.60688018798828,,,,
4,4,4,4,2019-02-11,97.6253662109375,,,,
5,5,5,5,2019-02-12,99.08574676513672,,,,
6,6,6,6,2019-02-13,99.71429443359376,98.6975555419922,,0.010301561026696104,
7,7,7,7,2019-02-14,99.7235870361328,99.6588363647461,,0.0006497233336111297,
8,8,8,8,2019-02-15,100.70094299316406,97.49596405029295,,0.03287293965540794,
9,9,9,9,2019-02-19,100.7660903930664,97.60688018798828,,0.03236667537158833,
10,10,10,10,2019-02-20,105.05696105957033,97.6253662109375,,0.07612360534018903,
11,11,11,11,2019-02-21,105.16864776611328,99.08574676513672,,0.06139027256256013,
12,12,12,12,2019-02-22,106.56482696533205,99.71429443359376,98.6975555419922,0.06870160964033589,0.07971090449137419
13,13,13,13,2019-02-25,107.74691009521484,99.7235870361328,99.6588363647461,0.08045562035564324,0.08115761758311946
14,14,14,14,2019-02-26,108.08199310302734,100.70094299316406,97.49596405029295,0.0732967327859515,0.10857915151517061
15,15,15,15,2019-02-27,106.9464340209961,100.7660903930664,97.60688018798828,0.06133356572455595,0.095685404707333
16,16,16,16,2019-02-28,107.49561309814452,105.05696105957033,97.6253662109375,0.02321266495793073,0.10110330204427131
17,17,17,17,2019-03-01,107.76551055908205,105.16864776611328,99.08574676513672,0.02469236648115869,0.08759851015221187
18,18,18,18,2019-03-04,108.63115692138672,106.56482696533205,99.71429443359376,0.0193903562263269,0.08942411455091093
19,19,19,19,2019-03-05,107.26290893554688,107.74691009521484,99.7235870361328,-0.00449201892880513,0.07560219325727191
20,20,20,20,2019-03-06,106.57412719726562,108.08199310302734,100.70094299316406,-0.013951129716162525,0.05832303084292123
21,21,21,21,2019-03-07,106.69513702392578,106.9464340209961,100.7660903930664,-0.0023497463881869685,0.05883970101183311
22,22,22,22,2019-03-08,106.06220245361328,107.49561309814452,105.05696105957033,-0.013334596670680154,0.009568536762385005
23,23,23,23,2019-03-11,108.83592224121094,107.76551055908205,105.16864776611328,0.00993278532784414,0.03487041578449679
24,24,24,24,2019-03-12,108.59392547607422,108.63115692138672,106.56482696533205,-0.0003427326594657165,0.01904097785850367
25,25,25,25,2019-03-13,108.78938293457033,107.26290893554688,107.74691009521484,0.014231144895955561,0.009675199394899137
26,26,26,26,2019-03-14,109.07791900634766,106.57412719726562,108.08199310302734,0.02349343011224092,0.009214540505104951
27,27,27,27,2019-03-15,111.33970642089844,106.69513702392578,106.9464340209961,0.04353121919634573,0.04107918548307876
28,28,28,28,2019-03-18,111.58170318603516,106.06220245361328,107.49561309814452,0.052040223611572234,0.03801169154837969
29,29,29,29,2019-03-19,111.84233856201172,108.83592224121094,107.76551055908205,0.027623382600991953,0.037830545058240794
30,30,30,30,2019-03-20,111.62826538085938,108.59392547607422,108.63115692138672,0.027942077712751034,0.027589768390679836
