,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BBWI,BBWI_6m,BBWI_12m,BBWI_6m_ret,BBWI_12m_ret
0,0,0,0,2019-02-05,19.418228149414062,,,,
1,1,1,1,2019-02-06,19.46846580505371,,,,
2,2,2,2,2019-02-07,19.31776237487793,,,,
3,3,3,3,2019-02-08,18.951791763305664,,,,
4,4,4,4,2019-02-11,19.461286544799805,,,,
5,5,5,5,2019-02-12,19.61916160583496,,,,
6,6,6,6,2019-02-13,19.683740615844727,19.418228149414062,,0.013673362182567317,
7,7,7,7,2019-02-14,19.56892776489257,19.46846580505371,,0.005160240197909172,
8,8,8,8,2019-02-15,19.61916160583496,19.31776237487793,,0.015602181303823848,
9,9,9,9,2019-02-19,19.73397827148437,18.951791763305664,,0.041272430488243916,
10,10,10,10,2019-02-20,19.719627380371094,19.461286544799805,,0.013274602117212986,
11,11,11,11,2019-02-21,19.41490364074707,19.61916160583496,,-0.010411146469538335,
12,12,12,12,2019-02-22,19.632556915283203,19.683740615844727,19.418228149414062,-0.002600303548011773,0.011037503742359123
13,13,13,13,2019-02-25,20.07512855529785,19.56892776489257,19.46846580505371,0.02586757928114114,0.031161302401479407
14,14,14,14,2019-02-26,19.937280654907227,19.61916160583496,19.31776237487793,0.016214711691739936,0.03206987786716731
15,15,15,15,2019-02-27,19.87923622131348,19.73397827148437,18.951791763305664,0.007360804184070924,0.048937032951339665
16,16,16,16,2019-02-28,18.9650821685791,19.719627380371094,19.461286544799805,-0.03826366478623555,-0.02549699759460622
17,17,17,17,2019-03-01,19.9517879486084,19.41490364074707,19.61916160583496,0.027653204867550407,0.016954156831783918
18,18,18,18,2019-03-04,19.451175689697266,19.632556915283203,19.683740615844727,-0.009238797899255746,-0.0118150777683107
19,19,19,19,2019-03-05,19.53824615478516,20.07512855529785,19.56892776489257,-0.026743659400926156,-0.0015678738496063271
20,20,20,20,2019-03-06,19.269800186157227,19.937280654907227,19.61916160583496,-0.03347901252449448,-0.017807153368563422
21,21,21,21,2019-03-07,19.07391357421875,19.87923622131348,19.73397827148437,-0.040510743880154965,-0.03344813134913682
22,22,22,22,2019-03-08,18.78369903564453,18.9650821685791,19.719627380371094,-0.009564057319776942,-0.04746176622273224
23,23,23,23,2019-03-11,19.037635803222656,19.9517879486084,19.41490364074707,-0.04581805639376313,-0.019431867626302446
24,24,24,24,2019-03-12,19.05940055847168,19.451175689697266,19.632556915283203,-0.020141462782277908,-0.02919417777749278
25,25,25,25,2019-03-13,19.64706802368164,19.53824615478516,20.07512855529785,0.005569684609067593,-0.021322928540014052
26,26,26,26,2019-03-14,19.030378341674805,19.269800186157227,19.937280654907227,-0.012424718583974426,-0.045487763799382686
27,27,27,27,2019-03-15,19.28430938720703,19.07391357421875,19.87923622131348,0.011030552915614722,-0.02992704686856129
28,28,28,28,2019-03-18,19.915515899658203,18.78369903564453,18.9650821685791,0.06025527037384393,0.050114928194392894
29,29,29,29,2019-03-19,20.44514274597168,19.037635803222656,19.9517879486084,0.07393286421157197,0.024727347676010814
30,30,30,30,2019-03-20,19.98806571960449,19.05940055847168,19.451175689697266,0.04872478325243179,0.027601932061700474
31,31,31,31,2019-03-21,20.234739303588867,19.64706802368164,19.53824615478516,0.029911398443720705,0.03564768010833608
32,32,32,32,2019-03-22,19.34961128234864,19.030378341674805,19.269800186157227,0.016774912980828338,0.00414177082379652
33,33,33,33,2019-03-25,19.857471466064453,19.28430938720703,19.07391357421875,0.029721680323053334,0.04108007980621231
34,34,34,34,2019-03-26,20.26376342773437,19.915515899658203,18.78369903564453,0.01748624187446457,0.07879515048027685
