,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FDX,FDX_6m,FDX_12m,FDX_6m_ret,FDX_12m_ret
0,0,0,0,2019-02-05,169.0748748779297,,,,
1,1,1,1,2019-02-06,169.14846801757812,,,,
2,2,2,2,2019-02-07,166.90309143066406,,,,
3,3,3,3,2019-02-08,163.1024932861328,,,,
4,4,4,4,2019-02-11,166.64540100097656,,,,
5,5,5,5,2019-02-12,170.65765380859375,,,,
6,6,6,6,2019-02-13,170.8140869140625,169.0748748779297,,0.010286638019921579,
7,7,7,7,2019-02-14,169.2496795654297,169.14846801757812,,0.0005983592345693012,
8,8,8,8,2019-02-15,164.9982147216797,166.90309143066406,,-0.01141307025925109,
9,9,9,9,2019-02-19,165.87240600585938,163.1024932861328,,0.01698265099398122,
10,10,10,10,2019-02-20,167.4000244140625,166.64540100097656,,0.004528318264729769,
11,11,11,11,2019-02-21,167.740478515625,170.65765380859375,,-0.017093726697078537,
12,12,12,12,2019-02-22,166.09327697753906,170.8140869140625,169.0748748779297,-0.027637123037156153,-0.017634778097829762
13,13,13,13,2019-02-25,166.62701416015625,169.2496795654297,169.14846801757812,-0.015495836754358838,-0.014906749596808933
14,14,14,14,2019-02-26,167.21592712402344,164.9982147216797,166.90309143066406,0.013440826654304239,0.0018743552961051346
15,15,15,15,2019-02-27,167.3079833984375,165.87240600585938,163.1024932861328,0.008654708924445309,0.025784339819544977
16,16,16,16,2019-02-28,166.56260681152344,167.4000244140625,166.64540100097656,-0.005002493909246453,-0.0004968285290551933
17,17,17,17,2019-03-01,168.21902465820312,167.740478515625,170.65765380859375,0.0028528960142053528,-0.014289597307635238
18,18,18,18,2019-03-04,166.69140625,166.09327697753906,170.8140869140625,0.003601164859561523,-0.024135484013895425
19,19,19,19,2019-03-05,165.65158081054688,166.62701416015625,169.2496795654297,-0.005853992850593959,-0.02125911708737882
20,20,20,20,2019-03-06,163.967529296875,167.21592712402344,164.9982147216797,-0.019426366154338348,-0.006246645920037763
21,21,21,21,2019-03-07,159.07186889648438,167.3079833984375,165.87240600585938,-0.049227265397964515,-0.04099860412668499
22,22,22,22,2019-03-08,158.67466735839844,166.56260681152344,167.4000244140625,-0.047357204621867655,-0.05212279440343426
23,23,23,23,2019-03-11,162.98838806152344,168.21902465820312,167.740478515625,-0.031094203567685552,-0.02833001608290342
24,24,24,24,2019-03-12,163.65347290039062,166.69140625,166.09327697753906,-0.018224894839828476,-0.014689360831133258
25,25,25,25,2019-03-13,165.8334503173828,165.65158081054688,166.62701416015625,0.001097903840977743,-0.004762516130851879
26,26,26,26,2019-03-14,165.4177703857422,163.967529296875,167.21592712402344,0.0088446846463206,-0.010753501590476833
27,27,27,27,2019-03-15,164.40167236328125,159.07186889648438,167.3079833984375,0.0335056317862541,-0.01737102423997894
28,28,28,28,2019-03-18,168.48446655273438,158.67466735839844,166.56260681152344,0.06182334809739065,0.011538362529265989
29,29,29,29,2019-03-19,167.5700225830078,162.98838806152344,168.21902465820312,0.028110189786986206,-0.0038580777442622782
30,30,30,30,2019-03-20,161.71368408203125,163.65347290039062,166.69140625,-0.011853025688859375,-0.02986190038197456
31,31,31,31,2019-03-21,165.33460998535156,165.8334503173828,165.65158081054688,-0.0030080802822141095,-0.001913479024132192
32,32,32,32,2019-03-22,160.71609497070312,165.4177703857422,163.967529296875,-0.028423037041758525,-0.019829745194762993
33,33,33,33,2019-03-25,158.94259643554688,164.40167236328125,159.07186889648438,-0.03320572016853551,-0.0008126670154458004
34,34,34,34,2019-03-26,161.78759765625,168.48446655273438,158.67466735839844,-0.03974769326517291,0.01961831935541669
35,35,35,35,2019-03-27,162.6558837890625,167.5700225830078,162.98838806152344,-0.029325882506884726,-0.002040048842837927
36,36,36,36,2019-03-28,164.32777404785156,161.71368408203125,163.65347290039062,0.016164927418846453,0.004120298430033031
37,37,37,37,2019-03-29,167.5700225830078,165.33460998535156,165.8334503173828,0.013520536310300146,0.010471785169406056
38,38,38,38,2019-04-01,172.2255096435547,160.71609497070312,165.4177703857422,0.07161332954829214,0.04115482418809879
39,39,39,39,2019-04-02,169.99012756347656,158.94259643554688,164.40167236328125,0.0695064216621728,0.033992690706006856
