,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BALL,BALL_6m,BALL_12m,BALL_6m_ret,BALL_12m_ret
0,0,0,0,2019-02-05,50.38200759887695,,,,
1,1,1,1,2019-02-06,50.58162689208984,,,,
2,2,2,2,2019-02-07,50.6291618347168,,,,
3,3,3,3,2019-02-08,51.2375602722168,,,,
4,4,4,4,2019-02-11,51.19001770019531,,,,
5,5,5,5,2019-02-12,52.18815231323242,,,,
6,6,6,6,2019-02-13,52.47333526611328,50.38200759887695,,0.041509415104826974,
7,7,7,7,2019-02-14,52.23569107055664,50.58162689208984,,0.032700889237816666,
8,8,8,8,2019-02-15,51.45619583129883,50.6291618347168,,0.016335131110444934,
9,9,9,9,2019-02-19,51.38965606689453,51.2375602722168,,0.0029684433425336554,
10,10,10,10,2019-02-20,51.71286392211914,51.19001770019531,,0.0102138316299476,
11,11,11,11,2019-02-21,51.78890228271485,52.18815231323242,,-0.0076502043628844385,
12,12,12,12,2019-02-22,52.53036880493164,52.47333526611328,50.38200759887695,0.0010869051591464451,0.042641437061403886
13,13,13,13,2019-02-25,52.16914367675781,52.23569107055664,50.58162689208984,-0.0012739832178909616,0.031385245635826786
14,14,14,14,2019-02-26,51.96950912475586,51.45619583129883,50.6291618347168,0.009975733440146906,0.026473819464259307
15,15,15,15,2019-02-27,52.75852584838867,51.38965606689453,51.2375602722168,0.026637068356952343,0.02968458232771498
16,16,16,16,2019-02-28,52.1680793762207,51.71286392211914,51.19001770019531,0.008802750796922165,0.01910649224138994
17,17,17,17,2019-03-01,52.57758331298828,51.78890228271485,52.18815231323242,0.015228765150650192,0.007462057622168672
18,18,18,18,2019-03-04,52.615665435791016,52.53036880493164,52.47333526611328,0.001623758462007352,0.002712428492603447
19,19,19,19,2019-03-05,53.29180908203125,52.16914367675781,52.23569107055664,0.021519720780343254,0.020218321799324368
20,20,20,20,2019-03-06,52.77755355834961,51.96950912475586,51.45619583129883,0.01554843305627518,0.02567927352000332
21,21,21,21,2019-03-07,52.07283782958984,52.75852584838867,51.38965606689453,-0.012996724373408153,0.013294149347993223
22,22,22,22,2019-03-08,52.38711166381836,52.1680793762207,51.71286392211914,0.004198588297990913,0.013038298221399014
23,23,23,23,2019-03-11,52.94898223876953,52.57758331298828,51.78890228271485,0.007063826489900782,0.022400164995230565
24,24,24,24,2019-03-12,53.929874420166016,52.615665435791016,52.53036880493164,0.02497752282499932,0.02664183875105386
25,25,25,25,2019-03-13,54.38698196411133,53.29180908203125,52.16914367675781,0.02055049173493617,0.04251245335931397
26,26,26,26,2019-03-14,54.53935623168945,52.77755355834961,51.96950912475586,0.03338166615457161,0.049449131812357994
27,27,27,27,2019-03-15,54.75838851928711,52.07283782958984,52.75852584838867,0.05157296589991556,0.03790596190358708
28,28,28,28,2019-03-18,55.12027740478516,52.38711166381836,52.1680793762207,0.05217248392135532,0.05659012299981536
29,29,29,29,2019-03-19,55.291690826416016,52.94898223876953,52.57758331298828,0.044244638680347226,0.05162100162099437
30,30,30,30,2019-03-20,55.34882736206055,53.929874420166016,52.615665435791016,0.026311074467548545,0.05194578275561135
31,31,31,31,2019-03-21,56.03450012207031,54.38698196411133,53.29180908203125,0.03029250931861127,0.05146552701592988
32,32,32,32,2019-03-22,55.17741394042969,54.53935623168945,52.77755355834961,0.011699032640387186,0.045471231996891515
33,33,33,33,2019-03-25,55.339298248291016,54.75838851928711,52.07283782958984,0.010608597964845146,0.06272868072584759
34,34,34,34,2019-03-26,55.472633361816406,55.12027740478516,52.38711166381836,0.0063924924478093725,0.05889848857861524
35,35,35,35,2019-03-27,55.41548538208008,55.291690826416016,52.94898223876953,0.0022389359741721293,0.04658263556772502
36,36,36,36,2019-03-28,55.17741394042969,55.34882736206055,53.929874420166016,-0.0030969657317140298,0.02313262423984397
37,37,37,37,2019-03-29,55.10123062133789,56.03450012207031,54.38698196411133,-0.016655265929013563,0.013132713591239131
38,38,38,38,2019-04-01,55.61547470092773,55.17741394042969,54.53935623168945,0.007939131779009623,0.019731044581215773
39,39,39,39,2019-04-02,55.21550369262695,55.339298248291016,54.75838851928711,-0.002237009857057326,0.008347856569570933
40,40,40,40,2019-04-03,55.25359725952149,55.472633361816406,55.12027740478516,-0.003948543435215446,0.0024187079785042975
41,41,41,41,2019-04-04,55.23455429077149,55.41548538208008,55.291690826416016,-0.0032649915463357493,-0.0010333656791922108
42,42,42,42,2019-04-05,55.339298248291016,55.17741394042969,55.34882736206055,0.00293388718862575,-0.00017216469117220523
43,43,43,43,2019-04-08,55.42501068115234,55.10123062133789,56.03450012207031,0.0058760948923173295,-0.010877038959751784
44,44,44,44,2019-04-09,54.89170837402344,55.61547470092773,55.17741394042969,-0.013013757965680273,-0.005177944126100287
45,45,45,45,2019-04-10,55.472633361816406,55.21550369262695,55.339298248291016,0.004656838242766748,0.002409410992657568
46,46,46,46,2019-04-11,55.82498550415039,55.25359725952149,55.472633361816406,0.010341195378558599,0.006351819284218685
47,47,47,47,2019-04-12,55.26311492919922,55.23455429077149,55.41548538208008,0.0005170791870134916,-0.002749600618496606
48,48,48,48,2019-04-15,55.5583381652832,55.339298248291016,55.17741394042969,0.0039581260320544764,0.00690362591593674
49,49,49,49,2019-04-16,54.81552505493164,55.42501068115234,55.10123062133789,-0.010996581123401628,-0.0051851031852564455
50,50,50,50,2019-04-17,54.32984161376953,54.89170837402344,55.61547470092773,-0.010235913162429444,-0.023116463431656187
51,51,51,51,2019-04-18,55.7202377319336,55.472633361816406,55.21550369262695,0.004463540941029631,0.009141165171948629
52,52,52,52,2019-04-22,55.91068649291992,55.82498550415039,55.25359725952149,0.0015351726112522446,0.011892243509723732
53,53,53,53,2019-04-23,56.66302108764648,55.26311492919922,55.23455429077149,0.02533165494273648,0.025861832601293377
54,54,54,54,2019-04-24,56.09163665771485,55.5583381652832,55.339298248291016,0.00959889208430087,0.01359501174099309
55,55,55,55,2019-04-25,56.148773193359375,54.81552505493164,55.42501068115234,0.024322454944865735,0.013058409972542595
56,56,56,56,2019-04-26,56.85349655151367,54.32984161376953,54.89170837402344,0.046450622029874156,0.035739244334006104
57,57,57,57,2019-04-29,56.78683090209961,55.7202377319336,55.472633361816406,0.01914193502363215,0.023690916775330306
58,58,58,58,2019-04-30,57.08203887939453,55.91068649291992,55.82498550415039,0.020950420392762403,0.02251775551559576
59,59,59,59,2019-05-01,55.87260055541992,56.66302108764648,55.26311492919922,-0.013949495050818661,0.011028796096665072
60,60,60,60,2019-05-02,57.13918685913086,56.09163665771485,55.5583381652832,0.018675693273284555,0.028453851321915247
61,61,61,61,2019-05-03,58.60575866699219,56.148773193359375,54.81552505493164,0.04375848899087598,0.06914525781267788
62,62,62,62,2019-05-06,58.996212005615234,56.85349655151367,54.32984161376953,0.037688367190575445,0.0858896373197422
