,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SNA,SNA_6m,SNA_12m,SNA_6m_ret,SNA_12m_ret
0,0,0,0,2019-02-05,145.78472900390625,,,,
1,1,1,1,2019-02-06,145.4596710205078,,,,
2,2,2,2,2019-02-07,133.27581787109375,,,,
3,3,3,3,2019-02-08,134.47048950195312,,,,
4,4,4,4,2019-02-11,136.36788940429688,,,,
5,5,5,5,2019-02-12,136.73684692382812,,,,
6,6,6,6,2019-02-13,136.40304565429688,145.78472900390625,,-0.0643529909731354,
7,7,7,7,2019-02-14,136.96519470214844,145.4596710205078,,-0.0583974668632502,
8,8,8,8,2019-02-15,138.59910583496094,133.27581787109375,,0.03994188930069775,
9,9,9,9,2019-02-19,139.78501892089844,134.47048950195312,,0.03952190133782563,
10,10,10,10,2019-02-20,140.39991760253906,136.36788940429688,,0.02956728461410907,
11,11,11,11,2019-02-21,141.30467224121094,136.73684692382812,,0.03340595764890941,
12,12,12,12,2019-02-22,142.56826782226562,136.40304565429688,145.78472900390625,0.04519856677976275,-0.02206308715334948
13,13,13,13,2019-02-25,142.0999755859375,136.96519470214844,145.4596710205078,0.037489676811363726,-0.02309709221119194
14,14,14,14,2019-02-26,141.3665313720703,138.59910583496094,133.27581787109375,0.019967124033287265,0.060706537991775944
15,15,15,15,2019-02-27,143.98214721679688,139.78501892089844,134.47048950195312,0.03002559450432596,0.0707341644257613
16,16,16,16,2019-02-28,141.38418579101562,140.39991760253906,136.36788940429688,0.007010461297156434,0.03678502621571478
17,17,17,17,2019-03-01,140.4210205078125,141.30467224121094,136.73684692382812,-0.006253520986836292,0.026943531804830334
18,18,18,18,2019-03-04,141.1014404296875,142.56826782226562,136.40304565429688,-0.010288596578915898,0.03444494038130452
19,19,19,19,2019-03-05,141.88787841796875,142.0999755859375,136.96519470214844,-0.0014925911640321088,0.035941128886980644
20,20,20,20,2019-03-06,142.16180419921875,141.3665313720703,138.59910583496094,0.005625608971442597,0.025705060236825394
21,21,21,21,2019-03-07,141.83489990234375,143.98214721679688,139.78501892089844,-0.014913288598342511,0.014664525549803686
22,22,22,22,2019-03-08,139.2722625732422,141.38418579101562,140.39991760253906,-0.014937478374668745,-0.008031735691534925
23,23,23,23,2019-03-11,141.2693328857422,140.4210205078125,141.30467224121094,0.006041206472235272,-0.00025009332606085177
24,24,24,24,2019-03-12,141.62278747558594,141.1014404296875,142.56826782226562,0.0036948385807460404,-0.006631772701751415
25,25,25,25,2019-03-13,140.4298553466797,141.88787841796875,142.0999755859375,-0.01027588182687511,-0.011753135300489714
26,26,26,26,2019-03-14,138.38864135742188,142.16180419921875,141.3665313720703,-0.026541326364354134,-0.021065028516620843
27,27,27,27,2019-03-15,137.5668487548828,141.83489990234375,143.98214721679688,-0.030091685124039147,-0.0445562077377164
28,28,28,28,2019-03-18,140.45639038085938,139.2722625732422,141.38418579101562,0.008502251530483118,-0.00656222904255821
29,29,29,29,2019-03-19,140.28846740722656,141.2693328857422,140.4210205078125,-0.006943230059059946,-0.0009439690731956052
30,30,30,30,2019-03-20,137.13389587402344,141.62278747558594,141.1014404296875,-0.03169611106783454,-0.028118384501121585
