,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ANSS,ANSS_6m,ANSS_12m,ANSS_6m_ret,ANSS_12m_ret
0,0,0,0,2019-02-05,170.22000122070312,,,,
1,1,1,1,2019-02-06,170.77999877929688,,,,
2,2,2,2,2019-02-07,169.5500030517578,,,,
3,3,3,3,2019-02-08,171.72999572753906,,,,
4,4,4,4,2019-02-11,171.22999572753906,,,,
5,5,5,5,2019-02-12,175.00999450683594,,,,
6,6,6,6,2019-02-13,173.11000061035156,170.22000122070312,,0.016978024726373553,
7,7,7,7,2019-02-14,173.1999969482422,170.77999877929688,,0.014170266929634634,
8,8,8,8,2019-02-15,174.49000549316406,169.5500030517578,,0.02913596197281243,
9,9,9,9,2019-02-19,174.4600067138672,171.72999572753906,,0.015897112061072027,
10,10,10,10,2019-02-20,174.66000366210938,171.22999572753906,,0.020031583368302686,
11,11,11,11,2019-02-21,174.49000549316406,175.00999450683594,,-0.002971196103040641,
12,12,12,12,2019-02-22,175.47999572753906,173.11000061035156,170.22000122070312,0.013690688630531911,0.030901154206995685
13,13,13,13,2019-02-25,175.00999450683594,173.1999969482422,170.77999877929688,0.010450332508577631,0.024768683439362116
14,14,14,14,2019-02-26,174.8300018310547,174.49000549316406,169.5500030517578,0.001948514683862257,0.031141248506407093
15,15,15,15,2019-02-27,176.8300018310547,174.4600067138672,171.72999572753906,0.013584747368917238,0.029697817681234362
16,16,16,16,2019-02-28,177.25999450683594,174.66000366210938,171.22999572753906,0.014886011623796769,0.03521578537496306
17,17,17,17,2019-03-01,182.22999572753903,174.49000549316406,175.00999450683594,0.0443577854932109,0.04125479371077345
18,18,18,18,2019-03-04,180.1300048828125,175.47999572753906,173.11000061035156,0.026498799113793714,0.04055227455207544
19,19,19,19,2019-03-05,178.75,175.00999450683594,173.1999969482422,0.02137023947519734,0.03204389809207875
20,20,20,20,2019-03-06,178.67999267578125,174.8300018310547,174.49000549316406,0.022021339612219304,0.024012763199674048
21,21,21,21,2019-03-07,178.7899932861328,176.8300018310547,174.4600067138672,0.011084043628245333,0.0248193649296784
22,22,22,22,2019-03-08,177.42999267578125,177.25999450683594,174.66000366210938,0.0009590329133106756,0.01585932071220264
23,23,23,23,2019-03-11,178.72999572753906,182.22999572753903,174.49000549316406,-0.019206497733956995,0.024299330052695245
24,24,24,24,2019-03-12,180.9600067138672,180.1300048828125,175.47999572753906,0.0046077933079202715,0.03122869341093848
25,25,25,25,2019-03-13,180.8099975585937,178.75,175.00999450683594,0.01152446186625844,0.03314098185136061
26,26,26,26,2019-03-14,180.6199951171875,178.67999267578125,174.8300018310547,0.01085741281020991,0.033117847197232875
27,27,27,27,2019-03-15,180.3800048828125,178.7899932861328,176.8300018310547,0.00889318002342021,0.02007579604703924
28,28,28,28,2019-03-18,180.8999938964844,177.42999267578125,177.25999450683594,0.019557016084895462,0.020534804820317776
29,29,29,29,2019-03-19,181.1199951171875,178.72999572753906,182.22999572753903,0.013372122457227631,-0.006091206916402192
30,30,30,30,2019-03-20,180.22999572753903,180.9600067138672,180.1300048828125,-0.004034101233663434,0.0005551037695890049
31,31,31,31,2019-03-21,182.3300018310547,180.8099975585937,178.75,0.008406638421464496,0.020027982271634714
32,32,32,32,2019-03-22,177.17999267578125,180.6199951171875,178.67999267578125,-0.01904552394198855,-0.008394896247403527
33,33,33,33,2019-03-25,177.44000244140625,180.3800048828125,178.7899932861328,-0.01629893758632661,-0.007550706949052022
34,34,34,34,2019-03-26,179.69000244140625,180.8999938964844,177.42999267578125,-0.006688731320635299,0.012737473138235034
35,35,35,35,2019-03-27,178.5500030517578,181.1199951171875,178.72999572753906,-0.014189444206681112,-0.0010070647349851303
36,36,36,36,2019-03-28,180.2899932861328,180.22999572753903,180.9600067138672,0.0003328944127840572,-0.003702549750640771
