,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CMG,CMG_6m,CMG_12m,CMG_6m_ret,CMG_12m_ret
0,0,0,0,2019-02-05,526.6500244140625,,,,
1,1,1,1,2019-02-06,526.0599975585938,,,,
2,2,2,2,2019-02-07,585.780029296875,,,,
3,3,3,3,2019-02-08,582.77001953125,,,,
4,4,4,4,2019-02-11,603.3599853515625,,,,
5,5,5,5,2019-02-12,593.6599731445312,,,,
6,6,6,6,2019-02-13,599.6199951171875,526.6500244140625,,0.13855495551207753,
7,7,7,7,2019-02-14,604.4299926757812,526.0599975585938,,0.1489753934549234,
8,8,8,8,2019-02-15,605.8900146484375,585.780029296875,,0.03433026792617189,
9,9,9,9,2019-02-19,599.4600219726562,582.77001953125,,0.02863908897515155,
10,10,10,10,2019-02-20,597.739990234375,603.3599853515625,,-0.009314497569660407,
11,11,11,11,2019-02-21,601.1900024414062,593.6599731445312,,0.012684077818131412,
12,12,12,12,2019-02-22,600.219970703125,599.6199951171875,526.6500244140625,0.001000593026955654,0.13969418566136893
13,13,13,13,2019-02-25,596.6599731445312,604.4299926757812,526.0599975585938,-0.012855119079800303,0.13420517795229991
14,14,14,14,2019-02-26,599.5,605.8900146484375,585.780029296875,-0.010546492752723902,0.023421711251565558
15,15,15,15,2019-02-27,599.280029296875,599.4600219726562,582.77001953125,-0.00030025801418576137,0.028330231844982068
16,16,16,16,2019-02-28,607.530029296875,597.739990234375,603.3599853515625,0.016378424101525013,0.006911369740375983
17,17,17,17,2019-03-01,611.6300048828125,601.1900024414062,593.6599731445312,0.017365562299788584,0.030269906261485957
18,18,18,18,2019-03-04,618.8499755859375,600.219970703125,599.6199951171875,0.03103862882301045,0.03207027888553271
19,19,19,19,2019-03-05,616.010009765625,596.6599731445312,604.4299926757812,0.032430592786566015,0.019158574574665854
20,20,20,20,2019-03-06,613.4099731445312,599.5,605.8900146484375,0.023202624094297297,0.012411425034718704
21,21,21,21,2019-03-07,609.530029296875,599.280029296875,599.4600219726562,0.01710385712673612,0.016798463542374575
22,22,22,22,2019-03-08,616.4400024414062,607.530029296875,597.739990234375,0.014665897511013881,0.03128452590180375
23,23,23,23,2019-03-11,616.8800048828125,611.6300048828125,601.1900024414062,0.008583620747981247,0.026098242448626685
24,24,24,24,2019-03-12,630.989990234375,618.8499755859375,600.219970703125,0.019617056035177383,0.05126457137906382
25,25,25,25,2019-03-13,637.0700073242188,616.010009765625,596.6599731445312,0.034187752187024634,0.067727074043056
26,26,26,26,2019-03-14,642.3900146484375,613.4099731445312,599.5,0.04724416421752231,0.07154297689480815
27,27,27,27,2019-03-15,639.0,609.530029296875,599.280029296875,0.048348677319672184,0.06627948331555067
28,28,28,28,2019-03-18,655.7999877929688,616.4400024414062,607.530029296875,0.06385047238283947,0.07945279437785002
29,29,29,29,2019-03-19,665.8599853515625,616.8800048828125,611.6300048828125,0.07939952678163831,0.08866468295508234
30,30,30,30,2019-03-20,665.7899780273438,630.989990234375,618.8499755859375,0.05515141021499037,0.07585037455477428
31,31,31,31,2019-03-21,670.4500122070312,637.0700073242188,616.010009765625,0.052396133076509255,0.0883751912767119
32,32,32,32,2019-03-22,671.4600219726562,642.3900146484375,613.4099731445312,0.04525289413181177,0.09463499351101556
33,33,33,33,2019-03-25,676.77001953125,639.0,609.530029296875,0.059108011785993675,0.11031448329451443
34,34,34,34,2019-03-26,688.8200073242188,655.7999877929688,616.4400024414062,0.05035074740146861,0.11741613879072088
35,35,35,35,2019-03-27,697.8699951171875,665.8599853515625,616.8800048828125,0.04807318425768492,0.13128969912026967
36,36,36,36,2019-03-28,702.510009765625,665.7899780273438,630.989990234375,0.055152575061400366,0.1133457275680152
37,37,37,37,2019-03-29,710.3099975585938,670.4500122070312,637.0700073242188,0.059452583527217495,0.11496380208196122
38,38,38,38,2019-04-01,705.739990234375,671.4600219726562,642.3900146484375,0.05105288049913814,0.0986160652273016
39,39,39,39,2019-04-02,704.7999877929688,676.77001953125,639.0,0.04141727241572113,0.10297337682780716
40,40,40,40,2019-04-03,705.6400146484375,688.8200073242188,655.7999877929688,0.024418581262698025,0.07599882248122714
41,41,41,41,2019-04-04,703.3800048828125,697.8699951171875,665.8599853515625,0.007895467356638264,0.05634821187135919
42,42,42,42,2019-04-05,708.3699951171875,702.510009765625,665.7899780273438,0.008341497302675416,0.06395412742018625
43,43,43,43,2019-04-08,714.6799926757812,710.3099975585938,670.4500122070312,0.0061522365336368345,0.06597058641724951
44,44,44,44,2019-04-09,710.6699829101562,705.739990234375,671.4600219726562,0.006985565142969996,0.05839507886457129
45,45,45,45,2019-04-10,718.8499755859375,704.7999877929688,676.77001953125,0.019934716283076748,0.06217763027362411
46,46,46,46,2019-04-11,707.530029296875,705.6400146484375,688.8200073242188,0.0026784402942046093,0.027162425268884016
47,47,47,47,2019-04-12,712.4400024414062,703.3800048828125,697.8699951171875,0.012880658386220656,0.020877824560679326
48,48,48,48,2019-04-15,712.27001953125,708.3699951171875,702.510009765625,0.005505631860391436,0.013893054376379999
49,49,49,49,2019-04-16,706.47998046875,714.6799926757812,710.3099975585938,-0.011473683734072648,-0.005392036016679924
50,50,50,50,2019-04-17,688.2100219726562,710.6699829101562,705.739990234375,-0.03160392513769561,-0.024839131272548554
51,51,51,51,2019-04-18,700.0,718.8499755859375,704.7999877929688,-0.02622240554515265,-0.006810425476878268
52,52,52,52,2019-04-22,701.6699829101562,707.530029296875,705.6400146484375,-0.008282399536514773,-0.0056261431549614604
53,53,53,53,2019-04-23,702.4600219726562,712.4400024414062,703.3800048828125,-0.014008169718924268,-0.0013079457814691997
