,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APD,APD_6m,APD_12m,APD_6m_ret,APD_12m_ret
0,0,0,0,2019-02-05,149.74615478515625,,,,
1,1,1,1,2019-02-06,151.52073669433594,,,,
2,2,2,2,2019-02-07,148.23013305664062,,,,
3,3,3,3,2019-02-08,147.94476318359375,,,,
4,4,4,4,2019-02-11,149.40725708007812,,,,
5,5,5,5,2019-02-12,152.7781524658203,,,,
6,6,6,6,2019-02-13,153.35780334472656,149.74615478515625,,0.024118472789849132,
7,7,7,7,2019-02-14,153.04566955566406,151.52073669433594,,0.010064185896907274,
8,8,8,8,2019-02-15,155.2394561767578,148.23013305664062,,0.04728676265465426,
9,9,9,9,2019-02-19,156.15797424316406,147.94476318359375,,0.055515388871034466,
10,10,10,10,2019-02-20,158.4141387939453,149.40725708007812,,0.06028409790723721,
11,11,11,11,2019-02-21,159.33270263671875,152.7781524658203,,0.04290240499121656,
12,12,12,12,2019-02-22,160.62574768066406,153.35780334472656,149.74615478515625,0.04739207381316102,0.07265357104572723
13,13,13,13,2019-02-25,161.5620880126953,153.04566955566406,151.52073669433594,0.05564625566836923,0.0662704758267898
14,14,14,14,2019-02-26,161.81179809570312,155.2394561767578,148.23013305664062,0.042336800712970524,0.09162553361449643
15,15,15,15,2019-02-27,161.94557189941406,156.15797424316406,147.94476318359375,0.037062453482124,0.09463537887073326
16,16,16,16,2019-02-28,161.57101440429688,158.4141387939453,149.40725708007812,0.01992799149359903,0.08141343039113091
17,17,17,17,2019-03-01,160.60792541503906,159.33270263671875,152.7781524658203,0.008003521921220669,0.051249297251257486
18,18,18,18,2019-03-04,161.1429901123047,160.62574768066406,153.35780334472656,0.0032201713555222167,0.05076485576725509
19,19,19,19,2019-03-05,159.81423950195312,161.5620880126953,153.04566955566406,-0.010818432295854219,0.04422581812304904
20,20,20,20,2019-03-06,160.7862548828125,161.81179809570312,155.2394561767578,-0.006337876625560179,0.03573059866777051
21,21,21,21,2019-03-07,160.20660400390625,161.94557189941406,156.15797424316406,-0.010737977427304424,0.025926500265928132
22,22,22,22,2019-03-08,161.7315673828125,161.57101440429688,158.4141387939453,0.0009936991428045605,0.020941493064468686
23,23,23,23,2019-03-11,164.041259765625,160.60792541503906,159.33270263671875,0.021377116613103597,0.029551730755749794
24,24,24,24,2019-03-12,164.1304168701172,161.1429901123047,160.62574768066406,0.018538980539770877,0.021818850589387928
25,25,25,25,2019-03-13,165.0667724609375,159.81423950195312,161.5620880126953,0.03286648908979206,0.02169249290691755
26,26,26,26,2019-03-14,165.16488647460938,160.7862548828125,161.81179809570312,0.027232623802253553,0.0207221501668442
27,27,27,27,2019-03-15,164.8438720703125,160.20660400390625,161.94557189941406,0.028945548750869188,0.01789675467445684
28,28,28,28,2019-03-18,165.30752563476562,161.7315673828125,161.57101440429688,0.02211045320230509,0.023126123483503847
29,29,29,29,2019-03-19,164.88841247558594,164.041259765625,160.60792541503906,0.005164266058254485,0.0266517797891066
30,30,30,30,2019-03-20,164.6654815673828,164.1304168701172,161.1429901123047,0.0032599971868043642,0.021859414750981188
31,31,31,31,2019-03-21,166.93057250976562,165.0667724609375,159.81423950195312,0.011291188535652585,0.04452877935026267
32,32,32,32,2019-03-22,166.13690185546875,165.16488647460938,160.7862548828125,0.005885121236158142,0.03327801233106653
33,33,33,33,2019-03-25,165.79803466796875,164.8438720703125,160.20660400390625,0.005788280666261247,0.03490137437733942
34,34,34,34,2019-03-26,166.90379333496094,165.30752563476562,161.7315673828125,0.009656352268693214,0.031980311795940075
35,35,35,35,2019-03-27,167.34075927734375,164.88841247558594,164.041259765625,0.014872766163122053,0.020113839142865242
36,36,36,36,2019-03-28,169.5880584716797,164.6654815673828,164.1304168701172,0.029894406875326185,0.033251859744445555
37,37,37,37,2019-03-29,171.33767700195312,166.93057250976562,165.0667724609375,0.02640082296446744,0.03799010816970827
38,38,38,38,2019-04-01,171.81320190429688,166.13690185546875,165.16488647460938,0.03416640123556802,0.04025259588520069
39,39,39,39,2019-04-02,170.90701293945312,165.79803466796875,164.8438720703125,0.030814468227658764,0.036781111684603296
40,40,40,40,2019-04-03,172.0196075439453,166.90379333496094,165.30752563476562,0.03065127584438665,0.040603607630117944
41,41,41,41,2019-04-04,172.06443786621094,167.34075927734375,164.88841247558594,0.028227902211429345,0.0435204953634174
42,42,42,42,2019-04-05,173.33856201171875,169.5880584716797,164.6654815673828,0.02211537518524853,0.052670908084563095
43,43,43,43,2019-04-08,173.19497680664062,171.33767700195312,166.93057250976562,0.01083999641635347,0.0375270042071445
44,44,44,44,2019-04-09,172.5220184326172,171.81320190429688,166.13690185546875,0.0041255067740086915,0.03843286172931748
45,45,45,45,2019-04-10,173.2039337158203,170.90701293945312,165.79803466796875,0.013439593477541534,0.04466819563140656
46,46,46,46,2019-04-11,173.66152954101562,172.0196075439453,166.90379333496094,0.009544970021227783,0.040488811374661315
47,47,47,47,2019-04-12,174.20887756347656,172.06443786621094,167.34075927734375,0.012463003534368022,0.04104271019082617
48,48,48,48,2019-04-15,174.0024871826172,173.33856201171875,169.5880584716797,0.00383022198403582,0.026030303965504098
49,49,49,49,2019-04-16,176.8467559814453,173.19497680664062,171.33767700195312,0.02108478688086679,0.032153342311448396
50,50,50,50,2019-04-17,177.42994689941406,172.5220184326172,171.81320190429688,0.028448128020909902,0.032690997739776906
51,51,51,51,2019-04-18,177.74403381347656,173.2039337158203,170.90701293945312,0.026212453725821927,0.040004331925487246
52,52,52,52,2019-04-22,176.4160614013672,173.66152954101562,172.0196075439453,0.015861497175751804,0.025557864712013822
53,53,53,53,2019-04-23,176.46090698242188,174.20887756347656,172.06443786621094,0.012927179432200564,0.02555129444952131
54,54,54,54,2019-04-24,178.92837524414062,174.0024871826172,173.33856201171875,0.028309296845588694,0.032247949720755065
55,55,55,55,2019-04-25,179.08982849121094,176.8467559814453,173.19497680664062,0.01268370741276681,0.034035927561291146
56,56,56,56,2019-04-26,181.75469970703125,177.42994689941406,172.5220184326172,0.024374424290781738,0.05351595905435169
57,57,57,57,2019-04-29,182.6519470214844,177.74403381347656,173.2039337158203,0.027612252871216825,0.054548491497691254
58,58,58,58,2019-04-30,184.643798828125,176.4160614013672,173.66152954101562,0.04663825595810556,0.0632395056990187
59,59,59,59,2019-05-01,181.37782287597656,176.46090698242188,174.20887756347656,0.027864052030767805,0.04115143506327823
60,60,60,60,2019-05-02,186.31265258789065,178.92837524414062,174.0024871826172,0.041269459545890896,0.07074706577242096
61,61,61,61,2019-05-03,188.04432678222656,179.08982849121094,176.8467559814453,0.05000003834084343,0.06331793161055277
62,62,62,62,2019-05-06,184.8232269287109,181.75469970703125,177.42994689941406,0.016882794374097454,0.04166872705816749
63,63,63,63,2019-05-07,180.49856567382807,182.6519470214844,177.74403381347656,-0.011789534044238992,0.015497183231714562
64,64,64,64,2019-05-08,184.213119506836,184.643798828125,176.4160614013672,-0.0023324873297797533,0.0441969854872204
65,65,65,65,2019-05-09,183.43251037597656,181.37782287597656,176.46090698242188,0.011328217901286353,0.03950791998507164
66,66,66,66,2019-05-10,186.8868865966797,186.31265258789065,178.92837524414062,0.0030820988312543207,0.044478754930177944
67,67,67,67,2019-05-13,183.5312347412109,188.04432678222656,179.08982849121094,-0.024000149955293537,0.024799879967599248
68,68,68,68,2019-05-14,184.62586975097656,184.8232269287109,181.75469970703125,-0.001067815885556822,0.015796950772515528
69,69,69,69,2019-05-15,183.9529266357422,180.49856567382807,182.6519470214844,0.01913788593841992,0.007122725136375019
70,70,70,70,2019-05-16,187.9097900390625,184.213119506836,184.643798828125,0.020067357537416397,0.0176880633504386
