,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HUM,HUM_6m,HUM_12m,HUM_6m_ret,HUM_12m_ret
0,0,0,0,2019-02-05,292.8775634765625,,,,
1,1,1,1,2019-02-06,291.2945556640625,,,,
2,2,2,2,2019-02-07,293.4180908203125,,,,
3,3,3,3,2019-02-08,288.5144958496094,,,,
4,4,4,4,2019-02-11,283.56256103515625,,,,
5,5,5,5,2019-02-12,286.0433959960937,,,,
6,6,6,6,2019-02-13,288.95855712890625,292.8775634765625,,-0.01338103984865291,
7,7,7,7,2019-02-14,291.0917358398437,291.2945556640625,,-0.0006962705628206223,
8,8,8,8,2019-02-15,299.5284118652344,293.4180908203125,,0.020824622734880283,
9,9,9,9,2019-02-19,294.7984619140625,288.5144958496094,,0.02178041711889822,
10,10,10,10,2019-02-20,298.1576232910156,283.56256103515625,,0.051470342920375334,
11,11,11,11,2019-02-21,296.883544921875,286.0433959960937,,0.03789686836863493,
12,12,12,12,2019-02-22,298.92987060546875,288.95855712890625,292.8775634765625,0.03450776324341298,0.02066497363971198
13,13,13,13,2019-02-25,294.2868957519531,291.0917358398437,291.2945556640625,0.01097647070910801,0.010272557552848838
14,14,14,14,2019-02-26,291.8543701171875,299.5284118652344,293.4180908203125,-0.02562041343677146,-0.00532932614602355
15,15,15,15,2019-02-27,277.9735717773437,294.7984619140625,288.5144958496094,-0.057072516686411556,-0.03653516278696867
16,16,16,16,2019-02-28,275.145263671875,298.1576232910156,283.56256103515625,-0.07718185892795204,-0.029684092753830327
17,17,17,17,2019-03-01,280.9177551269531,296.883544921875,286.0433959960937,-0.05377795458189938,-0.017919102279189025
18,18,18,18,2019-03-04,268.0214538574219,298.92987060546875,288.95855712890625,-0.10339688263820301,-0.07245711454097625
19,19,19,19,2019-03-05,267.6063537597656,294.2868957519531,291.0917358398437,-0.09066167191717511,-0.08068034639430488
20,20,20,20,2019-03-06,262.65447998046875,291.8543701171875,299.5284118652344,-0.10004952170150538,-0.12310662502813308
21,21,21,21,2019-03-07,259.1214294433594,277.9735717773437,294.7984619140625,-0.06781990896992485,-0.1210217727699795
22,22,22,22,2019-03-08,258.9574279785156,275.145263671875,298.1576232910156,-0.05883377920931321,-0.13147473769013374
23,23,23,23,2019-03-11,263.6197814941406,280.9177551269531,296.883544921875,-0.061576647673961205,-0.11204313609394467
24,24,24,24,2019-03-12,264.9228515625,268.0214538574219,298.92987060546875,-0.011561023381994717,-0.11376253224239219
25,25,25,25,2019-03-13,273.2050170898437,267.6063537597656,294.2868957519531,0.02092126457918142,-0.07163716416336396
26,26,26,26,2019-03-14,270.1064453125,262.65447998046875,291.8543701171875,0.028371742726738924,-0.07451635826441494
27,27,27,27,2019-03-15,270.4154663085937,259.1214294433594,277.9735717773437,0.04358588515622186,-0.02719001457737147
28,28,28,28,2019-03-18,272.3748779296875,258.9574279785156,275.145263671875,0.05181334266374105,-0.010068811307947234
29,29,29,29,2019-03-19,276.7090759277344,263.6197814941406,280.9177551269531,0.04965217086292406,-0.014981891042510798
30,30,30,30,2019-03-20,265.7530212402344,264.9228515625,268.0214538574219,0.003133628046195547,-0.008463623282911614
31,31,31,31,2019-03-21,267.15264892578125,273.2050170898437,267.6063537597656,-0.02215321017356031,-0.0016954187656982311
32,32,32,32,2019-03-22,263.1370544433594,270.1064453125,262.65447998046875,-0.02580238639280663,0.0018372976654597029
33,33,33,33,2019-03-25,260.7818298339844,270.4154663085937,259.1214294433594,-0.03562531613341813,0.006407808085158617
34,34,34,34,2019-03-26,253.78347778320312,272.3748779296875,258.9574279785156,-0.06825666261072605,-0.019979925795917897
35,35,35,35,2019-03-27,253.76417541503903,276.7090759277344,263.6197814941406,-0.08292066472979609,-0.03738568488010319
36,36,36,36,2019-03-28,254.0253448486328,265.7530212402344,264.9228515625,-0.04412998330882578,-0.041134642216004824
37,37,37,37,2019-03-29,257.30450439453125,267.15264892578125,273.2050170898437,-0.03686336096927845,-0.058199929359582514
38,38,38,38,2019-04-01,259.558349609375,263.1370544433594,270.1064453125,-0.013600155407815007,-0.03905162533578699
39,39,39,39,2019-04-02,253.74481201171875,260.7818298339844,270.4154663085937,-0.0269843103207974,-0.06164830186839487
40,40,40,40,2019-04-03,255.13780212402344,253.78347778320312,272.3748779296875,0.0053365347210556635,-0.06328438193963593
41,41,41,41,2019-04-04,262.4989929199219,253.76417541503903,276.7090759277344,0.03442100324286046,-0.05135387395650015
42,42,42,42,2019-04-05,267.4420166015625,254.0253448486328,265.7530212402344,0.05281627217522078,0.006355507656867987
43,43,43,43,2019-04-08,264.6173400878906,257.30450439453125,267.15264892578125,0.028420939270252354,-0.009490113042431303
44,44,44,44,2019-04-09,265.6524353027344,259.558349609375,263.1370544433594,0.023478673302287367,0.009559204288791756
45,45,45,45,2019-04-10,257.7882080078125,253.74481201171875,260.7818298339844,0.01593489129506631,-0.011479411077365498
46,46,46,46,2019-04-11,252.2164459228516,255.13780212402344,253.78347778320312,-0.011450111182472966,-0.0061746803773025105
47,47,47,47,2019-04-12,245.0293426513672,262.4989929199219,253.76417541503903,-0.0665513039658937,-0.03442106337265993
48,48,48,48,2019-04-15,245.69679260253903,267.4420166015625,254.0253448486328,-0.08130818139701546,-0.03278630426053175
49,49,49,49,2019-04-16,227.4146728515625,264.6173400878906,257.30450439453125,-0.14059043607637933,-0.11616520905183203
50,50,50,50,2019-04-17,225.27687072753903,265.6524353027344,259.558349609375,-0.1519864274128857,-0.13207619378620739
51,51,51,51,2019-04-18,232.82188415527344,257.7882080078125,253.74481201171875,-0.09684819971199943,-0.08245657395146677
52,52,52,52,2019-04-22,234.6694793701172,252.2164459228516,255.13780212402344,-0.06957106420451942,-0.0802245789667676
53,53,53,53,2019-04-23,240.3282623291016,245.0293426513672,262.4989929199219,-0.019185785144738343,-0.08446025009164015
54,54,54,54,2019-04-24,241.72116088867188,245.69679260253903,267.4420166015625,-0.01618104848563695,-0.09617357825718831
55,55,55,55,2019-04-25,243.62677001953125,227.4146728515625,264.6173400878906,0.07128870342746385,-0.07932424255110238
56,56,56,56,2019-04-26,249.56607055664065,225.27687072753903,265.6524353027344,0.10781932362012503,-0.06055417759585713
57,57,57,57,2019-04-29,248.4439697265625,232.82188415527344,257.7882080078125,0.06709887100162115,-0.03624773356959299
58,58,58,58,2019-04-30,247.0607147216797,234.6694793701172,252.2164459228516,0.0528029268434147,-0.020441693174714448
59,59,59,59,2019-05-01,238.11306762695312,240.3282623291016,245.0293426513672,-0.009217370777287126,-0.028226313426693017
60,60,60,60,2019-05-02,239.293212890625,241.72116088867188,245.69679260253903,-0.010044416422297031,-0.02606293571879481
61,61,61,61,2019-05-03,241.3439178466797,243.62677001953125,227.4146728515625,-0.009370284606525559,0.06125042338059261
62,62,62,62,2019-05-06,241.489013671875,249.56607055664065,225.27687072753903,-0.032364403008591336,0.0719654125697784
63,63,63,63,2019-05-07,237.2618408203125,248.4439697265625,232.82188415527344,-0.04500865494363604,0.01907018612596567
64,64,64,64,2019-05-08,239.6801300048828,247.0607147216797,234.6694793701172,-0.029873566605323254,0.021351948486078687
65,65,65,65,2019-05-09,235.9172821044922,238.11306762695312,240.3282623291016,-0.009221608643088075,-0.018353980434348882
66,66,66,66,2019-05-10,236.0817413330078,239.293212890625,241.72116088867188,-0.013420654597023907,-0.023330268375888585
67,67,67,67,2019-05-13,227.97564697265625,241.3439178466797,243.62677001953125,-0.05539095823627094,-0.06424221379949446
68,68,68,68,2019-05-14,227.42437744140625,241.489013671875,249.56607055664065,-0.0582413088554794,-0.08872076667252415
69,69,69,69,2019-05-15,235.7141265869141,237.2618408203125,248.4439697265625,-0.006523232847082894,-0.0512382858543875
70,70,70,70,2019-05-16,234.3018951416016,239.6801300048828,247.0607147216797,-0.02243921873361654,-0.05164244584352973
71,71,71,71,2019-05-17,239.71881103515625,235.9172821044922,238.11306762695312,0.016113821322256028,0.006743617325189355
72,72,72,72,2019-05-20,241.8565826416016,236.0817413330078,239.293212890625,0.024461194143972298,0.010712254309311442
73,73,73,73,2019-05-21,248.3666229248047,227.97564697265625,241.3439178466797,0.08944365866672666,0.02909833046874777
74,74,74,74,2019-05-22,252.20681762695312,227.42437744140625,241.489013671875,0.10897002539638412,0.0443821596358045
75,75,75,75,2019-05-23,251.01698303222656,235.7141265869141,237.2618408203125,0.06492125298934903,0.05797452369229217
76,76,76,76,2019-05-24,254.7218017578125,234.3018951416016,239.6801300048828,0.08715211886728458,0.0627572746753069
77,77,77,77,2019-05-28,243.81056213378903,239.71881103515625,235.9172821044922,0.017068961259084192,0.03345782877322545
78,78,78,78,2019-05-29,242.8335723876953,241.8565826416016,236.0817413330078,0.004039541679712988,0.02859954783696561
79,79,79,79,2019-05-30,239.7575225830078,248.3666229248047,227.97564697265625,-0.03466287152603176,0.051680413091511834
80,80,80,80,2019-05-31,236.8555908203125,252.20681762695312,227.42437744140625,-0.060867612347209055,0.04146966778588235
81,81,81,81,2019-06-03,242.13710021972656,251.01698303222656,235.7141265869141,-0.03537562560601715,0.027248997443707124
82,82,82,82,2019-06-04,244.5650177001953,254.7218017578125,234.3018951416016,-0.03987402722313571,0.04380298568388086
83,83,83,83,2019-06-05,243.6944732666016,243.81056213378903,239.71881103515625,-0.00047614371654558507,0.016584690263887092
84,84,84,84,2019-06-06,238.78057861328125,242.8335723876953,241.8565826416016,-0.016690417781044187,-0.012718297739609419
85,85,85,85,2019-06-07,240.7345428466797,239.7575225830078,248.3666229248047,0.004075034865000493,-0.03072908907102101
86,86,86,86,2019-06-10,241.50833129882807,236.8555908203125,252.20681762695312,0.01964378574472958,-0.042419496938221224
87,87,87,87,2019-06-11,235.2595367431641,242.13710021972656,251.01698303222656,-0.028403592305026537,-0.0627744230637951
88,88,88,88,2019-06-12,238.0357208251953,244.5650177001953,254.7218017578125,-0.026697591243421637,-0.065507077986525
89,89,89,89,2019-06-13,246.40293884277344,243.6944732666016,243.81056213378903,0.011114185479326855,0.010632749813200615
90,90,90,90,2019-06-14,243.5977478027344,238.78057861328125,242.8335723876953,0.020174041027243073,0.0031469100731222888
91,91,91,91,2019-06-17,246.44161987304688,240.7345428466797,239.7575225830078,0.02370693029293247,0.027878571725418633
