,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BR,BR_6m,BR_12m,BR_6m_ret,BR_12m_ret
0,0,0,0,2019-02-05,95.6432876586914,,,,
1,1,1,1,2019-02-06,94.90084838867188,,,,
2,2,2,2,2019-02-07,88.80571746826172,,,,
3,3,3,3,2019-02-08,89.392333984375,,,,
4,4,4,4,2019-02-11,90.10724639892578,,,,
5,5,5,5,2019-02-12,91.08796691894533,,,,
6,6,6,6,2019-02-13,91.4179229736328,95.6432876586914,,-0.04417837140999448,
7,7,7,7,2019-02-14,91.16127014160156,94.90084838867188,,-0.03940510870624314,
8,8,8,8,2019-02-15,91.9770278930664,88.80571746826172,,0.03571065597142531,
9,9,9,9,2019-02-19,91.50040435791016,89.392333984375,,0.023582227687484192,
10,10,10,10,2019-02-20,91.80289459228516,90.10724639892578,,0.01881811131873179,
11,11,11,11,2019-02-21,91.28960418701172,91.08796691894533,,0.002213654282632316,
12,12,12,12,2019-02-22,92.42613983154295,91.4179229736328,95.6432876586914,0.011028656363161415,-0.03363694312379795
13,13,13,13,2019-02-25,91.25294494628906,91.16127014160156,94.90084838867188,0.0010056332535197665,-0.03843910254039684
14,14,14,14,2019-02-26,92.4444808959961,91.9770278930664,88.80571746826172,0.005082279930518574,0.04097442745209312
15,15,15,15,2019-02-27,93.54435729980467,91.50040435791016,89.392333984375,0.022338184800795524,0.04644719664837704
16,16,16,16,2019-02-28,92.80194091796876,91.80289459228516,90.10724639892578,0.010882514436179491,0.029905414122999074
17,17,17,17,2019-03-01,93.02190399169922,91.28960418701172,91.08796691894533,0.018975871569546943,0.021231531871545695
18,18,18,18,2019-03-04,91.33543395996094,92.42613983154295,91.4179229736328,-0.011800837658804686,-0.0009023286789796581
19,19,19,19,2019-03-05,91.1979522705078,91.25294494628906,91.16127014160156,-0.0006026400113841035,0.0004023872073004586
20,20,20,20,2019-03-06,90.60216522216795,92.4444808959961,91.9770278930664,-0.019928887652047256,-0.014947891907280186
21,21,21,21,2019-03-07,90.39137268066406,93.54435729980467,91.50040435791016,-0.03370577029072386,-0.01212051121553559
22,22,22,22,2019-03-08,90.6846694946289,92.80194091796876,91.80289459228516,-0.022814947644375194,-0.012180717205296343
23,23,23,23,2019-03-11,91.18878936767578,93.02190399169922,91.28960418701172,-0.01970626858150548,-0.0011043406336762596
24,24,24,24,2019-03-12,92.05951690673828,91.33543395996094,92.42613983154295,0.007927733141277482,-0.0039666584093297486
25,25,25,25,2019-03-13,94.84586334228516,91.1979522705078,91.25294494628906,0.0399999230350816,0.03937317746962421
26,26,26,26,2019-03-14,95.4122085571289,90.60216522216795,92.4444808959961,0.05308971726190115,0.03210281059906239
27,27,27,27,2019-03-15,95.3569564819336,90.39137268066406,93.54435729980467,0.054934266999263404,0.01937689492397321
