,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ICE,ICE_6m,ICE_12m,ICE_6m_ret,ICE_12m_ret
0,0,0,0,2019-02-05,72.35660552978516,,,,
1,1,1,1,2019-02-06,72.43147277832031,,,,
2,2,2,2,2019-02-07,70.70938873291016,,,,
3,3,3,3,2019-02-08,71.28031921386719,,,,
4,4,4,4,2019-02-11,70.68132019042969,,,,
5,5,5,5,2019-02-12,71.2522201538086,,,,
6,6,6,6,2019-02-13,71.7669677734375,72.35660552978516,,-0.008149052212032437,
7,7,7,7,2019-02-14,71.0837631225586,72.43147277832031,,-0.01860668579646918,
8,8,8,8,2019-02-15,70.66259765625,70.70938873291016,,-0.0006617378186778433,
9,9,9,9,2019-02-19,70.0635986328125,71.28031921386719,,-0.01706951644540311,
10,10,10,10,2019-02-20,69.70794677734375,70.68132019042969,,-0.013771296439617609,
11,11,11,11,2019-02-21,70.07295989990234,71.2522201538086,,-0.016550505392823434,
12,12,12,12,2019-02-22,70.36309814453125,71.7669677734375,72.35660552978516,-0.01956150123742373,-0.027551145754526774
13,13,13,13,2019-02-25,70.5128173828125,71.0837631225586,72.43147277832031,-0.008032013425649742,-0.026489250071994874
14,14,14,14,2019-02-26,70.47541809082031,70.66259765625,70.70938873291016,-0.0026489199610273406,-0.0033089048891883355
15,15,15,15,2019-02-27,71.32710266113281,70.0635986328125,71.28031921386719,0.018033673019595353,0.0006563304960132132
16,16,16,16,2019-02-28,72.20687866210938,69.70794677734375,70.68132019042969,0.0358485940311446,0.021583615976180415
17,17,17,17,2019-03-01,72.24430084228516,70.07295989990234,71.2522201538086,0.030986859203386397,0.01392350563021072
18,18,18,18,2019-03-04,71.29901885986328,70.36309814453125,71.7669677734375,0.013301300539802607,-0.006520394104589933
19,19,19,19,2019-03-05,70.55028533935547,70.5128173828125,71.0837631225586,0.0005313637709234431,-0.00750491757566818
20,20,20,20,2019-03-06,70.0916748046875,70.47541809082031,70.66259765625,-0.005445065762338386,-0.00807956217997885
