,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ABBV,ABBV_6m,ABBV_12m,ABBV_6m_ret,ABBV_12m_ret
0,0,0,0,2019-02-05,63.26279830932617,,,,
1,1,1,1,2019-02-06,62.77853012084961,,,,
2,2,2,2,2019-02-07,62.84999084472656,,,,
3,3,3,3,2019-02-08,63.24689865112305,,,,
4,4,4,4,2019-02-11,63.3262939453125,,,,
5,5,5,5,2019-02-12,63.45332336425781,,,,
6,6,6,6,2019-02-13,64.13603973388672,63.26279830932617,,0.013803395485144199,
7,7,7,7,2019-02-14,63.92168045043945,62.77853012084961,,0.018209256052813982,
8,8,8,8,2019-02-15,64.18367004394531,62.84999084472656,,0.02122003808264128,
9,9,9,9,2019-02-19,63.92168045043945,63.24689865112305,,0.010669010081246544,
10,10,10,10,2019-02-20,63.50094604492188,63.3262939453125,,0.0027579712743053264,
11,11,11,11,2019-02-21,62.51655578613281,63.45332336425781,,-0.014763097162735273,
12,12,12,12,2019-02-22,63.52476119995117,64.13603973388672,63.26279830932617,-0.009530967868796814,0.004140867897498346
13,13,13,13,2019-02-25,63.73912048339844,63.92168045043945,62.77853012084961,-0.0028559944881699773,0.015301256029723431
14,14,14,14,2019-02-26,63.91375732421875,64.18367004394531,62.84999084472656,-0.0042053176382989,0.016925483443907874
15,15,15,15,2019-02-27,63.0405158996582,63.92168045043945,63.24689865112305,-0.013785065482820769,-0.0032631284041810815
16,16,16,16,2019-02-28,62.90555191040039,63.50094604492188,63.3262939453125,-0.009376145893957188,-0.006644033760691226
17,17,17,17,2019-03-01,63.588287353515625,62.51655578613281,63.45332336425781,0.017143163981220733,0.0021269806229540222
18,18,18,18,2019-03-04,63.0802001953125,63.52476119995117,64.13603973388672,-0.0069982318113619435,-0.01646249975762626
19,19,19,19,2019-03-05,62.643585205078125,63.73912048339844,63.92168045043945,-0.0171878003651722,-0.0199947065902355
20,20,20,20,2019-03-06,61.992618560791016,63.91375732421875,64.18367004394531,-0.030058297991812144,-0.03413721093938893
21,21,21,21,2019-03-07,62.1116828918457,63.0405158996582,63.92168045043945,-0.014733905561479355,-0.028315863191317403
22,22,22,22,2019-03-08,61.58774185180664,62.90555191040039,63.50094604492188,-0.020949026255596248,-0.030128751023044575
23,23,23,23,2019-03-11,61.98468399047852,63.588287353515625,62.51655578613281,-0.025218533629030704,-0.008507695105178348
24,24,24,24,2019-03-12,62.50862884521485,63.0802001953125,63.52476119995117,-0.00906102625432259,-0.01599584690350797
25,25,25,25,2019-03-13,62.659461975097656,62.643585205078125,63.73912048339844,0.0002534460626344437,-0.01693871048286566
26,26,26,26,2019-03-14,63.46918487548828,61.992618560791016,63.91375732421875,0.02381842143430868,-0.006955817766670536
27,27,27,27,2019-03-15,64.57266998291016,62.1116828918457,63.0405158996582,0.03962196766347059,0.024304275772277784
28,28,28,28,2019-03-18,64.02490234375,61.58774185180664,62.90555191040039,0.03957216840012889,0.017794143749727542
29,29,29,29,2019-03-19,64.15984344482422,61.98468399047852,63.588287353515625,0.03509188583876344,0.008988386306601592
30,30,30,30,2019-03-20,63.85024642944336,62.50862884521485,63.0802001953125,0.021462918144479648,0.012207415825355561
31,31,31,31,2019-03-21,64.49329376220703,62.659461975097656,62.643585205078125,0.029266637939505236,0.02952750151629191
32,32,32,32,2019-03-22,63.31836318969727,63.46918487548828,61.992618560791016,-0.0023762978221145703,0.02138552394921356
33,33,33,33,2019-03-25,63.1198844909668,64.57266998291016,62.1116828918457,-0.02249845782012505,0.016232076675118723
34,34,34,34,2019-03-26,64.11222076416016,64.02490234375,61.58774185180664,0.0013638196578784623,0.04098995735917632
35,35,35,35,2019-03-27,63.42155838012695,64.15984344482422,61.98468399047852,-0.011506964871760839,0.023181119869372102
36,36,36,36,2019-03-28,63.47713088989258,63.85024642944336,62.50862884521485,-0.005843603751210069,0.015493893604288544
37,37,37,37,2019-03-29,63.97725677490234,64.49329376220703,62.659461975097656,-0.008001405374136628,0.021031058331276498
38,38,38,38,2019-04-01,64.12812042236328,63.31836318969727,63.46918487548828,0.012788663380953746,0.010381975885899175
39,39,39,39,2019-04-02,65.94603729248047,63.1198844909668,64.57266998291016,0.0447743658643438,0.02126855386239712
40,40,40,40,2019-04-03,65.95399475097656,64.11222076416016,64.02490234375,0.028727346594207948,0.030130345172090234
41,41,41,41,2019-04-04,65.73965454101562,63.42155838012695,64.15984344482422,0.03655060235188179,0.02462305098281603
42,42,42,42,2019-04-05,66.24771881103516,63.47713088989258,63.85024642944336,0.04364702503565332,0.037548365365215775
43,43,43,43,2019-04-08,66.6684341430664,63.97725677490234,64.49329376220703,0.0420645945735485,0.03372661332633009
44,44,44,44,2019-04-09,65.64437103271484,64.12812042236328,63.31836318969727,0.023644083131786342,0.036735122732863834
45,45,45,45,2019-04-10,65.85077667236328,65.94603729248047,63.1198844909668,-0.0014445237959438417,0.04326516443146078
46,46,46,46,2019-04-11,64.91403198242188,65.95399475097656,64.11222076416016,-0.015768002718884455,0.012506370996119731
47,47,47,47,2019-04-12,64.97837829589844,65.73965454101562,63.42155838012695,-0.011580168019322601,0.024547172216116797
48,48,48,48,2019-04-15,65.17948150634766,66.24771881103516,63.47713088989258,-0.01612489190359201,0.02681832957144792
49,49,49,49,2019-04-16,64.51986694335938,66.6684341430664,63.97725677490234,-0.032227653571348824,0.008481297820663869
50,50,50,50,2019-04-17,62.72609329223633,65.64437103271484,64.12812042236328,-0.04445587176125354,-0.02186290695708626
51,51,51,51,2019-04-18,62.39630126953125,65.85077667236328,65.94603729248047,-0.052459144407963065,-0.05382788972149477
52,52,52,52,2019-04-22,62.86284637451172,64.91403198242188,65.95399475097656,-0.03159849334987541,-0.04686825093970637
53,53,53,53,2019-04-23,63.27307891845703,64.97837829589844,65.73965454101562,-0.02624410491865181,-0.03752036179349971
54,54,54,54,2019-04-24,63.28112411499024,65.17948150634766,66.24771881103516,-0.029125076595961197,-0.044780329787759476
55,55,55,55,2019-04-25,63.82006454467773,64.51986694335938,66.6684341430664,-0.010846308770227187,-0.04272441126000126
56,56,56,56,2019-04-26,64.1096420288086,62.72609329223633,65.64437103271484,0.02205698878975948,-0.023379445636570906
57,57,57,57,2019-04-29,64.59227752685547,62.39630126953125,65.85077667236328,0.035194013309191696,-0.019111378925254052
58,58,58,58,2019-04-30,63.86027526855469,62.86284637451172,64.91403198242188,0.015866747237321732,-0.016233111419616253
59,59,59,59,2019-05-01,63.45807266235352,63.27307891845703,64.97837829589844,0.0029237354505049495,-0.0233971002880643
60,60,60,60,2019-05-02,63.12025833129883,63.28112411499024,65.17948150634766,-0.0025420816387379253,-0.03159311991225777
61,61,61,61,2019-05-03,63.31329727172852,63.82006454467773,64.51986694335938,-0.007940563466438344,-0.01870074643349895
62,62,62,62,2019-05-06,63.75569915771485,64.1096420288086,62.72609329223633,-0.005520899195392337,0.016414315182704975
63,63,63,63,2019-05-07,62.70194625854492,64.59227752685547,62.39630126953125,-0.029265592431302778,0.004898447228360414
64,64,64,64,2019-05-08,62.734134674072266,63.86027526855469,62.86284637451172,-0.017634446293045336,-0.0020475003577254958
65,65,65,65,2019-05-09,62.66978454589844,63.45807266235352,63.27307891845703,-0.012422188121744449,-0.009534771863023872
66,66,66,66,2019-05-10,62.299781799316406,63.12025833129883,63.28112411499024,-0.01299862443014721,-0.015507662504392394
67,67,67,67,2019-05-13,61.83322525024414,63.31329727172852,63.82006454467773,-0.02337695374057358,-0.031131891022182945
68,68,68,68,2019-05-14,63.09612655639648,63.75569915771485,64.1096420288086,-0.010345312027506215,-0.015809095798049788
69,69,69,69,2019-05-15,63.36961364746094,62.70194625854492,64.59227752685547,0.010648272163083394,-0.018928948261441758
70,70,70,70,2019-05-16,63.94875717163086,62.734134674072266,63.86027526855469,0.019361429050851253,0.0013855546770520366
71,71,71,71,2019-05-17,63.916603088378906,62.66978454589844,63.45807266235352,0.019895050725239338,0.007225722540694202
72,72,72,72,2019-05-20,64.20616912841797,62.299781799316406,63.12025833129883,0.03060022481687863,0.01720383955685878
73,73,73,73,2019-05-21,65.0588150024414,61.83322525024414,63.31329727172852,0.05216596318796318,0.027569528139111954
74,74,74,74,2019-05-22,65.62992858886719,63.09612655639648,63.75569915771485,0.040157806362423054,0.02939704929775755
75,75,75,75,2019-05-23,65.27600860595703,63.36961364746094,62.70194625854492,0.03008373964691957,0.041052351657446584
76,76,76,76,2019-05-24,64.39921569824219,63.94875717163086,62.734134674072266,0.007044054435684455,0.026541866446722295
77,77,77,77,2019-05-28,62.76630783081055,63.916603088378906,62.66978454589844,-0.017996814630117597,0.0015401885551626915
78,78,78,78,2019-05-29,62.79045486450195,64.20616912841797,62.299781799316406,-0.02204950525991456,0.007875999738909734
79,79,79,79,2019-05-30,62.428470611572266,65.0588150024414,61.83322525024414,-0.040430253621595025,0.00962662644426393
80,80,80,80,2019-05-31,61.70451736450195,65.62992858886719,63.09612655639648,-0.059811298119119116,-0.022055382284848823
81,81,81,81,2019-06-03,60.8920783996582,65.27600860595703,63.36961364746094,-0.06715989993755156,-0.03909658123506654
82,82,82,82,2019-06-04,61.7366828918457,64.39921569824219,63.94875717163086,-0.04134418063214329,-0.03459135685543058
