,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CTRA,CTRA_6m,CTRA_12m,CTRA_6m_ret,CTRA_12m_ret
0,0,0,0,2019-02-05,19.69767189025879,,,,
1,1,1,1,2019-02-06,19.20443725585937,,,,
2,2,2,2,2019-02-07,18.87030792236328,,,,
3,3,3,3,2019-02-08,19.053279876708984,,,,
4,4,4,4,2019-02-11,19.419233322143555,,,,
5,5,5,5,2019-02-12,19.65789604187012,,,,
6,6,6,6,2019-02-13,19.56242561340332,19.69767189025879,,-0.006866104665006256,
7,7,7,7,2019-02-14,19.665855407714844,19.20443725585937,,0.024026642682002608,
8,8,8,8,2019-02-15,20.071577072143555,18.87030792236328,,0.06365922351254505,
9,9,9,9,2019-02-19,20.03179931640625,19.053279876708984,,0.05135700761386608,
10,10,10,10,2019-02-20,19.84882926940918,19.419233322143555,,0.022122188870132176,
11,11,11,11,2019-02-21,19.52264976501465,19.65789604187012,,-0.00687999756267943,
12,12,12,12,2019-02-22,19.29990196228028,19.56242561340332,19.69767189025879,-0.013419790383415897,-0.02019375336306728
13,13,13,13,2019-02-25,19.80109405517578,19.665855407714844,19.20443725585937,0.006876825068483194,0.031068694769192717
14,14,14,14,2019-02-26,19.976110458374023,20.071577072143555,18.87030792236328,-0.00475630855644249,0.05860013204661341
15,15,15,15,2019-02-27,19.69767189025879,20.03179931640625,19.053279876708984,-0.016679850914531058,0.033820529468919336
16,16,16,16,2019-02-28,19.586301803588867,19.84882926940918,19.419233322143555,-0.013226345103633741,0.00860324806205437
17,17,17,17,2019-03-01,20.07953643798828,19.52264976501465,19.65789604187012,0.028525158197100664,0.021448907615550183
18,18,18,18,2019-03-04,20.15909004211425,19.29990196228028,19.56242561340332,0.0445177432254924,0.030500534059647588
19,19,19,19,2019-03-05,20.485260009765625,19.80109405517578,19.665855407714844,0.034551926912897546,0.04166635953853959
20,20,20,20,2019-03-06,20.21477699279785,19.976110458374023,20.071577072143555,0.011947597853003478,0.00713446283466368
21,21,21,21,2019-03-07,19.98406791687012,19.69767189025879,20.03179931640625,0.014539587632839135,-0.0023827814357663124
22,22,22,22,2019-03-08,19.626075744628903,19.586301803588867,19.84882926940918,0.0020307019384715463,-0.01122250192980312
23,23,23,23,2019-03-11,19.809043884277344,20.07953643798828,19.52264976501465,-0.013471055696245848,0.014669838506037536
24,24,24,24,2019-03-12,20.30228614807129,20.15909004211425,19.29990196228028,0.007103302066605588,0.05193726826955225
25,25,25,25,2019-03-13,20.6682357788086,20.485260009765625,19.80109405517578,0.008932069642062057,0.04379261677241297
26,26,26,26,2019-03-14,20.723926544189453,20.21477699279785,19.976110458374023,0.02518699818321024,0.037435520161630986
27,27,27,27,2019-03-15,20.628461837768555,19.98406791687012,19.69767189025879,0.032245382850928594,0.0472538050534832
28,28,28,28,2019-03-18,20.64437294006348,19.626075744628903,19.586301803588867,0.05188491110930604,0.054020975837344665
29,29,29,29,2019-03-19,20.652326583862305,19.809043884277344,20.07953643798828,0.042570590711562994,0.02852606421681969
30,30,30,30,2019-03-20,21.01032066345215,20.30228614807129,20.15909004211425,0.03487462004115849,0.042225647068374395
31,31,31,31,2019-03-21,21.153520584106445,20.6682357788086,20.485260009765625,0.023479740142862804,0.03262153245905841
32,32,32,32,2019-03-22,20.652326583862305,20.723926544189453,20.21477699279785,-0.003454941812039203,0.021645036758028313
33,33,33,33,2019-03-25,20.994409561157227,20.628461837768555,19.98406791687012,0.017739942331456815,0.05055735641461645
34,34,34,34,2019-03-26,20.994409561157227,20.64437294006348,19.626075744628903,0.01695554629389817,0.06972019441547284
35,35,35,35,2019-03-27,20.92281150817871,20.652326583862305,19.809043884277344,0.013097067936537643,0.05622520856674851
36,36,36,36,2019-03-28,20.97054481506348,21.01032066345215,20.30228614807129,-0.0018931576069592948,0.032915439281978376
37,37,37,37,2019-03-29,20.763702392578125,21.153520584106445,20.6682357788086,-0.01842805267229175,0.004619001582486737
38,38,38,38,2019-04-01,20.580730438232425,20.652326583862305,20.723926544189453,-0.0034667351079865627,-0.006909699551949866
39,39,39,39,2019-04-02,20.604591369628903,20.994409561157227,20.628461837768555,-0.01856771396179413,-0.0011571618052466093
40,40,40,40,2019-04-03,20.278419494628903,20.994409561157227,20.64437294006348,-0.03410384390390342,-0.01772654691411768
41,41,41,41,2019-04-04,20.54094696044922,20.92281150817871,20.652326583862305,-0.018251110639706414,-0.005393078739134305
42,42,42,42,2019-04-05,20.81939125061035,20.97054481506348,21.01032066345215,-0.007207898783085143,-0.009087410701632992
43,43,43,43,2019-04-08,21.33649063110352,20.763702392578125,21.153520584106445,0.027586035847351198,0.008649626253444787
44,44,44,44,2019-04-09,21.59106636047364,20.580730438232425,20.652326583862305,0.049091353937775306,0.04545443210959421
45,45,45,45,2019-04-10,21.59902572631836,20.604591369628903,20.994409561157227,0.04826275556016357,0.028798912558120282
46,46,46,46,2019-04-11,21.535377502441406,20.278419494628903,20.994409561157227,0.06198500865145973,0.025767237688124833
47,47,47,47,2019-04-12,21.71835327148437,20.54094696044922,20.92281150817871,0.05731996257534777,0.03802269895681487
48,48,48,48,2019-04-15,21.766090393066406,20.81939125061035,20.97054481506348,0.0454719896014395,0.0379363333198417
49,49,49,49,2019-04-16,21.82177352905273,21.33649063110352,20.763702392578125,0.022744269727364763,0.05095772981473701
50,50,50,50,2019-04-17,21.511510848999023,21.59106636047364,20.580730438232425,-0.00368464948170677,0.04522582002422548
51,51,51,51,2019-04-18,20.78756523132324,21.59902572631836,20.604591369628903,-0.037569310082646856,0.008880247048433931
52,52,52,52,2019-04-22,20.81939125061035,21.535377502441406,20.278419494628903,-0.03324697938310506,0.026677214963658047
53,53,53,53,2019-04-23,20.835304260253903,21.71835327148437,20.54094696044922,-0.04065911444537962,0.014330269211612068
54,54,54,54,2019-04-24,20.77165603637696,21.766090393066406,20.81939125061035,-0.04568732090748939,-0.0022928246872728764
55,55,55,55,2019-04-25,20.692100524902344,21.82177352905273,21.33649063110352,-0.051768157278618054,-0.030201316483686735
