,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NCLH,NCLH_6m,NCLH_12m,NCLH_6m_ret,NCLH_12m_ret
0,0,0,0,2019-02-05,51.810001373291016,,,,
1,1,1,1,2019-02-06,52.619998931884766,,,,
2,2,2,2,2019-02-07,51.34999847412109,,,,
3,3,3,3,2019-02-08,51.310001373291016,,,,
4,4,4,4,2019-02-11,51.880001068115234,,,,
5,5,5,5,2019-02-12,51.81999969482422,,,,
6,6,6,6,2019-02-13,52.540000915527344,51.810001373291016,,0.014089934817346883,
7,7,7,7,2019-02-14,52.18999862670898,52.619998931884766,,-0.008171803761007568,
8,8,8,8,2019-02-15,53.02999877929688,51.34999847412109,,0.03271665735340701,
9,9,9,9,2019-02-19,53.380001068115234,51.310001373291016,,0.04034300603043328,
10,10,10,10,2019-02-20,53.70000076293945,51.880001068115234,,0.03508094944783591,
11,11,11,11,2019-02-21,55.52000045776367,51.81999969482422,,0.07140101861693005,
12,12,12,12,2019-02-22,55.34999847412109,52.540000915527344,51.810001373291016,0.053483013125781964,0.06832652011190654
13,13,13,13,2019-02-25,55.93999862670898,52.18999862670898,52.619998931884766,0.07185284726336216,0.06309387613484874
14,14,14,14,2019-02-26,55.56999969482422,53.02999877929688,51.34999847412109,0.047897434923550586,0.08218113624345857
15,15,15,15,2019-02-27,54.91999816894531,53.380001068115234,51.310001373291016,0.028849701573909092,0.0703565912889148
16,16,16,16,2019-02-28,55.52999877929688,53.70000076293945,51.880001068115234,0.034078174866998934,0.07035461904461848
17,17,17,17,2019-03-01,55.27000045776367,55.52000045776367,51.81999969482422,-0.004502881807254,0.06657662646192652
18,18,18,18,2019-03-04,54.59999847412109,55.34999847412109,52.540000915527344,-0.013550135874902725,0.03920817515602559
19,19,19,19,2019-03-05,55.45000076293945,55.93999862670898,52.18999862670898,-0.008759347082564428,0.06246411615274727
20,20,20,20,2019-03-06,55.119998931884766,55.56999969482422,53.02999877929688,-0.008097908321229808,0.0394116575654877
21,21,21,21,2019-03-07,54.65999984741211,54.91999816894531,53.380001068115234,-0.004734128372207769,0.023978995010950577
22,22,22,22,2019-03-08,55.0099983215332,55.52999877929688,53.70000076293945,-0.009364316030879283,0.024394740036909557
23,23,23,23,2019-03-11,55.459999084472656,55.27000045776367,55.52000045776367,0.003437644746433044,-0.0010807163688094645
24,24,24,24,2019-03-12,55.34999847412109,54.59999847412109,55.34999847412109,0.01373626412014417,0.0
25,25,25,25,2019-03-13,55.08000183105469,55.45000076293945,55.93999862670898,-0.006672658733885117,-0.015373557682636041
26,26,26,26,2019-03-14,55.15999984741211,55.119998931884766,55.56999969482422,0.0007257060287098049,-0.007378078993408699
27,27,27,27,2019-03-15,55.54999923706055,54.65999984741211,54.91999816894531,0.016282462351499216,0.011471250712303815
28,28,28,28,2019-03-18,56.15999984741211,55.0099983215332,55.52999877929688,0.020905318323355626,0.011345238284970138
29,29,29,29,2019-03-19,56.11000061035156,55.459999084472656,55.27000045776367,0.011720186379535757,0.0151981209631038
30,30,30,30,2019-03-20,55.869998931884766,55.34999847412109,54.59999847412109,0.009394769143612702,0.0232600822940614
31,31,31,31,2019-03-21,56.5,55.08000183105469,55.45000076293945,0.025780648542838236,0.01893596433928857
32,32,32,32,2019-03-22,55.619998931884766,55.15999984741211,55.119998931884766,0.008339359785082268,0.009071117737463608
33,33,33,33,2019-03-25,55.16999816894531,55.54999923706055,54.65999984741211,-0.006840703390356029,0.0093303754657319
34,34,34,34,2019-03-26,54.47999954223633,56.15999984741211,55.0099983215332,-0.02991453542985001,-0.009634589992150833
35,35,35,35,2019-03-27,53.93999862670898,56.11000061035156,55.459999084472656,-0.03867406808122986,-0.027407148987660945
36,36,36,36,2019-03-28,54.33000183105469,55.869998931884766,55.34999847412109,-0.027563936464498617,-0.018428124140659197
37,37,37,37,2019-03-29,54.959999084472656,56.5,55.08000183105469,-0.02725665337216543,-0.0021786990303688247
38,38,38,38,2019-04-01,56.11000061035156,55.619998931884766,55.15999984741211,0.008809811001019296,0.017222638969677684
39,39,39,39,2019-04-02,56.5,55.16999816894531,55.54999923706055,0.02410733868400472,0.01710172414018052
40,40,40,40,2019-04-03,56.7599983215332,54.47999954223633,56.15999984741211,0.041850198209514966,0.010683733542580232
41,41,41,41,2019-04-04,56.72999954223633,53.93999862670898,56.11000061035156,0.051724156220980255,0.01104970460061594
42,42,42,42,2019-04-05,57.130001068115234,54.33000183105469,55.869998931884766,0.051536888324934305,0.022552392345069228
43,43,43,43,2019-04-08,57.290000915527344,54.959999084472656,56.5,0.04239450272685619,0.013982317088979457
44,44,44,44,2019-04-09,55.880001068115234,56.11000061035156,55.619998931884766,-0.004099082868195492,0.004674615987477537
45,45,45,45,2019-04-10,56.5,56.5,55.16999816894531,0.0,0.02410733868400472
46,46,46,46,2019-04-11,57.47999954223633,56.7599983215332,54.47999954223633,0.012685011310685335,0.05506607975784239
47,47,47,47,2019-04-12,58.59999847412109,56.72999954223633,53.93999862670898,0.032963140260428014,0.08639228709777269
48,48,48,48,2019-04-15,58.66999816894531,57.130001068115234,54.33000183105469,0.026956013863783435,0.07988213126490096
