,Unnamed: 0.1,Unnamed: 0,Date,CTSH,CTSH_6m,CTSH_12m
63,63,63,2019-05-07,54.63208770751953,67.60150146484375,66.61175537109375
64,64,64,2019-05-08,55.070945739746094,68.1243896484375,66.74247741699219
65,65,65,2019-05-09,55.18299865722656,67.39607238769531,68.02169036865234
66,66,66,2019-05-10,55.21100234985352,62.19524765014648,67.85359954833984
67,67,67,2019-05-13,53.110130310058594,55.32304763793945,68.09636688232422
68,68,68,2019-05-14,53.92246627807617,55.64985656738281,68.50720977783203
69,69,69,2019-05-15,54.71612930297852,54.63208770751953,67.60150146484375
70,70,70,2019-05-16,54.75347900390625,55.070945739746094,68.1243896484375
71,71,71,2019-05-17,55.50045394897461,55.18299865722656,67.39607238769531
72,72,72,2019-05-20,56.01401138305664,55.21100234985352,62.19524765014648
73,73,73,2019-05-21,57.147579193115234,53.110130310058594,55.32304763793945
74,74,74,2019-05-22,57.61600875854492,53.92246627807617,55.64985656738281
75,75,75,2019-05-23,57.2225341796875,54.71612930297852,54.63208770751953
76,76,76,2019-05-24,57.96263885498047,54.75347900390625,55.070945739746094
77,77,77,2019-05-28,58.15000915527344,55.50045394897461,55.18299865722656
78,78,78,2019-05-29,57.97200393676758,56.01401138305664,55.21100234985352
79,79,79,2019-05-30,58.42169952392578,57.147579193115234,53.110130310058594
80,80,80,2019-05-31,58.01884841918945,57.61600875854492,53.92246627807617
81,81,81,2019-06-03,56.71663284301758,57.2225341796875,54.71612930297852
82,82,82,2019-06-04,57.24127578735352,57.96263885498047,54.75347900390625
83,83,83,2019-06-05,58.2530632019043,58.15000915527344,55.50045394897461
84,84,84,2019-06-06,57.9907455444336,57.97200393676758,56.01401138305664
85,85,85,2019-06-07,58.815162658691406,58.42169952392578,57.147579193115234
86,86,86,2019-06-10,59.04938125610352,58.01884841918945,57.61600875854492
87,87,87,2019-06-11,59.36791229248047,56.71663284301758,57.2225341796875
88,88,88,2019-06-12,58.22496795654297,57.24127578735352,57.96263885498047
89,89,89,2019-06-13,58.402957916259766,58.2530632019043,58.15000915527344
90,90,90,2019-06-14,57.747169494628906,57.9907455444336,57.97200393676758
91,91,91,2019-06-17,58.60906982421875,58.815162658691406,58.42169952392578
92,92,92,2019-06-18,59.6958122253418,59.04938125610352,58.01884841918945
93,93,93,2019-06-19,58.65590286254883,59.36791229248047,56.71663284301758
94,94,94,2019-06-20,60.11737823486328,58.22496795654297,57.24127578735352
95,95,95,2019-06-21,60.38907241821289,58.402957916259766,58.2530632019043
96,96,96,2019-06-24,60.00496673583984,57.747169494628906,57.9907455444336
97,97,97,2019-06-25,59.171173095703125,58.60906982421875,58.815162658691406
98,98,98,2019-06-26,59.07748794555664,59.6958122253418,59.04938125610352
99,99,99,2019-06-27,59.07748794555664,58.65590286254883,59.36791229248047
100,100,100,2019-06-28,59.38664245605469,60.11737823486328,58.22496795654297
101,101,101,2019-07-01,60.220436096191406,60.38907241821289,58.402957916259766
102,102,102,2019-07-02,60.295387268066406,60.00496673583984,57.747169494628906
103,103,103,2019-07-03,60.12676239013672,59.171173095703125,58.60906982421875
104,104,104,2019-07-05,60.62328338623047,59.07748794555664,59.6958122253418
105,105,105,2019-07-08,60.14548873901367,59.07748794555664,58.65590286254883
106,106,106,2019-07-09,60.31412506103516,59.38664245605469,60.11737823486328
107,107,107,2019-07-10,60.01433944702149,60.220436096191406,60.38907241821289
108,108,108,2019-07-11,61.16665649414063,60.295387268066406,60.00496673583984
109,109,109,2019-07-12,61.70066452026367,60.12676239013672,59.171173095703125
110,110,110,2019-07-15,61.66318893432617,60.62328338623047,59.07748794555664
111,111,111,2019-07-16,61.78496551513672,60.14548873901367,59.07748794555664
112,112,112,2019-07-17,61.11980056762695,60.31412506103516,59.38664245605469
113,113,113,2019-07-18,61.7662239074707,60.01433944702149,60.220436096191406
114,114,114,2019-07-19,61.0261344909668,61.16665649414063,60.295387268066406
115,115,115,2019-07-22,61.41025161743164,61.70066452026367,60.12676239013672
116,116,116,2019-07-23,61.71003341674805,61.66318893432617,60.62328338623047
117,117,117,2019-07-24,61.6069564819336,61.78496551513672,60.14548873901367
118,118,118,2019-07-25,61.6257209777832,61.11980056762695,60.31412506103516
119,119,119,2019-07-26,62.20655059814453,61.7662239074707,60.01433944702149
120,120,120,2019-07-29,61.86929321289063,61.0261344909668,61.16665649414063
121,121,121,2019-07-30,61.20411682128906,61.41025161743164,61.70066452026367
122,122,122,2019-07-31,61.0261344909668,61.71003341674805,61.66318893432617
123,123,123,2019-08-01,62.2159309387207,61.6069564819336,61.78496551513672
124,124,124,2019-08-02,59.48033142089844,61.6257209777832,61.11980056762695
125,125,125,2019-08-05,58.12190246582031,62.20655059814453,61.7662239074707
126,126,126,2019-08-06,58.62780380249024,61.86929321289063,61.0261344909668
127,127,127,2019-08-07,58.28116607666016,61.20411682128906,61.41025161743164
128,128,128,2019-08-08,59.92064666748047,61.0261344909668,61.71003341674805
129,129,129,2019-08-09,58.515380859375,62.2159309387207,61.6069564819336
130,130,130,2019-08-12,57.30684280395508,59.48033142089844,61.6257209777832
131,131,131,2019-08-13,57.840850830078125,58.12190246582031,62.20655059814453
132,132,132,2019-08-14,56.81968688964844,58.62780380249024,61.86929321289063
133,133,133,2019-08-15,56.75411605834961,58.28116607666016,61.20411682128906
134,134,134,2019-08-16,57.35369110107422,59.92064666748047,61.0261344909668
135,135,135,2019-08-19,57.953269958496094,58.515380859375,62.2159309387207
136,136,136,2019-08-20,57.69096374511719,57.30684280395508,59.48033142089844
137,137,137,2019-08-21,58.21730422973633,57.840850830078125,58.12190246582031
138,138,138,2019-08-22,57.52178192138672,56.81968688964844,58.62780380249024
139,139,139,2019-08-23,56.39389801025391,56.75411605834961,58.28116607666016
140,140,140,2019-08-26,56.27170944213867,57.35369110107422,59.92064666748047
141,141,141,2019-08-27,56.11193084716797,57.953269958496094,58.515380859375
142,142,142,2019-08-28,56.61947250366211,57.69096374511719,57.30684280395508
143,143,143,2019-08-29,57.69096374511719,58.21730422973633,57.840850830078125
144,144,144,2019-08-30,57.70035552978516,57.52178192138672,56.81968688964844
145,145,145,2019-09-03,57.784950256347656,56.39389801025391,56.75411605834961
146,146,146,2019-09-04,58.65904998779297,56.27170944213867,57.35369110107422
147,147,147,2019-09-05,60.397857666015625,56.11193084716797,57.953269958496094
148,148,148,2019-09-06,60.57644271850586,56.61947250366211,57.69096374511719
149,149,149,2019-09-09,60.32267761230469,57.69096374511719,58.21730422973633
150,150,150,2019-09-10,60.84901428222656,57.70035552978516,57.52178192138672
151,151,151,2019-09-11,61.43175506591797,57.784950256347656,56.39389801025391
152,152,152,2019-09-12,60.9430046081543,58.65904998779297,56.27170944213867
153,153,153,2019-09-13,60.46365737915039,60.397857666015625,56.11193084716797
154,154,154,2019-09-16,60.14408874511719,60.57644271850586,56.61947250366211
155,155,155,2019-09-17,60.15349197387695,60.32267761230469,57.69096374511719
156,156,156,2019-09-18,59.69293594360352,60.84901428222656,57.70035552978516
157,157,157,2019-09-19,59.65534973144531,61.43175506591797,57.784950256347656
158,158,158,2019-09-20,58.08571243286133,60.9430046081543,58.65904998779297
159,159,159,2019-09-23,57.17401123046875,60.46365737915039,60.397857666015625
160,160,160,2019-09-24,56.31870269775391,60.14408874511719,60.57644271850586
161,161,161,2019-09-25,56.57247543334961,60.15349197387695,60.32267761230469
162,162,162,2019-09-26,56.0743293762207,59.69293594360352,60.84901428222656
163,163,163,2019-09-27,55.21902847290039,59.65534973144531,61.43175506591797
164,164,164,2019-09-30,56.64767074584961,58.08571243286133,60.9430046081543
165,165,165,2019-10-01,56.97663497924805,57.17401123046875,60.46365737915039
166,166,166,2019-10-02,56.33750915527344,56.31870269775391,60.14408874511719
167,167,167,2019-10-03,56.56307601928711,56.57247543334961,60.15349197387695
168,168,168,2019-10-04,56.87324523925781,56.0743293762207,59.69293594360352
169,169,169,2019-10-07,56.65706253051758,55.21902847290039,59.65534973144531
170,170,170,2019-10-08,55.36000442504883,56.64767074584961,58.08571243286133
171,171,171,2019-10-09,55.8675537109375,56.97663497924805,57.17401123046875
172,172,172,2019-10-10,56.20591735839844,56.33750915527344,56.31870269775391
173,173,173,2019-10-11,56.96723937988281,56.56307601928711,56.57247543334961
174,174,174,2019-10-14,56.75106048583984,56.87324523925781,56.0743293762207
175,175,175,2019-10-15,57.65336227416992,56.65706253051758,55.21902847290039
176,176,176,2019-10-16,57.70035552978516,55.36000442504883,56.64767074584961
177,177,177,2019-10-17,57.69096374511719,55.8675537109375,56.97663497924805
178,178,178,2019-10-18,56.99543762207031,56.20591735839844,56.33750915527344
179,179,179,2019-10-21,57.12701797485352,56.96723937988281,56.56307601928711
180,180,180,2019-10-22,56.29991149902344,56.75106048583984,56.87324523925781
181,181,181,2019-10-23,56.72286605834961,57.65336227416992,56.65706253051758
182,182,182,2019-10-24,56.87324523925781,57.70035552978516,55.36000442504883
183,183,183,2019-10-25,56.82625198364258,57.69096374511719,55.8675537109375
184,184,184,2019-10-28,57.02362823486328,56.99543762207031,56.20591735839844
185,185,185,2019-10-29,56.816856384277344,57.12701797485352,56.96723937988281
186,186,186,2019-10-30,56.290504455566406,56.29991149902344,56.75106048583984
187,187,187,2019-10-31,57.27739715576172,56.72286605834961,57.65336227416992
188,188,188,2019-11-01,57.54997253417969,56.87324523925781,57.70035552978516
189,189,189,2019-11-04,58.33948516845703,56.82625198364258,57.69096374511719
190,190,190,2019-11-05,58.1984977722168,57.02362823486328,56.99543762207031
191,191,191,2019-11-06,58.51806640625,56.816856384277344,57.12701797485352
192,192,192,2019-11-07,59.24178695678711,56.290504455566406,56.29991149902344
193,193,193,2019-11-08,59.08200454711914,57.27739715576172,56.72286605834961
194,194,194,2019-11-11,58.87522506713867,57.54997253417969,56.87324523925781
195,195,195,2019-11-12,59.06320571899414,58.33948516845703,56.82625198364258
196,196,196,2019-11-13,58.75303268432617,58.1984977722168,57.02362823486328
197,197,197,2019-11-14,59.31697845458984,58.51806640625,56.816856384277344
198,198,198,2019-11-15,59.57075500488281,59.24178695678711,56.290504455566406
199,199,199,2019-11-18,59.99505615234375,59.08200454711914,57.27739715576172
200,200,200,2019-11-19,60.26848220825195,58.87522506713867,57.54997253417969
201,201,201,2019-11-20,59.88190078735352,59.06320571899414,58.33948516845703
202,202,202,2019-11-21,59.7781867980957,58.75303268432617,58.1984977722168
203,203,203,2019-11-22,59.58018112182617,59.31697845458984,58.51806640625
204,204,204,2019-11-25,59.74047088623047,59.57075500488281,59.24178695678711
205,205,205,2019-11-26,60.08933639526367,59.99505615234375,59.08200454711914
206,206,206,2019-11-27,60.485347747802734,60.26848220825195,58.87522506713867
207,207,207,2019-11-29,60.44762420654297,59.88190078735352,59.06320571899414
208,208,208,2019-12-02,59.910186767578125,59.7781867980957,58.75303268432617
209,209,209,2019-12-03,59.16531753540039,59.58018112182617,59.31697845458984
210,210,210,2019-12-04,58.8353157043457,59.74047088623047,59.57075500488281
211,211,211,2019-12-05,58.65616607666016,60.08933639526367,59.99505615234375
212,212,212,2019-12-06,59.08045959472656,60.485347747802734,60.26848220825195
213,213,213,2019-12-09,58.34501647949219,60.44762420654297,59.88190078735352
214,214,214,2019-12-10,57.60957717895508,59.910186767578125,59.7781867980957
215,215,215,2019-12-11,57.21357345581055,59.16531753540039,59.58018112182617
216,216,216,2019-12-12,58.241302490234375,58.8353157043457,59.74047088623047
217,217,217,2019-12-13,58.11873626708984,58.65616607666016,60.08933639526367
218,218,218,2019-12-16,58.13758850097656,59.08045959472656,60.485347747802734
219,219,219,2019-12-17,58.23186492919922,58.34501647949219,60.44762420654297
220,220,220,2019-12-18,58.75988006591797,57.60957717895508,59.910186767578125
221,221,221,2019-12-19,59.12760543823242,57.21357345581055,59.16531753540039
222,222,222,2019-12-20,59.60846710205078,58.241302490234375,58.8353157043457
223,223,223,2019-12-23,59.05217742919922,58.11873626708984,58.65616607666016
224,224,224,2019-12-24,58.8353157043457,58.13758850097656,59.08045959472656
225,225,225,2019-12-26,58.57131576538086,58.23186492919922,58.34501647949219
226,226,226,2019-12-27,58.6090202331543,58.75988006591797,57.60957717895508
227,227,227,2019-12-30,58.12815856933594,59.12760543823242,57.21357345581055
228,228,228,2019-12-31,58.47701644897461,59.60846710205078,58.241302490234375
229,229,229,2020-01-02,58.38273239135742,59.05217742919922,58.11873626708984
230,230,230,2020-01-03,57.8547248840332,58.8353157043457,58.13758850097656
231,231,231,2020-01-06,57.27956771850586,58.57131576538086,58.23186492919922
232,232,232,2020-01-07,56.8741340637207,58.6090202331543,58.75988006591797
233,233,233,2020-01-08,57.26071166992188,58.12815856933594,59.12760543823242
234,234,234,2020-01-09,57.6190071105957,58.47701644897461,59.60846710205078
235,235,235,2020-01-10,57.17585372924805,58.38273239135742,59.05217742919922
236,236,236,2020-01-13,57.66614532470703,57.8547248840332,58.8353157043457
237,237,237,2020-01-14,57.86415100097656,57.27956771850586,58.57131576538086
238,238,238,2020-01-15,58.31672286987305,56.8741340637207,58.6090202331543
239,239,239,2020-01-16,58.88246154785156,57.26071166992188,58.12815856933594
240,240,240,2020-01-17,59.184173583984375,57.6190071105957,58.47701644897461
241,241,241,2020-01-21,58.73159408569336,57.17585372924805,58.38273239135742
242,242,242,2020-01-22,58.63731002807617,57.66614532470703,57.8547248840332
243,243,243,2020-01-23,58.97674179077149,57.86415100097656,57.27956771850586
244,244,244,2020-01-24,58.85417175292969,58.31672286987305,56.8741340637207
245,245,245,2020-01-27,58.241302490234375,58.88246154785156,57.26071166992188
246,246,246,2020-01-28,59.02388000488281,59.184173583984375,57.6190071105957
247,247,247,2020-01-29,59.32561111450195,58.73159408569336,57.17585372924805
248,248,248,2020-01-30,58.90132141113281,58.63731002807617,57.66614532470703
249,249,249,2020-01-31,57.87358856201172,58.97674179077149,57.86415100097656
250,250,250,2020-02-03,59.03331756591797,58.85417175292969,58.31672286987305
251,251,251,2020-02-04,59.80647277832031,58.241302490234375,58.88246154785156
252,252,252,2020-02-05,61.25849533081055,59.02388000488281,59.184173583984375
253,253,253,2020-02-06,67.34002685546875,59.32561111450195,58.73159408569336
254,254,254,2020-02-07,65.61455535888672,58.90132141113281,58.63731002807617
255,255,255,2020-02-10,65.41657257080078,57.87358856201172,58.97674179077149
256,256,256,2020-02-11,65.24684143066406,59.03331756591797,58.85417175292969
257,257,257,2020-02-12,65.4637222290039,59.80647277832031,58.241302490234375
258,258,258,2020-02-13,65.6334228515625,61.25849533081055,59.02388000488281
259,259,259,2020-02-14,64.71593475341797,67.34002685546875,59.32561111450195
260,260,260,2020-02-18,65.10375213623047,65.61455535888672,58.90132141113281
261,261,261,2020-02-19,65.15103149414062,65.41657257080078,57.87358856201172
262,262,262,2020-02-20,65.79421997070312,65.24684143066406,59.03331756591797
263,263,263,2020-02-21,66.29554748535156,65.4637222290039,59.80647277832031
264,264,264,2020-02-24,63.77008438110352,65.6334228515625,61.25849533081055
265,265,265,2020-02-25,60.9892578125,64.71593475341797,67.34002685546875
266,266,266,2020-02-26,59.85420989990234,65.10375213623047,65.61455535888672
267,267,267,2020-02-27,58.9461784362793,65.15103149414062,65.41657257080078
268,268,268,2020-02-28,57.63143539428711,65.79421997070312,65.24684143066406
269,269,269,2020-03-02,58.00977325439453,66.29554748535156,65.4637222290039
270,270,270,2020-03-03,56.38289642333984,63.77008438110352,65.6334228515625
271,271,271,2020-03-04,58.80430603027344,60.9892578125,64.71593475341797
272,272,272,2020-03-05,56.68557357788086,59.85420989990234,65.10375213623047
273,273,273,2020-03-06,55.08706283569336,58.9461784362793,65.15103149414062
274,274,274,2020-03-09,51.03876876831055,57.63143539428711,65.79421997070312
275,275,275,2020-03-10,52.760231018066406,58.00977325439453,66.29554748535156
276,276,276,2020-03-11,50.26315689086914,56.38289642333984,63.77008438110352
277,277,277,2020-03-12,46.328369140625,58.80430603027344,60.9892578125
278,278,278,2020-03-13,49.77130508422852,56.68557357788086,59.85420989990234
279,279,279,2020-03-16,41.2207145690918,55.08706283569336,58.9461784362793
280,280,280,2020-03-17,47.387733459472656,51.03876876831055,57.63143539428711
281,281,281,2020-03-18,44.90011978149414,52.760231018066406,58.00977325439453
282,282,282,2020-03-19,43.97317123413086,50.26315689086914,56.38289642333984
283,283,283,2020-03-20,41.71255493164063,46.328369140625,58.80430603027344
284,284,284,2020-03-23,39.35736083984375,49.77130508422852,56.68557357788086
285,285,285,2020-03-24,43.89751052856445,41.2207145690918,55.08706283569336
286,286,286,2020-03-25,45.10820388793945,47.387733459472656,51.03876876831055
287,287,287,2020-03-26,47.12289047241211,44.90011978149414,52.760231018066406
288,288,288,2020-03-27,44.13396835327149,43.97317123413086,50.26315689086914
289,289,289,2020-03-30,44.81499099731445,41.71255493164063,46.328369140625
290,290,290,2020-03-31,43.95425415039063,39.35736083984375,49.77130508422852
291,291,291,2020-04-01,40.20863723754883,43.89751052856445,41.2207145690918
292,292,292,2020-04-02,41.89227294921875,45.10820388793945,47.387733459472656
293,293,293,2020-04-03,41.05045318603516,47.12289047241211,44.90011978149414
294,294,294,2020-04-06,45.82706451416016,44.13396835327149,43.97317123413086
295,295,295,2020-04-07,45.21224212646485,44.81499099731445,41.71255493164063
296,296,296,2020-04-08,48.6078987121582,43.95425415039063,39.35736083984375
297,297,297,2020-04-09,51.34144973754883,40.20863723754883,43.89751052856445
298,298,298,2020-04-13,49.84697341918945,41.89227294921875,45.10820388793945
299,299,299,2020-04-14,51.1428108215332,41.05045318603516,47.12289047241211
300,300,300,2020-04-15,49.12812042236328,45.82706451416016,44.13396835327149
301,301,301,2020-04-16,48.68356323242188,45.21224212646485,44.81499099731445
302,302,302,2020-04-17,50.89689636230469,48.6078987121582,43.95425415039063
303,303,303,2020-04-20,49.686180114746094,51.34144973754883,40.20863723754883
304,304,304,2020-04-21,48.22955322265625,49.84697341918945,41.89227294921875
305,305,305,2020-04-22,49.43079376220703,51.1428108215332,41.05045318603516
306,306,306,2020-04-23,49.79969024658203,49.12812042236328,45.82706451416016
307,307,307,2020-04-24,50.89689636230469,48.68356323242188,45.21224212646485
308,308,308,2020-04-27,53.00615310668945,50.89689636230469,48.6078987121582
309,309,309,2020-04-28,53.46963882446289,49.686180114746094,51.34144973754883
310,310,310,2020-04-29,56.023468017578125,48.22955322265625,49.84697341918945
311,311,311,2020-04-30,54.87897491455078,49.43079376220703,51.1428108215332
312,312,312,2020-05-01,53.44125747680664,49.79969024658203,49.12812042236328
313,313,313,2020-05-04,53.33720779418945,50.89689636230469,48.68356323242188
314,314,314,2020-05-05,54.046607971191406,53.00615310668945,50.89689636230469
315,315,315,2020-05-06,54.47224807739258,53.46963882446289,49.686180114746094
316,316,316,2020-05-07,55.57890319824219,56.023468017578125,48.22955322265625
317,317,317,2020-05-08,54.065528869628906,54.87897491455078,49.43079376220703
318,318,318,2020-05-11,52.54268264770508,53.44125747680664,49.79969024658203
319,319,319,2020-05-12,50.329368591308594,53.33720779418945,50.89689636230469
320,320,320,2020-05-13,46.8012924194336,54.046607971191406,53.00615310668945
321,321,321,2020-05-14,47.99309158325195,54.47224807739258,53.46963882446289
322,322,322,2020-05-15,47.463409423828125,55.57890319824219,56.023468017578125
323,323,323,2020-05-18,50.26315689086914,54.065528869628906,54.87897491455078
324,324,324,2020-05-19,48.89545440673828,52.54268264770508,53.44125747680664
325,325,325,2020-05-20,49.92124176025391,50.329368591308594,53.33720779418945
326,326,326,2020-05-21,49.14240646362305,46.8012924194336,54.046607971191406
327,327,327,2020-05-22,48.86695861816406,47.99309158325195,54.47224807739258
328,328,328,2020-05-26,50.58609008789063,47.463409423828125,55.57890319824219
329,329,329,2020-05-27,52.57115936279297,50.26315689086914,54.065528869628906
330,330,330,2020-05-28,51.00400161743164,48.89545440673828,52.54268264770508
331,331,331,2020-05-29,50.33913803100586,49.92124176025391,50.329368591308594
332,332,332,2020-06-01,50.19666290283203,49.14240646362305,46.8012924194336
333,333,333,2020-06-02,50.62408447265625,48.86695861816406,47.99309158325195
334,334,334,2020-06-03,52.57115936279297,50.58609008789063,47.463409423828125
335,335,335,2020-06-04,52.80861282348633,52.57115936279297,50.26315689086914
336,336,336,2020-06-05,54.91716003417969,51.00400161743164,48.89545440673828
337,337,337,2020-06-08,55.63899612426758,50.33913803100586,49.92124176025391
338,338,338,2020-06-09,54.318790435791016,50.19666290283203,49.14240646362305
339,339,339,2020-06-10,54.64170455932617,50.62408447265625,48.86695861816406
340,340,340,2020-06-11,50.966007232666016,52.57115936279297,50.58609008789063
341,341,341,2020-06-12,52.04877471923828,52.80861282348633,52.57115936279297
342,342,342,2020-06-15,51.92530059814453,54.91716003417969,51.00400161743164
343,343,343,2020-06-16,52.59015655517578,55.63899612426758,50.33913803100586
344,344,344,2020-06-17,52.70413589477539,54.318790435791016,50.19666290283203
345,345,345,2020-06-18,52.134254455566406,54.64170455932617,50.62408447265625
346,346,346,2020-06-19,51.44091033935547,50.966007232666016,52.57115936279297
347,347,347,2020-06-22,51.14646911621094,52.04877471923828,52.80861282348633
348,348,348,2020-06-23,52.428688049316406,51.92530059814453,54.91716003417969
349,349,349,2020-06-24,51.09897232055664,52.59015655517578,55.63899612426758
350,350,350,2020-06-25,52.799110412597656,52.70413589477539,54.318790435791016
351,351,351,2020-06-26,52.43819046020508,52.134254455566406,54.64170455932617
352,352,352,2020-06-29,53.653934478759766,51.44091033935547,50.966007232666016
