,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPC,MPC_6m,MPC_12m,MPC_6m_ret,MPC_12m_ret
0,0,0,0,2019-02-05,55.952880859375,,,,
1,1,1,1,2019-02-06,55.69469451904297,,,,
2,2,2,2,2019-02-07,53.05445861816406,,,,
3,3,3,3,2019-02-08,52.23823547363281,,,,
4,4,4,4,2019-02-11,51.40536117553711,,,,
5,5,5,5,2019-02-12,51.53027725219727,,,,
6,6,6,6,2019-02-13,53.01280975341797,55.952880859375,,-0.052545482212904115,
7,7,7,7,2019-02-14,53.33763122558594,55.69469451904297,,-0.04232114591545355,
8,8,8,8,2019-02-15,54.26213455200195,53.05445861816406,,0.022762948963999552,
9,9,9,9,2019-02-19,54.589622497558594,52.23823547363281,,0.04501275746790179,
10,10,10,10,2019-02-20,54.673587799072266,51.40536117553711,,0.06357754422490958,
11,11,11,11,2019-02-21,54.29573059082031,51.53027725219727,,0.053666572083213904,
12,12,12,12,2019-02-22,54.59800720214844,53.01280975341797,55.952880859375,0.029902158668891676,-0.024214546890476196
13,13,13,13,2019-02-25,54.37129211425781,53.33763122558594,55.69469451904297,0.0193795799498504,-0.02376173199644105
14,14,14,14,2019-02-26,54.236942291259766,54.26213455200195,53.05445861816406,-0.0004642696228259746,0.022288111195443605
15,15,15,15,2019-02-27,53.23768997192383,54.589622497558594,52.23823547363281,-0.02476537597773698,0.019132623627677647
16,16,16,16,2019-02-28,52.07048797607422,54.673587799072266,51.40536117553711,-0.047611651764368323,0.012938860564871035
17,17,17,17,2019-03-01,52.63309097290039,54.29573059082031,51.53027725219727,-0.030621921831198717,0.021401276676734637
18,18,18,18,2019-03-04,52.07048797607422,54.59800720214844,53.01280975341797,-0.04629325053414701,-0.01777535998802615
19,19,19,19,2019-03-05,51.06283187866211,54.37129211425781,53.33763122558594,-0.06084939509333687,-0.04264905086059789
20,20,20,20,2019-03-06,50.32389450073242,54.236942291259766,54.26213455200195,-0.07214727868532378,-0.07257805251828664
21,21,21,21,2019-03-07,49.40860748291016,53.23768997192383,54.589622497558594,-0.07192427941619972,-0.0949084235722667
22,22,22,22,2019-03-08,48.283390045166016,52.07048797607422,54.673587799072266,-0.07273021778955346,-0.11687906375177892
23,23,23,23,2019-03-11,49.71090316772461,52.63309097290039,54.29573059082031,-0.05551997329361391,-0.08444176684254534
24,24,24,24,2019-03-12,49.42539978027344,52.07048797607422,54.59800720214844,-0.05079822176846449,-0.09473985749559477
25,25,25,25,2019-03-13,50.02159118652344,51.06283187866211,54.37129211425781,-0.020391362050050765,-0.07999995509751279
26,26,26,26,2019-03-14,50.12236404418945,50.32389450073242,54.236942291259766,-0.004004667336309553,-0.07586302017127855
27,27,27,27,2019-03-15,50.76054000854492,49.40860748291016,53.23768997192383,0.027362287554903775,-0.0465300046768613
28,28,28,28,2019-03-18,52.12926864624024,48.283390045166016,52.07048797607422,0.07965220746672208,0.0011288672806952782
29,29,29,29,2019-03-19,52.087284088134766,49.71090316772461,52.63309097290039,0.047804018212910915,-0.010370032895211323
30,30,30,30,2019-03-20,52.221641540527344,49.42539978027344,52.07048797607422,0.05657499529968257,0.00290286437343501
31,31,31,31,2019-03-21,52.725467681884766,50.02159118652344,51.06283187866211,0.05405418802610562,0.03256058745769308
32,32,32,32,2019-03-22,51.47428894042969,50.12236404418945,50.32389450073242,0.02697248866889712,0.022859805488236296
33,33,33,33,2019-03-25,51.3651237487793,50.76054000854492,49.40860748291016,0.011910506470825588,0.03959869272870864
34,34,34,34,2019-03-26,52.02850341796875,52.12926864624024,48.283390045166016,-0.0019329875689472198,0.07756525317090257
35,35,35,35,2019-03-27,52.221641540527344,52.087284088134766,49.71090316772461,0.0025794674217460845,0.0505067945422657
36,36,36,36,2019-03-28,51.180397033691406,52.221641540527344,49.42539978027344,-0.019938946308837635,0.03550800319714198
37,37,37,37,2019-03-29,50.25672149658203,52.725467681884766,50.02159118652344,-0.046822651250771896,0.004700576380743726
38,38,38,38,2019-04-01,51.26436996459961,51.47428894042969,50.12236404418945,-0.0040781326007827134,0.022784358682749417
39,39,39,39,2019-04-02,50.31549072265625,51.3651237487793,50.76054000854492,-0.020434741503917664,-0.008767623154004145
40,40,40,40,2019-04-03,50.70176696777344,52.02850341796875,52.12926864624024,-0.025500184764820744,-0.02738388079361176
41,41,41,41,2019-04-04,51.51626968383789,52.221641540527344,52.087284088134766,-0.013507270853254205,-0.0109626449966308
42,42,42,42,2019-04-05,53.29646682739258,51.180397033691406,52.221641540527344,0.04134531805816577,0.020581989672444623
43,43,43,43,2019-04-08,53.20410537719727,50.25672149658203,52.725467681884766,0.058646560954352944,0.009077922232958224
44,44,44,44,2019-04-09,52.19644165039063,51.26436996459961,51.47428894042969,0.018181666651412298,0.014029386803121824
45,45,45,45,2019-04-10,53.40562438964844,50.31549072265625,51.3651237487793,0.061415155106511854,0.039725410783569615
46,46,46,46,2019-04-11,52.994178771972656,50.70176696777344,52.02850341796875,0.04521364720200571,0.018560506079642547
47,47,47,47,2019-04-12,51.717811584472656,51.51626968383789,52.221641540527344,0.003912199036763653,-0.009647914948512026
48,48,48,48,2019-04-15,50.83612060546875,53.29646682739258,51.180397033691406,-0.0461634019735675,-0.0067267244526458825
49,49,49,49,2019-04-16,50.39946746826172,53.20410537719727,50.25672149658203,-0.0527146897603431,0.002840335927790205
50,50,50,50,2019-04-17,50.58419418334961,52.19644165039063,51.26436996459961,-0.030888072367840413,-0.013268002351724872
51,51,51,51,2019-04-18,50.223121643066406,53.40562438964844,50.31549072265625,-0.05959115323439401,-0.0018357980467484936
52,52,52,52,2019-04-22,51.33153533935547,52.994178771972656,50.70176696777344,-0.03137407675985193,0.012421034004245213
53,53,53,53,2019-04-23,51.27276611328125,51.717811584472656,51.51626968383789,-0.008605264947541214,-0.004726731420016561
54,54,54,54,2019-04-24,49.96281051635742,50.83612060546875,53.29646682739258,-0.017178928657616388,-0.0625492928420871
55,55,55,55,2019-04-25,50.9284782409668,50.39946746826172,53.20410537719727,0.010496356395793605,-0.04277164553556778
56,56,56,56,2019-04-26,50.71015167236328,50.58419418334961,52.19644165039063,0.0024900562526926073,-0.028474929152880857
57,57,57,57,2019-04-29,51.2139892578125,50.223121643066406,53.40562438964844,0.019729311566655472,-0.041037534096516226
58,58,58,58,2019-04-30,51.11322021484375,51.33153533935547,52.994178771972656,-0.0042530410023473575,-0.035493682527328874
59,59,59,59,2019-05-01,50.34068298339844,51.27276611328125,51.717811584472656,-0.018178912520995683,-0.026627743109835622
60,60,60,60,2019-05-02,49.28264617919922,49.96281051635742,50.83612060546875,-0.013613412258614344,-0.03055847707825321
