,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WST,WST_6m,WST_12m,WST_6m_ret,WST_12m_ret
0,0,0,0,2019-02-05,102.40919494628906,,,,
1,1,1,1,2019-02-06,102.44863891601562,,,,
2,2,2,2,2019-02-07,101.3639907836914,,,,
3,3,3,3,2019-02-08,101.25554656982422,,,,
4,4,4,4,2019-02-11,102.12323760986328,,,,
5,5,5,5,2019-02-12,103.49381256103516,,,,
6,6,6,6,2019-02-13,104.3615264892578,102.40919494628906,,0.019064025881588842,
7,7,7,7,2019-02-14,99.49053955078124,102.44863891601562,,-0.02887397428148708,
8,8,8,8,2019-02-15,100.48644256591795,101.3639907836914,,-0.00865739609291949,
9,9,9,9,2019-02-19,101.07805633544922,101.25554656982422,,-0.0017528939439639402,
10,10,10,10,2019-02-20,101.4330062866211,102.12323760986328,,-0.006758807685661616,
11,11,11,11,2019-02-21,102.37960815429688,103.49381256103516,,-0.010765903575937763,
12,12,12,12,2019-02-22,102.82331085205078,104.3615264892578,102.40919494628906,-0.01473929798607676,0.004043737537229086
13,13,13,13,2019-02-25,103.64173126220705,99.49053955078124,102.44863891601562,0.04172448687251307,0.011645760830160778
14,14,14,14,2019-02-26,102.3204345703125,100.48644256591795,101.3639907836914,0.01825113873636708,0.009435735306259962
15,15,15,15,2019-02-27,102.4387435913086,101.07805633544922,101.25554656982422,0.013461747338548324,0.011685256379199593
16,16,16,16,2019-02-28,103.28677368164062,101.4330062866211,102.12323760986328,0.018275780861520596,0.011393450687710693
17,17,17,17,2019-03-01,104.65734100341795,102.37960815429688,103.49381256103516,0.02224791528492953,0.01124249279826861
18,18,18,18,2019-03-04,103.43465423583984,102.82331085205078,104.3615264892578,0.005945571862286281,-0.008881359679166478
19,19,19,19,2019-03-05,103.0303726196289,103.64173126220705,99.49053955078124,-0.005898769107121948,0.03557959465121696
20,20,20,20,2019-03-06,101.17664337158205,102.3204345703125,100.48644256591795,-0.011178521705207056,0.0068685962806507295
21,21,21,21,2019-03-07,101.03860473632812,102.4387435913086,101.07805633544922,-0.013668059621723683,-0.0003903082484111309
22,22,22,22,2019-03-08,100.1511688232422,103.28677368164062,101.4330062866211,-0.030358241879674286,-0.012637281594087613
