,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AEP,AEP_6m,AEP_12m,AEP_6m_ret,AEP_12m_ret
764,764,764,764,2022-02-15,80.0672378540039,83.43465423583984,83.73192596435547,-0.040359924933798585,-0.043766915285235575
765,765,765,765,2022-02-16,80.03911590576172,83.79695892333984,83.9827651977539,-0.04484462283429547,-0.04695784048912999
766,766,766,766,2022-02-17,80.11408996582031,83.75948333740234,82.07829284667969,-0.04352215685115379,-0.023930844718328403
767,767,767,767,2022-02-18,80.32025146484375,81.89461517333984,83.49967193603516,-0.019224264076017294,-0.038077041471815565
768,768,768,768,2022-02-22,80.58264923095703,82.13826751708984,83.78768157958984,-0.018939019937438406,-0.03825183234827134
769,769,769,769,2022-02-23,79.31753540039062,80.76071166992188,82.84007263183594,-0.017869781477776847,-0.042522140789282514
770,770,770,770,2022-02-24,81.11680603027344,80.0672378540039,83.43465423583984,0.01310858478949073,-0.027780401642400032
771,771,771,771,2022-02-25,83.83444213867188,80.03911590576172,83.79695892333984,0.04741839274410253,0.00044730997178943355
772,772,772,772,2022-02-28,84.94961547851562,80.11408996582031,83.75948333740234,0.0603579908947145,0.014208924096620335
773,773,773,773,2022-03-01,84.53727722167969,80.32025146484375,81.89461517333984,0.05250264634295543,0.032269057528951484
774,774,774,774,2022-03-02,85.50251007080078,80.58264923095703,82.13826751708984,0.06105360008384664,0.0409582847971679
775,775,775,775,2022-03-03,88.07022857666016,79.31753540039062,80.76071166992188,0.11035003964869072,0.09050832707632761
776,776,776,776,2022-03-04,90.27244567871094,81.11680603027344,80.0672378540039,0.11286982434959958,0.12745797280175197
777,777,777,777,2022-03-07,91.14395904541016,83.83444213867188,80.03911590576172,0.08718990334124843,0.13874270116530663
778,778,778,778,2022-03-08,89.2603530883789,84.94961547851562,80.11408996582031,0.05074463946165242,0.11416547484294881
779,779,779,779,2022-03-09,89.03543853759766,84.53727722167969,80.32025146484375,0.053209205024696615,0.10850547544125355
780,780,780,780,2022-03-10,89.95381927490234,85.50251007080078,80.58264923095703,0.0520605675835204,0.11629265274074951
781,781,781,781,2022-03-11,89.53211975097656,88.07022857666016,79.31753540039062,0.01659915272098922,0.12878090953057564
782,782,782,782,2022-03-14,88.78241729736328,90.27244567871094,81.11680603027344,-0.016505904655013115,0.09450090113544385
783,783,783,783,2022-03-15,90.06626892089844,91.14395904541016,83.83444213867188,-0.011824043368302561,0.07433492277456089
784,784,784,784,2022-03-16,89.0916748046875,89.2603530883789,84.94961547851562,-0.0018897335474843402,0.048759012066622365
785,785,785,785,2022-03-17,88.9698486328125,89.03543853759766,84.53727722167969,-0.0007366718900077007,0.05243333540905759
786,786,786,786,2022-03-18,88.15454864501953,89.95381927490234,85.50251007080078,-0.02000215937896055,0.031017084434395104
787,787,787,787,2022-03-21,88.73556518554688,89.53211975097656,88.07022857666016,-0.00889685810684715,0.0075546143076894445
788,788,788,788,2022-03-22,89.2603530883789,88.78241729736328,90.27244567871094,0.005383225705770656,-0.011211533959478381
789,789,789,789,2022-03-23,89.9725570678711,90.06626892089844,91.14395904541016,-0.0010404766862236459,-0.012852217413064526
790,790,790,790,2022-03-24,90.3755111694336,89.0916748046875,89.2603530883789,0.014410284322980749,0.012493319177782514
791,791,791,791,2022-03-25,90.7503662109375,88.9698486328125,89.03543853759766,0.020012595339724326,0.019261180733283645
792,792,792,792,2022-03-28,91.47195434570312,88.15454864501953,89.95381927490234,0.03763170195609655,0.016876827276908646
793,793,793,793,2022-03-29,92.4840316772461,88.73556518554688,89.53211975097656,0.04224311282472981,0.03297042373708936
794,794,794,794,2022-03-30,93.16812133789062,89.2603530883789,88.78241729736328,0.043779439743449666,0.049398340054631396
795,795,795,795,2022-03-31,93.4961166381836,89.9725570678711,90.06626892089844,0.03916260341088784,0.038081378948843225
796,796,796,796,2022-04-01,95.126708984375,90.3755111694336,89.0916748046875,0.05257173932918602,0.06773959736325419
797,797,797,797,2022-04-04,94.32078552246094,90.7503662109375,88.9698486328125,0.039343304722588845,0.060143261699053596
798,798,798,798,2022-04-05,94.93927764892578,91.47195434570312,88.15454864501953,0.037905862272478386,0.07696402634000177
799,799,799,799,2022-04-06,97.9193115234375,92.4840316772461,88.73556518554688,0.05876992760393085,0.10349566511113473
800,800,800,800,2022-04-07,96.86973571777344,93.16812133789062,89.2603530883789,0.039730482129807676,0.08524930012163723
801,801,801,801,2022-04-08,96.51363372802734,93.4961166381836,89.9725570678711,0.03227425050733501,0.07270079759122505
802,802,802,802,2022-04-11,95.02362060546876,95.126708984375,90.3755111694336,-0.001083695420632802,0.05143107215538745
803,803,803,803,2022-04-12,95.87638854980467,94.32078552246094,90.7503662109375,0.016492685241402016,0.05648486670513697
804,804,804,804,2022-04-13,95.8201675415039,94.93927764892578,91.47195434570312,0.009278455812941289,0.04753602595356643
805,805,805,805,2022-04-14,95.62338256835938,97.9193115234375,92.4840316772461,-0.02344715173501377,0.033944788458931896
806,806,806,806,2022-04-18,95.26727294921876,96.86973571777344,93.16812133789062,-0.016542450092187688,0.02253079251984902
807,807,807,807,2022-04-19,95.98884582519533,96.51363372802734,93.4961166381836,-0.005437448395227307,0.026661312540479543
808,808,808,808,2022-04-20,96.36370086669922,95.02362060546876,95.126708984375,0.014102601570975315,0.013003623225601224
809,809,809,809,2022-04-21,95.69834899902344,95.87638854980467,94.32078552246094,-0.0018569697239769756,0.014605089100264701
810,810,810,810,2022-04-22,93.94593811035156,95.8201675415039,94.93927764892578,-0.019559863849544334,-0.010462893369038162
