,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ETR,ETR_6m,ETR_12m,ETR_6m_ret,ETR_12m_ret
0,0,0,0,2019-02-05,73.9476089477539,,,,
1,1,1,1,2019-02-06,74.24607849121094,,,,
2,2,2,2,2019-02-07,74.8430404663086,,,,
3,3,3,3,2019-02-08,75.29903411865234,,,,
4,4,4,4,2019-02-11,75.11663818359375,,,,
5,5,5,5,2019-02-12,75.33219909667969,,,,
6,6,6,6,2019-02-13,74.83810424804688,73.9476089477539,,0.012042246030187886,
7,7,7,7,2019-02-14,75.11446380615234,74.24607849121094,,0.011696042842777254,
8,8,8,8,2019-02-15,75.25682830810547,74.8430404663086,,0.005528741740297827,
9,9,9,9,2019-02-19,75.41596221923828,75.29903411865234,,0.0015528499396377793,
10,10,10,10,2019-02-20,76.41256713867188,75.11663818359375,,0.017252222495776737,
11,11,11,11,2019-02-21,76.37068939208984,75.33219909667969,,0.013785476965532117,
12,12,12,12,2019-02-22,77.69390869140625,74.83810424804688,73.9476089477539,0.03815976462864379,0.050661539932943755
13,13,13,13,2019-02-25,77.42593383789062,75.11446380615234,74.24607849121094,0.030772635716384666,0.042828596624885806
14,14,14,14,2019-02-26,77.63529968261719,75.25682830810547,74.8430404663086,0.03160472515230284,0.03730820125574086
15,15,15,15,2019-02-27,77.4343032836914,75.41596221923828,75.29903411865234,0.026762783435497317,0.02835719196177755
16,16,16,16,2019-02-28,78.16291809082031,76.41256713867188,75.11663818359375,0.0229065848418879,0.04055399683597538
17,17,17,17,2019-03-01,78.09593200683594,76.37068939208984,75.33219909667969,0.022590376340439144,0.036687272418655104
18,18,18,18,2019-03-04,77.58503723144531,77.69390869140625,74.83810424804688,-0.0014012869450726884,0.03670500490356998
19,19,19,19,2019-03-05,77.19141387939453,77.42593383789062,75.11446380615234,-0.0030289587334796364,0.027650467939199563
20,20,20,20,2019-03-06,77.12442016601562,77.63529968261719,75.25682830810547,-0.00658050550059186,0.024816244584001446
21,21,21,21,2019-03-07,77.15791320800781,77.4343032836914,75.41596221923828,-0.003569349293051638,0.02309790842031001
22,22,22,22,2019-03-08,77.45940399169922,78.16291809082031,76.41256713867188,-0.009000612007648678,0.01369979955165701
23,23,23,23,2019-03-11,78.69052124023438,78.09593200683594,76.37068939208984,0.007613574972719306,0.030375944837088387
24,24,24,24,2019-03-12,79.46939849853516,77.58503723144531,77.69390869140625,0.024287689151563763,0.022852368184757
25,25,25,25,2019-03-13,79.56989288330078,77.19141387939453,77.42593383789062,0.03081274048979643,0.02769045123690783
26,26,26,26,2019-03-14,79.51127624511719,77.12442016601562,77.63529968261719,0.030948123486227663,0.024163963688801804
27,27,27,27,2019-03-15,79.27678680419922,77.15791320800781,77.4343032836914,0.027461520252358262,0.02379415120140771
28,28,28,28,2019-03-18,79.1343994140625,77.45940399169922,78.16291809082031,0.02162417132131278,0.012428928537614015
29,29,29,29,2019-03-19,78.03727722167969,78.69052124023438,78.09593200683594,-0.008301432094475536,-0.0007510606973883949
30,30,30,30,2019-03-20,78.3639144897461,79.46939849853516,77.58503723144531,-0.013910813843764469,0.010039013785316575
31,31,31,31,2019-03-21,79.5196533203125,79.56989288330078,77.19141387939453,-0.0006313890991654914,0.030161896562170165
32,32,32,32,2019-03-22,80.49950408935547,79.51127624511719,77.12442016601562,0.012428776029097754,0.04376154681065669
33,33,33,33,2019-03-25,80.24826049804688,79.27678680419922,77.15791320800781,0.01225420117299958,0.04005224041904665
34,34,34,34,2019-03-26,80.82614135742188,79.1343994140625,77.45940399169922,0.021378085331860586,0.043464540032911225
35,35,35,35,2019-03-27,80.3655014038086,78.03727722167969,78.69052124023438,0.029834769548854778,0.021285666140915094
36,36,36,36,2019-03-28,79.61177062988281,78.3639144897461,79.46939849853516,0.015923861745063883,0.0017915340248899625
37,37,37,37,2019-03-29,80.08914184570312,79.5196533203125,79.56989288330078,0.007161607245653734,0.0065256963857409644
38,38,38,38,2019-04-01,79.02552032470703,80.49950408935547,79.51127624511719,-0.018310470124291656,-0.006109270827356239
39,39,39,39,2019-04-02,78.83291625976562,80.24826049804688,79.27678680419922,-0.017637070629284213,-0.005598997667878303
40,40,40,40,2019-04-03,78.76589965820312,80.82614135742188,79.1343994140625,-0.02548979407674723,-0.004656631737750883
41,41,41,41,2019-04-04,78.39739227294922,80.3655014038086,78.03727722167969,-0.024489477406111293,0.004614654227960369
42,42,42,42,2019-04-05,79.11767578125,79.61177062988281,78.3639144897461,-0.006206303976454386,0.009618729442140594
43,43,43,43,2019-04-08,79.00877380371094,80.08914184570312,79.5196533203125,-0.013489569460908735,-0.00642456921364698
