,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AMP,AMP_6m,AMP_12m,AMP_6m_ret,AMP_12m_ret
0,0,0,0,2019-02-05,113.26360321044922,,,,
1,1,1,1,2019-02-06,114.18289947509766,,,,
2,2,2,2,2019-02-07,112.8580322265625,,,,
3,3,3,3,2019-02-08,113.17347717285156,,,,
4,4,4,4,2019-02-11,113.51593780517578,,,,
5,5,5,5,2019-02-12,116.11164093017578,,,,
6,6,6,6,2019-02-13,116.9858856201172,113.26360321044922,,0.03286388834683107,
7,7,7,7,2019-02-14,115.4067153930664,114.18289947509766,,0.010718031540578155,
8,8,8,8,2019-02-15,118.60134887695312,112.8580322265625,,0.05088974649904321,
9,9,9,9,2019-02-19,119.76305389404295,113.17347717285156,,0.05822545074873897,
10,10,10,10,2019-02-20,120.60709381103516,113.51593780517578,,0.06246837354266255,
11,11,11,11,2019-02-21,119.51800537109376,116.11164093017578,,0.02933697615182629,
12,12,12,12,2019-02-22,122.42220306396484,116.9858856201172,113.26360321044922,0.04646985758180033,0.08086092613969287
13,13,13,13,2019-02-25,119.74488830566406,115.4067153930664,114.18289947509766,0.03759029877786735,0.04871122432636632
14,14,14,14,2019-02-26,118.89175415039062,118.60134887695312,112.8580322265625,0.002448583225969747,0.053462937504664465
15,15,15,15,2019-02-27,119.6813735961914,119.76305389404295,113.17347717285156,-0.0006820158237098584,0.0575037242462757
16,16,16,16,2019-02-28,119.46354675292967,120.60709381103516,113.51593780517578,-0.009481590360656322,0.05239448365357835
17,17,17,17,2019-03-01,119.96270751953124,119.51800537109376,116.11164093017578,0.003720796268785742,0.03316692933201515
18,18,18,18,2019-03-04,118.5196762084961,122.42220306396484,116.9858856201172,-0.031877606821286375,0.013110902911480204
19,19,19,19,2019-03-05,118.10220336914062,119.74488830566406,115.4067153930664,-0.013718205092231317,0.02335642225752288
20,20,20,20,2019-03-06,116.04200744628906,118.89175415039062,118.60134887695312,-0.023969254423623076,-0.02157936191197396
21,21,21,21,2019-03-07,113.36466979980467,119.6813735961914,119.76305389404295,-0.05277933906156096,-0.05342535854086583
22,22,22,22,2019-03-08,112.8564453125,119.46354675292967,120.60709381103516,-0.05530642292158172,-0.06426362043578238
23,23,23,23,2019-03-11,112.865478515625,119.96270751953124,119.51800537109376,-0.05916196083479297,-0.055661294169135456
24,24,24,24,2019-03-12,113.0923843383789,118.5196762084961,122.42220306396484,-0.045792327854234705,-0.07621018485275233
25,25,25,25,2019-03-13,113.31928253173828,118.10220336914062,119.74488830566406,-0.04049815076229213,-0.05366079391651024
26,26,26,26,2019-03-14,113.50988006591795,116.04200744628906,118.89175415039062,-0.021820782284752593,-0.04526700882606993
27,27,27,27,2019-03-15,117.12200927734376,113.36466979980467,119.6813735961914,0.033143831179275995,-0.02138481738589515
28,28,28,28,2019-03-18,118.31092071533205,112.8564453125,119.46354675292967,0.0483310934322676,-0.009648349382941457
29,29,29,29,2019-03-19,116.9586410522461,112.865478515625,119.96270751953124,0.036265850200196015,-0.0250416694437815
30,30,30,30,2019-03-20,117.1946258544922,113.0923843383789,118.5196762084961,0.03627336659415681,-0.011180003155534357
31,31,31,31,2019-03-21,117.5758056640625,113.31928253173828,118.10220336914062,0.037562213925349086,-0.004457137039457382
32,32,32,32,2019-03-22,112.65674591064452,113.50988006591795,116.04200744628906,-0.007515946231094639,-0.029172724689474516
33,33,33,33,2019-03-25,112.35726928710938,117.12200927734376,113.36466979980467,-0.04068184980460443,-0.00888637098731293
34,34,34,34,2019-03-26,114.2359390258789,118.31092071533205,112.8564453125,-0.03444298856618622,0.01222343756760269
35,35,35,35,2019-03-27,113.98181915283205,116.9586410522461,112.865478515625,-0.025451919350570118,0.009890895355150642
36,36,36,36,2019-03-28,115.25240325927734,117.1946258544922,113.0923843383789,-0.016572625076053393,0.01909959661329208
37,37,37,37,2019-03-29,116.25982666015624,117.5758056640625,113.31928253173828,-0.011192600352374127,0.02594919472415791
38,38,38,38,2019-04-01,120.41651153564452,112.65674591064452,113.50988006591795,0.06887972453202917,0.06084608199493924
39,39,39,39,2019-04-02,123.5385284423828,112.35726928710938,117.12200927734376,0.09951522697389237,0.0547849136522649
40,40,40,40,2019-04-03,123.9378890991211,114.2359390258789,118.31092071533205,0.08492905259039651,0.0475608536369021
41,41,41,41,2019-04-04,124.59136199951172,113.98181915283205,116.9586410522461,0.09308100998505653,0.06526000027527723
42,42,42,42,2019-04-05,125.1903305053711,115.25240325927734,117.1946258544922,0.08622750558820802,0.06822586439079803
43,43,43,43,2019-04-08,125.73483276367188,116.25982666015624,117.5758056640625,0.0814985397424719,0.06939375880545806
44,44,44,44,2019-04-09,123.8561782836914,120.41651153564452,112.65674591064452,0.028564743357713862,0.09941199954355051
45,45,45,45,2019-04-10,125.73483276367188,123.5385284423828,112.35726928710938,0.017778294342508882,0.11906273231310438
46,46,46,46,2019-04-11,126.74227905273438,123.9378890991211,114.2359390258789,0.02262738194104985,0.10947815664230065
