,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ALLE,ALLE_6m,ALLE_12m,ALLE_6m_ret,ALLE_12m_ret
0,0,0,0,2019-02-05,83.76058959960938,,,,
1,1,1,1,2019-02-06,84.26823425292969,,,,
2,2,2,2,2019-02-07,85.30231475830078,,,,
3,3,3,3,2019-02-08,85.91336059570312,,,,
4,4,4,4,2019-02-11,86.02617645263672,,,,
5,5,5,5,2019-02-12,87.46448516845703,,,,
6,6,6,6,2019-02-13,88.1507339477539,83.76058959960938,,0.052413006750910096,
7,7,7,7,2019-02-14,86.18598937988281,84.26823425292969,,0.022757746664027856,
8,8,8,8,2019-02-15,86.07317352294922,85.30231475830078,,0.009036786010234499,
9,9,9,9,2019-02-19,82.74530792236328,85.91336059570312,,-0.03687497091690173,
10,10,10,10,2019-02-20,82.67949676513672,86.02617645263672,,-0.03890303888308433,
11,11,11,11,2019-02-21,82.94271087646484,87.46448516845703,,-0.05169840402402448,
12,12,12,12,2019-02-22,84.32463073730469,88.1507339477539,83.76058959960938,-0.043404099309223176,0.0067339680915754485
13,13,13,13,2019-02-25,83.38457489013672,86.18598937988281,84.26823425292969,-0.03250429112553632,-0.010486268884437266
14,14,14,14,2019-02-26,83.32815551757812,86.07317352294922,85.30231475830078,-0.031891678824171654,-0.02314309109097823
15,15,15,15,2019-02-27,85.01087951660156,82.74530792236328,85.91336059570312,0.027380061191674798,-0.010504548685372872
16,16,16,16,2019-02-28,84.56905364990234,82.67949676513672,86.02617645263672,0.022853995956617856,-0.016938132819800722
17,17,17,17,2019-03-01,85.73473358154297,82.94271087646484,87.46448516845703,0.03366206235092273,-0.019776616572801498
18,18,18,18,2019-03-04,84.78527069091797,84.32463073730469,88.1507339477539,0.005462697548576312,-0.038178505227541404
19,19,19,19,2019-03-05,84.55024719238281,83.38457489013672,86.18598937988281,0.013979471668254195,-0.01897921227416821
20,20,20,20,2019-03-06,84.0802230834961,83.32815551757812,86.07317352294922,0.009025371571549146,-0.023154141504051262
21,21,21,21,2019-03-07,82.69830322265625,85.01087951660156,82.74530792236328,-0.027203298061322823,-0.000568064835182347
22,22,22,22,2019-03-08,82.70769500732422,84.56905364990234,82.67949676513672,-0.022009926353010245,0.0003410548357303256
23,23,23,23,2019-03-11,83.27177429199219,85.73473358154297,82.94271087646484,-0.028727671815860223,0.003967357855200193
24,24,24,24,2019-03-12,83.48799133300781,84.78527069091797,84.32463073730469,-0.015300763296956954,-0.009921649190534176
25,25,25,25,2019-03-13,84.26823425292969,84.55024719238281,83.38457489013672,-0.003335447840991379,0.010597396028668715
26,26,26,26,2019-03-14,83.70248413085938,84.0802230834961,83.32815551757812,-0.004492601693760978,0.004492222478178931
27,27,27,27,2019-03-15,83.36305236816406,82.69830322265625,85.01087951660156,0.008038244070353473,-0.01938372074030481
28,28,28,28,2019-03-18,83.82505798339844,82.70769500732422,84.56905364990234,0.013509782565881867,-0.008797493106448728
29,29,29,29,2019-03-19,83.64590454101562,83.27177429199219,85.73473358154297,0.004492881918326308,-0.024363859934791066
30,30,30,30,2019-03-20,82.73128509521484,83.48799133300781,84.78527069091797,-0.009063653654987402,-0.024225736132763687
31,31,31,31,2019-03-21,83.82505798339844,84.26823425292969,84.55024719238281,-0.00525911422566494,-0.00857702056546683
32,32,32,32,2019-03-22,82.240966796875,83.70248413085938,84.0802230834961,-0.017460859724299893,-0.02187501673008907
33,33,33,33,2019-03-25,82.45782470703125,83.36305236816406,82.69830322265625,-0.010858859355760808,-0.0029079014472345177
34,34,34,34,2019-03-26,83.37246704101562,83.82505798339844,82.70769500732422,-0.005399232082517025,0.00803760803190734
35,35,35,35,2019-03-27,83.16502380371094,83.64590454101562,83.27177429199219,-0.005749005165804455,-0.0012819528488360321
36,36,36,36,2019-03-28,84.69254302978516,82.73128509521484,83.48799133300781,0.02370636370888124,0.014427843783817451
