,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CL,CL_6m,CL_12m,CL_6m_ret,CL_12m_ret
0,0,0,0,2019-02-05,57.42887496948242,,,,
1,1,1,1,2019-02-06,57.95225524902344,,,,
2,2,2,2,2019-02-07,57.703880310058594,,,,
3,3,3,3,2019-02-08,58.27159118652344,,,,
4,4,4,4,2019-02-11,58.36030197143555,,,,
5,5,5,5,2019-02-12,58.56432342529297,,,,
6,6,6,6,2019-02-13,58.49337387084961,57.42887496948242,,0.01853595254883289,
7,7,7,7,2019-02-14,58.05870056152344,57.95225524902344,,0.0018367760157496082,
8,8,8,8,2019-02-15,58.97239685058594,57.703880310058594,,0.02198321037876938,
9,9,9,9,2019-02-19,59.1852912902832,58.27159118652344,,0.015680026667455715,
10,10,10,10,2019-02-20,58.99899673461914,58.36030197143555,,0.010943993461449253,
11,11,11,11,2019-02-21,59.16753768920898,58.56432342529297,,0.010300029585170511,
12,12,12,12,2019-02-22,59.34495162963867,58.49337387084961,57.42887496948242,0.014558533769471138,0.03336434260943566
13,13,13,13,2019-02-25,59.00786590576172,58.05870056152344,57.95225524902344,0.016348373888121603,0.018215178204925353
14,14,14,14,2019-02-26,58.981258392333984,58.97239685058594,57.703880310058594,0.0001502659247596405,0.02213677963096572
15,15,15,15,2019-02-27,58.431270599365234,59.1852912902832,58.27159118652344,-0.012740001349655583,0.0027402617568941245
16,16,16,16,2019-02-28,58.431270599365234,58.99899673461914,58.36030197143555,-0.009622640496881218,0.0012160428498884102
17,17,17,17,2019-03-01,58.54658508300781,59.16753768920898,58.56432342529297,-0.010494819126373955,-0.00030288648869625234
18,18,18,18,2019-03-04,58.57321548461914,59.34495162963867,58.49337387084961,-0.013004242548478206,0.0013649685167045345
19,19,19,19,2019-03-05,58.29822540283203,59.00786590576172,58.05870056152344,-0.01202620179592695,0.0041255632487808835
20,20,20,20,2019-03-06,58.20064163208008,58.981258392333984,58.97239685058594,-0.01323499670117867,-0.013086719545437497
21,21,21,21,2019-03-07,57.961124420166016,58.431270599365234,59.1852912902832,-0.008046139924335782,-0.02068363344049584
22,22,22,22,2019-03-08,57.969993591308594,58.431270599365234,58.99899673461914,-0.007894351831220559,-0.01744102781847401
23,23,23,23,2019-03-11,58.413536071777344,58.54658508300781,59.16753768920898,-0.002272532395217075,-0.012743501705144489
24,24,24,24,2019-03-12,58.31595993041992,58.57321548461914,59.34495162963867,-0.004392034005146428,-0.01733916147814063
25,25,25,25,2019-03-13,59.00786590576172,58.29822540283203,59.00786590576172,0.012172591841795866,0.0
26,26,26,26,2019-03-14,58.76836013793945,58.20064163208008,58.981258392333984,0.009754505963151638,-0.003609591592271033
27,27,27,27,2019-03-15,59.61107635498047,57.961124420166016,58.431270599365234,0.02846652737192934,0.0201913417851991
28,28,28,28,2019-03-18,58.80384826660156,57.969993591308594,58.431270599365234,0.01438424646329417,0.0063763403296654975
29,29,29,29,2019-03-19,58.32482147216797,58.413536071777344,58.54658508300781,-0.001518733594562116,-0.003787814618485874
30,30,30,30,2019-03-20,57.75709915161133,58.31595993041992,58.57321548461914,-0.00958332469319556,-0.013933268410407096
31,31,31,31,2019-03-21,58.39578628540039,59.00786590576172,58.29822540283203,-0.010372847940965157,0.001673479456608229
32,32,32,32,2019-03-22,58.54658508300781,58.76836013793945,58.20064163208008,-0.0037737152170164157,0.005943980018547679
33,33,33,33,2019-03-25,58.77723693847656,59.61107635498047,57.961124420166016,-0.01398799463942646,0.014080343100221215
34,34,34,34,2019-03-26,59.36269378662109,58.80384826660156,57.969993591308594,0.009503553534215392,0.024024501453822733
35,35,35,35,2019-03-27,59.44253158569336,58.32482147216797,58.413536071777344,0.019163541101600234,0.017615703193376353
36,36,36,36,2019-03-28,59.76187515258789,57.75709915161133,58.31595993041992,0.0347104690232809,0.024794502635182125
