,Date,ZTS
0,2019-01-01,
1,2019-01-02,
2,2019-01-03,
3,2019-01-04,
4,2019-01-05,
5,2019-01-06,
6,2019-01-07,
7,2019-01-08,
8,2019-01-09,
9,2019-01-10,
10,2019-01-11,
11,2019-01-12,
12,2019-01-13,
13,2019-01-14,
14,2019-01-15,
15,2019-01-16,
16,2019-01-17,
17,2019-01-18,
18,2019-01-19,
19,2019-01-20,
20,2019-01-21,
21,2019-01-22,
22,2019-01-23,
23,2019-01-24,
24,2019-01-25,
25,2019-01-26,
26,2019-01-27,
27,2019-01-28,
28,2019-01-29,
29,2019-01-30,
30,2019-01-31,
31,2019-02-01,
32,2019-02-02,
33,2019-02-03,
34,2019-02-04,
35,2019-02-05,84.42878723144531
36,2019-02-06,84.63172912597656
37,2019-02-07,83.30784606933594
38,2019-02-08,83.90696716308594
39,2019-02-09,
40,2019-02-10,
41,2019-02-11,83.3658218383789
42,2019-02-12,84.5640640258789
43,2019-02-13,85.27916717529297
44,2019-02-14,90.12049865722656
45,2019-02-15,92.1594696044922
46,2019-02-16,
47,2019-02-17,
48,2019-02-18,
49,2019-02-19,91.71495819091795
50,2019-02-20,91.21245574951172
51,2019-02-21,90.32343292236328
52,2019-02-22,91.42506408691406
53,2019-02-23,
54,2019-02-24,
55,2019-02-25,91.21245574951172
56,2019-02-26,90.34276580810548
57,2019-02-27,90.64232635498048
58,2019-02-28,91.05786895751952
59,2019-03-01,92.52670288085938
60,2019-03-02,
61,2019-03-03,
62,2019-03-04,92.64265441894533
63,2019-03-05,92.55567169189452
64,2019-03-06,90.9998779296875
65,2019-03-07,89.43443298339844
66,2019-03-08,89.29912567138672
67,2019-03-09,
68,2019-03-10,
69,2019-03-11,91.54102325439452
70,2019-03-12,92.52670288085938
71,2019-03-13,93.66698455810548
72,2019-03-14,92.96153259277344
73,2019-03-15,93.64764404296876
74,2019-03-16,
75,2019-03-17,
76,2019-03-18,94.47868347167967
77,2019-03-19,95.39671325683594
78,2019-03-20,95.18411254882812
79,2019-03-21,96.28572082519533
80,2019-03-22,94.63330078125
81,2019-03-23,
82,2019-03-24,
83,2019-03-25,94.63330078125
84,2019-03-26,95.49333190917967
85,2019-03-27,95.20345306396484
86,2019-03-28,96.04415893554688
87,2019-03-29,97.2810516357422
88,2019-03-30,
89,2019-03-31,
90,2019-04-01,98.12177276611328
91,2019-04-02,98.6049575805664
92,2019-04-03,98.6822738647461
93,2019-04-04,98.54694366455078
94,2019-04-05,98.6822738647461
95,2019-04-06,
96,2019-04-07,
97,2019-04-08,98.78855895996094
98,2019-04-09,98.04446411132812
99,2019-04-10,97.91886138916016
100,2019-04-11,97.65792846679688
101,2019-04-12,98.24739074707033
102,2019-04-13,
103,2019-04-14,
104,2019-04-15,97.8511962890625
105,2019-04-16,95.83155822753906
106,2019-04-17,94.83847045898438
107,2019-04-18,95.8547821044922
108,2019-04-19,
109,2019-04-20,
110,2019-04-21,
111,2019-04-22,96.90983581542967
112,2019-04-23,98.70052337646484
113,2019-04-24,97.8584213256836
114,2019-04-25,98.56500244140624
115,2019-04-26,100.0362777709961
116,2019-04-27,
117,2019-04-28,
118,2019-04-29,98.01329803466795
119,2019-04-30,98.5746841430664
120,2019-05-01,98.52630615234376
121,2019-05-02,99.84269714355467
122,2019-05-03,100.42343139648438
123,2019-05-04,
124,2019-05-05,
125,2019-05-06,100.0168914794922
126,2019-05-07,98.11976623535156
127,2019-05-08,98.59404754638672
128,2019-05-09,98.41014099121094
129,2019-05-10,99.0102767944336
130,2019-05-11,
131,2019-05-12,
132,2019-05-13,98.10040283203124
133,2019-05-14,98.00360870361328
134,2019-05-15,98.5746841430664
