,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ROST,ROST_6m,ROST_12m,ROST_6m_ret,ROST_12m_ret
0,0,0,0,2019-02-05,88.8203125,,,,
1,1,1,1,2019-02-06,88.31517791748047,,,,
2,2,2,2,2019-02-07,88.24844360351562,,,,
3,3,3,3,2019-02-08,88.59158325195312,,,,
4,4,4,4,2019-02-11,89.71624755859375,,,,
5,5,5,5,2019-02-12,90.31671142578124,,,,
6,6,6,6,2019-02-13,90.20233917236328,88.8203125,,0.015559804209912986,
7,7,7,7,2019-02-14,88.91563415527344,88.31517791748047,,0.006799015208393877,
8,8,8,8,2019-02-15,89.60189056396484,88.24844360351562,,0.015336779949683965,
9,9,9,9,2019-02-19,89.27781677246094,88.59158325195312,,0.00774603517984529,
10,10,10,10,2019-02-20,89.56376647949219,89.71624755859375,,-0.001699592696428609,
11,11,11,11,2019-02-21,89.14437866210938,90.31671142578124,,-0.012980241919406499,
12,12,12,12,2019-02-22,89.94499969482422,90.20233917236328,88.8203125,-0.00285291357075923,0.012662499862564847
13,13,13,13,2019-02-25,89.45890808105469,88.91563415527344,88.31517791748047,0.006109993264317604,0.012950550409838835
14,14,14,14,2019-02-26,89.91639709472656,89.60189056396484,88.24844360351562,0.003510043468750279,0.018900656182728293
15,15,15,15,2019-02-27,90.3357925415039,89.27781677246094,88.59158325195312,0.011850376804569462,0.01968820542003713
16,16,16,16,2019-02-28,90.3834228515625,89.56376647949219,89.71624755859375,0.009151651435494124,0.007436504659125598
17,17,17,17,2019-03-01,90.41201782226562,89.14437866210938,90.31671142578124,0.014220068378748563,0.0010552465316755466
18,18,18,18,2019-03-04,89.21110534667969,89.94499969482422,90.20233917236328,-0.008159367954133856,-0.010989003553327992
19,19,19,19,2019-03-05,89.75437927246094,89.45890808105469,88.91563415527344,0.003302870532899238,0.009433044313925665
20,20,20,20,2019-03-06,90.00218963623047,89.91639709472656,89.60189056396484,0.0009541367790073529,0.004467529309327034
21,21,21,21,2019-03-07,88.07689666748047,90.3357925415039,89.27781677246094,-0.025005546644045973,-0.013451494989412782
22,22,22,22,2019-03-08,84.88397979736328,90.3834228515625,89.56376647949219,-0.06084570467342232,-0.05225089191844623
23,23,23,23,2019-03-11,86.48519134521484,90.41201782226562,89.14437866210938,-0.04343257203672024,-0.029830117802198686
