,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ESS,ESS_6m,ESS_12m,ESS_6m_ret,ESS_12m_ret
0,0,0,0,2019-02-05,234.64892578125,,,,
1,1,1,1,2019-02-06,233.4541931152344,,,,
2,2,2,2,2019-02-07,235.1064453125,,,,
3,3,3,3,2019-02-08,235.6234130859375,,,,
4,4,4,4,2019-02-11,236.123291015625,,,,
5,5,5,5,2019-02-12,234.3607788085937,,,,
6,6,6,6,2019-02-13,235.5895233154297,234.64892578125,,0.004008531175022423,
7,7,7,7,2019-02-14,235.4369659423828,233.4541931152344,,0.008493198604360375,
8,8,8,8,2019-02-15,236.2588806152344,235.1064453125,,0.00490175971655149,
9,9,9,9,2019-02-19,237.4621124267578,235.6234130859375,,0.007803551084924143,
10,10,10,10,2019-02-20,234.538818359375,236.123291015625,,-0.006710361563379785,
11,11,11,11,2019-02-21,237.26724243164065,234.3607788085937,,0.012401663955130982,
12,12,12,12,2019-02-22,238.50436401367188,235.5895233154297,234.64892578125,0.012372539564671214,0.01643066645025293
13,13,13,13,2019-02-25,236.7418670654297,235.4369659423828,233.4541931152344,0.005542464913373957,0.014082736773001425
14,14,14,14,2019-02-26,237.2926788330078,236.2588806152344,235.1064453125,0.004375700989868836,0.009298909341264094
15,15,15,15,2019-02-27,237.1231842041016,237.4621124267578,235.6234130859375,-0.0014272938920341094,0.006365119232090377
16,16,16,16,2019-02-28,237.1231842041016,234.538818359375,236.123291015625,0.011018925834130666,0.0042346232943637485
17,17,17,17,2019-03-01,236.4877014160156,237.26724243164065,234.3607788085937,-0.0032854978531208223,0.009075420461710504
18,18,18,18,2019-03-04,238.97886657714844,238.50436401367188,235.5895233154297,0.0019894921648031527,0.014386646799997127
19,19,19,19,2019-03-05,238.3942413330078,236.7418670654297,235.4369659423828,0.006979645332954254,0.012560794685694043
20,20,20,20,2019-03-06,238.419662475586,237.2926788330078,236.2588806152344,0.004749340131860125,0.009145822814045301
21,21,21,21,2019-03-07,239.1992034912109,237.1231842041016,237.4621124267578,0.008755024499512487,0.007315234614485577
22,22,22,22,2019-03-08,240.22450256347656,237.1231842041016,234.538818359375,0.013078933507849388,0.02424197514029247
23,23,23,23,2019-03-11,242.11412048339844,236.4877014160156,237.26724243164065,0.02379159268618869,0.020427927606375018
24,24,24,24,2019-03-12,243.1817779541016,238.97886657714844,238.50436401367188,0.017586958366447636,0.01961143964712364
25,25,25,25,2019-03-13,245.0628662109375,238.3942413330078,236.7418670654297,0.02797309549358795,0.03514798311195255
26,26,26,26,2019-03-14,246.52029418945312,238.419662475586,237.2926788330078,0.033976357611430696,0.03888706302202927
27,27,27,27,2019-03-15,245.2238922119141,239.1992034912109,237.1231842041016,0.025186909624991927,0.034162446135338254
28,28,28,28,2019-03-18,242.55471801757807,240.22450256347656,237.1231842041016,0.009700157266371079,0.02290595848612309
29,29,29,29,2019-03-19,242.11412048339844,242.11412048339844,236.4877014160156,0.0,0.02379159268618869
30,30,30,30,2019-03-20,241.71585083007807,243.1817779541016,238.97886657714844,-0.006028112535225394,0.011452829667036868
31,31,31,31,2019-03-21,245.30859375,245.0628662109375,238.3942413330078,0.001002712254458693,0.029003856713693432
32,32,32,32,2019-03-22,246.3339233398437,246.52029418945312,238.419662475586,-0.0007560061139072483,0.03319466516344094
33,33,33,33,2019-03-25,244.7747497558593,245.2238922119141,239.1992034912109,-0.0018315607504780784,0.023309217519418945
34,34,34,34,2019-03-26,248.1557159423828,242.55471801757807,240.22450256347656,0.023091688220217677,0.03301583849387102
35,35,35,35,2019-03-27,247.0287322998047,242.11412048339844,242.11412048339844,0.020298740968076823,0.020298740968076823
36,36,36,36,2019-03-28,247.5320587158203,241.71585083007807,243.1817779541016,0.02406216996431465,0.017889007960702585
37,37,37,37,2019-03-29,246.7386779785156,245.30859375,245.0628662109375,0.005829735545151982,0.006838293346882018
38,38,38,38,2019-04-01,245.91128540039065,246.3339233398437,246.52029418945312,-0.0017157114770179893,-0.0024704205025588566
39,39,39,39,2019-04-02,248.87139892578125,244.7747497558593,245.2238922119141,0.016736404281928685,0.014874189790263559
40,40,40,40,2019-04-03,247.4552764892578,248.1557159423828,242.55471801757807,-0.0028225803724288845,0.020203929701852363
41,41,41,41,2019-04-04,245.4932861328125,247.0287322998047,242.11412048339844,-0.006215658205818375,0.013956912726392545
42,42,42,42,2019-04-05,246.83253479003903,247.5320587158203,241.71585083007807,-0.002825993244714886,0.02116817718982733
43,43,43,43,2019-04-08,245.25439453125,246.7386779785156,245.30859375,-0.006015609143349754,-0.00022094300864661243
44,44,44,44,2019-04-09,245.22027587890625,245.91128540039065,246.3339233398437,-0.002809995158861045,-0.004520885494934679
45,45,45,45,2019-04-10,246.278060913086,248.87139892578125,244.7747497558593,-0.010420393921877102,0.006141610434597933
46,46,46,46,2019-04-11,247.23345947265625,247.4552764892578,248.1557159423828,-0.0008963923491491776,-0.003716442582127333
47,47,47,47,2019-04-12,247.5235137939453,245.4932861328125,247.0287322998047,0.008269992605966614,0.0020029309527449524
48,48,48,48,2019-04-15,246.278060913086,246.83253479003903,247.5320587158203,-0.002246356532475291,-0.005066001588804214
49,49,49,49,2019-04-16,237.576904296875,245.25439453125,246.7386779785156,-0.03130419028392473,-0.03713148565397739
50,50,50,50,2019-04-17,234.27549743652344,245.22027587890625,245.91128540039065,-0.044632436706773526,-0.04731701493456031
51,51,51,51,2019-04-18,237.397689819336,246.278060913086,248.87139892578125,-0.036058311734409765,-0.04610296384385637
52,52,52,52,2019-04-22,234.7361755371093,247.23345947265625,247.4552764892578,-0.050548513790177885,-0.051399594838304696
53,53,53,53,2019-04-23,236.2119140625,247.5235137939453,245.4932861328125,-0.0456990916057447,-0.037807030149456966
54,54,54,54,2019-04-24,237.7133331298828,246.278060913086,246.83253479003903,-0.03477665753680659,-0.036944893297446435
55,55,55,55,2019-04-25,237.44032287597656,237.576904296875,245.25439453125,-0.0005748935120720722,-0.03186108722010195
56,56,56,56,2019-04-26,240.0763092041016,234.27549743652344,245.22027587890625,0.024760642197120486,-0.0209769223053351
57,57,57,57,2019-04-29,236.85171508789065,237.397689819336,246.278060913086,-0.002299831695332988,-0.038275215381535777
58,58,58,58,2019-04-30,240.9890594482422,234.7361755371093,247.23345947265625,0.02663792190030123,-0.02525709925239583
59,59,59,59,2019-05-01,241.9956512451172,236.2119140625,247.5235137939453,0.02448537452300914,-0.022332676456063405
