,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DVN,DVN_6m,DVN_12m,DVN_6m_ret,DVN_12m_ret
0,0,0,0,2019-02-05,20.48025321960449,,,,
1,1,1,1,2019-02-06,20.419252395629883,,,,
2,2,2,2,2019-02-07,19.290775299072266,,,,
3,3,3,3,2019-02-08,19.001033782958984,,,,
4,4,4,4,2019-02-11,19.39752960205078,,,,
5,5,5,5,2019-02-12,19.794017791748047,,,,
6,6,6,6,2019-02-13,20.518369674682617,20.48025321960449,,0.0018611320216315175,
7,7,7,7,2019-02-14,20.8386173248291,20.419252395629883,,0.020537722002445635,
8,8,8,8,2019-02-15,21.669721603393555,19.290775299072266,,0.12332040923392529,
9,9,9,9,2019-02-19,21.585845947265625,19.001033782958984,,0.13603534385717597,
10,10,10,10,2019-02-20,23.080310821533203,19.39752960205078,,0.18985826004838602,
11,11,11,11,2019-02-21,22.76007080078125,19.794017791748047,,0.14984593023199788,
12,12,12,12,2019-02-22,22.607574462890625,20.518369674682617,20.48025321960449,0.101821188590137,0.10387182328633426
13,13,13,13,2019-02-25,22.485578536987305,20.8386173248291,20.419252395629883,0.07903409264087102,0.10119499486669037
14,14,14,14,2019-02-26,22.561824798583984,21.669721603393555,19.290775299072266,0.04116818902974395,0.16956547618223672
15,15,15,15,2019-02-27,22.782943725585938,21.585845947265625,19.001033782958984,0.055457533665570935,0.19903706218441375
16,16,16,16,2019-02-28,22.50082397460937,23.080310821533203,19.39752960205078,-0.025107410875211844,0.1599839998300865
17,17,17,17,2019-03-01,22.988813400268555,22.76007080078125,19.794017791748047,0.010050170822818894,0.1614020782507526
18,18,18,18,2019-03-04,22.447452545166016,22.607574462890625,20.518369674682617,-0.007082666828652662,0.09401735620660312
19,19,19,19,2019-03-05,22.317834854125977,22.485578536987305,20.8386173248291,-0.007460056346133226,0.07098443751037142
20,20,20,20,2019-03-06,21.89846611022949,22.561824798583984,21.669721603393555,-0.029401818969719606,0.010555950418860593
21,21,21,21,2019-03-07,21.395233154296875,22.782943725585938,21.585845947265625,-0.060910064476462744,-0.008830452762167318
22,22,22,22,2019-03-08,20.36587715148925,22.50082397460937,23.080310821533203,-0.09488305075090853,-0.11760819388582378
23,23,23,23,2019-03-11,21.196983337402344,22.988813400268555,22.76007080078125,-0.07794356462283869,-0.06867673993901868
24,24,24,24,2019-03-12,21.928964614868164,22.447452545166016,22.607574462890625,-0.023097851716341267,-0.03001692415682944
25,25,25,25,2019-03-13,22.36357879638672,22.317834854125977,22.485578536987305,0.002049658605314253,-0.00542568830950485
26,26,26,26,2019-03-14,22.55472183227539,21.89846611022949,22.561824798583984,0.029968113690818976,-0.0003148223325021293
