,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TYL,TYL_6m,TYL_12m,TYL_6m_ret,TYL_12m_ret
0,0,0,0,2019-02-05,205.67999267578125,,,,
1,1,1,1,2019-02-06,204.2700042724609,,,,
2,2,2,2,2019-02-07,203.9100036621093,,,,
3,3,3,3,2019-02-08,208.1999969482422,,,,
4,4,4,4,2019-02-11,207.52999877929688,,,,
5,5,5,5,2019-02-12,209.63999938964844,,,,
6,6,6,6,2019-02-13,213.2899932861328,205.67999267578125,,0.03699922637758646,
7,7,7,7,2019-02-14,215.75,204.2700042724609,,0.05620010519129748,
8,8,8,8,2019-02-15,216.0399932861328,203.9100036621093,,0.059486976637613154,
9,9,9,9,2019-02-19,215.83999633789065,208.1999969482422,,0.03669548271678291,
10,10,10,10,2019-02-20,213.19000244140625,207.52999877929688,,0.027273183132086043,
11,11,11,11,2019-02-21,208.6999969482422,209.63999938964844,,-0.004483888781449119,
12,12,12,12,2019-02-22,207.5500030517578,213.2899932861328,205.67999267578125,-0.026911671503850987,0.009091843847565118
13,13,13,13,2019-02-25,205.5,215.75,204.2700042724609,-0.04750869061413676,0.006021421167145435
14,14,14,14,2019-02-26,204.3800048828125,216.0399932861328,203.9100036621093,-0.05397143476058763,0.0023049443983240714
15,15,15,15,2019-02-27,206.0399932861328,215.83999633789065,208.1999969482422,-0.0454040178745011,-0.010374657510904495
16,16,16,16,2019-02-28,204.7899932861328,213.19000244140625,207.52999877929688,-0.039401515357560535,-0.01320293696950281
17,17,17,17,2019-03-01,206.27999877929688,208.6999969482422,209.63999938964844,-0.011595583154442868,-0.016027478630671443
18,18,18,18,2019-03-04,201.52999877929688,207.5500030517578,213.2899932861328,-0.02900507918065265,-0.05513617552165084
19,19,19,19,2019-03-05,200.58999633789065,205.5,215.75,-0.02389296185941292,-0.0702665291407154
20,20,20,20,2019-03-06,199.4100036621093,204.3800048828125,216.0399932861328,-0.024317453282932,-0.07697644020011629
21,21,21,21,2019-03-07,199.9100036621093,206.0399932861328,215.83999633789065,-0.02975145517264044,-0.07380463744469057
22,22,22,22,2019-03-08,199.19000244140625,204.7899932861328,213.19000244140625,-0.027345041400056336,-0.06566912068893949
23,23,23,23,2019-03-11,202.02999877929688,206.27999877929688,208.6999969482422,-0.020603063918703812,-0.0319597425322411
24,24,24,24,2019-03-12,201.3699951171875,201.52999877929688,207.5500030517578,-0.0007939446389051419,-0.029775995392441246
25,25,25,25,2019-03-13,201.63999938964844,200.58999633789065,205.5,0.005234573363215311,-0.01878345795791514
26,26,26,26,2019-03-14,201.6199951171875,199.4100036621093,204.3800048828125,0.011082650892594748,-0.013504304235668951
27,27,27,27,2019-03-15,202.38999938964844,199.9100036621093,206.0399932861328,0.012405560912953861,-0.017714977749079708
28,28,28,28,2019-03-18,203.6999969482422,199.19000244140625,204.7899932861328,0.02264167102544512,-0.005322507806168497
29,29,29,29,2019-03-19,204.57000732421875,202.02999877929688,206.27999877929688,0.012572432610350459,-0.008289661941038085
30,30,30,30,2019-03-20,203.509994506836,201.3699951171875,201.52999877929688,0.010627200881656362,0.009824818833584548
31,31,31,31,2019-03-21,207.72999572753903,201.63999938964844,200.58999633789065,0.03020232273519463,0.03559499237250674
32,32,32,32,2019-03-22,199.07000732421875,201.6199951171875,199.4100036621093,-0.012647494567622708,-0.00170501144198687
33,33,33,33,2019-03-25,198.08999633789065,202.38999938964844,199.9100036621093,-0.021246124140152145,-0.009104133314382978
34,34,34,34,2019-03-26,199.25,203.6999969482422,199.19000244140625,-0.021845837088416253,0.0003012076803974306
35,35,35,35,2019-03-27,199.8500061035156,204.57000732421875,202.02999877929688,-0.023072791962228,-0.010790440473955387
36,36,36,36,2019-03-28,204.47000122070312,203.509994506836,201.3699951171875,0.004717246031053612,0.015394578033890216
37,37,37,37,2019-03-29,204.3999938964844,207.72999572753903,201.63999938964844,-0.016030433252510634,0.013687733164006621
38,38,38,38,2019-04-01,206.8699951171875,199.07000732421875,201.6199951171875,0.039182134455167716,0.026039084054875428
39,39,39,39,2019-04-02,207.2400054931641,198.08999633789065,202.38999938964844,0.04619117231778769,0.02396366479639278
40,40,40,40,2019-04-03,208.6999969482422,199.25,203.6999969482422,0.04742783913797832,0.02454590120229816
41,41,41,41,2019-04-04,207.72999572753903,199.8500061035156,204.57000732421875,0.0394295190561158,0.015446978003535339
42,42,42,42,2019-04-05,209.44000244140625,204.47000122070312,203.509994506836,0.024306750090633322,0.029138657042079963
43,43,43,43,2019-04-08,210.1100006103516,204.3999938964844,207.72999572753903,0.027935454424518946,0.011457203734477561
44,44,44,44,2019-04-09,211.4900054931641,206.8699951171875,199.07000732421875,0.02233291673526394,0.06239010253672861
45,45,45,45,2019-04-10,213.07000732421875,207.2400054931641,198.08999633789065,0.02813164290929815,0.07562224879229151
46,46,46,46,2019-04-11,213.6300048828125,208.6999969482422,199.25,0.023622462897270546,0.0721706644055835
47,47,47,47,2019-04-12,217.0,207.72999572753903,199.8500061035156,0.04462525616483237,0.08581432760928354
48,48,48,48,2019-04-15,217.759994506836,209.44000244140625,204.47000122070312,0.03972494255369097,0.06499727689534152
49,49,49,49,2019-04-16,219.42999267578125,210.1100006103516,204.3999938964844,0.044357679493388646,0.0735322858517724
50,50,50,50,2019-04-17,218.97000122070312,211.4900054931641,206.8699951171875,0.03536808139040315,0.05849087054244495
51,51,51,51,2019-04-18,218.47999572753903,213.07000732421875,207.2400054931641,0.025390661366468947,0.054236585294559436
52,52,52,52,2019-04-22,219.69000244140625,213.6300048828125,208.6999969482422,0.02836679033882894,0.052659346688393116
53,53,53,53,2019-04-23,223.5500030517578,217.0,207.72999572753903,0.03018434586063501,0.07615658619166621
54,54,54,54,2019-04-24,222.88999938964844,217.759994506836,209.44000244140625,0.023558068571917667,0.06421885404630379
55,55,55,55,2019-04-25,224.0599975585937,219.42999267578125,210.1100006103516,0.021100146002618336,0.06639377900965471
56,56,56,56,2019-04-26,225.9100036621093,218.97000122070312,211.4900054931641,0.0316938503115376,0.06818288237933445
57,57,57,57,2019-04-29,228.4900054931641,218.47999572753903,213.07000732421875,0.04581659630801305,0.07237057135630276
58,58,58,58,2019-04-30,231.9100036621093,219.69000244140625,213.6300048828125,0.05562383852202046,0.08556849862604432
59,59,59,59,2019-05-01,225.9100036621093,223.5500030517578,217.0,0.010556924974879367,0.04105992471018105
60,60,60,60,2019-05-02,216.02999877929688,222.88999938964844,217.759994506836,-0.030777516394350002,-0.00794450666412383
61,61,61,61,2019-05-03,218.2899932861328,224.0599975585937,219.42999267578125,-0.02575205005503922,-0.005195276068449051
62,62,62,62,2019-05-06,222.22000122070312,225.9100036621093,218.97000122070312,-0.01633394883621553,0.014842215745910714
63,63,63,63,2019-05-07,217.27999877929688,228.4900054931641,218.47999572753903,-0.049061256266644815,-0.005492479731364686
64,64,64,64,2019-05-08,217.3099975585937,231.9100036621093,219.69000244140625,-0.06295548218259561,-0.010833469235575821
65,65,65,65,2019-05-09,215.6999969482422,225.9100036621093,223.5500030517578,-0.045195018141552024,-0.03511521358243119
66,66,66,66,2019-05-10,218.22999572753903,216.02999877929688,222.88999938964844,0.010183756703575852,-0.020907190429674483
67,67,67,67,2019-05-13,210.58999633789065,218.2899932861328,224.0599975585937,-0.03527416365874847,-0.06011783168559803
68,68,68,68,2019-05-14,211.17999267578125,222.22000122070312,225.9100036621093,-0.049680534984594904,-0.06520300450421634
69,69,69,69,2019-05-15,213.1699981689453,217.27999877929688,228.4900054931641,-0.018915687745959087,-0.06704891660863965
70,70,70,70,2019-05-16,217.0,217.3099975585937,231.9100036621093,-0.001426522304893485,-0.06429219708794032
71,71,71,71,2019-05-17,213.7100067138672,215.6999969482422,225.9100036621093,-0.009225731397912385,-0.05400379244156661
72,72,72,72,2019-05-20,212.8800048828125,218.22999572753903,216.02999877929688,-0.024515378039075886,-0.01458127998094616
73,73,73,73,2019-05-21,217.1300048828125,210.58999633789065,218.2899932861328,0.03105564679543682,-0.005313978830902344
74,74,74,74,2019-05-22,220.1000061035156,211.17999267578125,222.22000122070312,0.04223891342504693,-0.00954007337567242
75,75,75,75,2019-05-23,213.3800048828125,213.1699981689453,217.27999877929688,0.0009851607434023801,-0.017949161995558627
76,76,76,76,2019-05-24,215.4499969482422,217.0,217.3099975585937,-0.007142871206257229,-0.008559204046054036
77,77,77,77,2019-05-28,217.2100067138672,213.7100067138672,215.6999969482422,0.01637733325555546,0.007000508980013143
78,78,78,78,2019-05-29,212.9900054931641,212.8800048828125,218.22999572753903,0.00051672589171603,-0.02401131987793781
79,79,79,79,2019-05-30,213.22999572753903,217.1300048828125,210.58999633789065,-0.017961631591996485,0.012536205116849386
80,80,80,80,2019-05-31,213.3500061035156,220.1000061035156,211.17999267578125,-0.03066787738672483,0.010275658220454176
81,81,81,81,2019-06-03,208.02999877929688,213.3800048828125,213.1699981689453,-0.02507266839015132,-0.024112208255379297
82,82,82,82,2019-06-04,211.5,215.4499969482422,217.0,-0.018333706215791223,-0.025345622119815614
