,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,STE,STE_6m,STE_12m,STE_6m_ret,STE_12m_ret
0,0,0,0,2019-02-05,112.78994750976562,,,,
1,1,1,1,2019-02-06,113.2483367919922,,,,
2,2,2,2,2019-02-07,113.78313446044922,,,,
3,3,3,3,2019-02-08,113.2483367919922,,,,
4,4,4,4,2019-02-11,114.4611358642578,,,,
5,5,5,5,2019-02-12,115.35877990722656,,,,
6,6,6,6,2019-02-13,114.77626037597656,112.78994750976562,,0.017610726044880565,
7,7,7,7,2019-02-14,115.58797454833984,113.2483367919922,,0.020659356442867205,
8,8,8,8,2019-02-15,116.7721176147461,113.78313446044922,,0.026269122998504146,
9,9,9,9,2019-02-19,116.99177551269533,113.2483367919922,,0.0330551319934953,
10,10,10,10,2019-02-20,117.31646728515624,114.4611358642578,,0.024945859564810213,
11,11,11,11,2019-02-21,116.8676300048828,115.35877990722656,,0.013079629473107035,
12,12,12,12,2019-02-22,116.87716674804688,114.77626037597656,112.78994750976562,0.018304363334266993,0.03623744250725336
13,13,13,13,2019-02-25,116.466552734375,115.58797454833984,113.2483367919922,0.007600948017890241,0.02841733515516287
14,14,14,14,2019-02-26,115.4514617919922,116.7721176147461,113.78313446044922,-0.011309684621041094,0.014662342881078594
15,15,15,15,2019-02-27,115.50892639160156,116.99177551269533,113.2483367919922,-0.012674815085038649,0.019961349222827662
16,16,16,16,2019-02-28,115.8345184326172,117.31646728515624,114.4611358642578,-0.012632061694603514,0.011998680233159087
17,17,17,17,2019-03-01,117.40502166748048,116.8676300048828,115.35877990722656,0.004598293493033312,0.017738066941237918
18,18,18,18,2019-03-04,116.85916137695312,116.87716674804688,114.77626037597656,-0.00015405379506305827,0.018147489682566187
19,19,19,19,2019-03-05,116.14093780517578,116.466552734375,115.58797454833984,-0.0027957806044268674,0.004783916830419788
20,20,20,20,2019-03-06,114.97264862060548,115.4514617919922,116.7721176147461,-0.004147311467128878,-0.0154100913034515
21,21,21,21,2019-03-07,114.7236785888672,115.50892639160156,116.99177551269533,-0.006798156880726158,-0.01938680658438252
22,22,22,22,2019-03-08,114.12034606933594,115.8345184326172,117.31646728515624,-0.014798458926372882,-0.027243585574833418
23,23,23,23,2019-03-11,115.85368347167967,117.40502166748048,116.8676300048828,-0.01321355912862554,-0.00867602545855306
24,24,24,24,2019-03-12,117.05071258544922,116.85916137695312,116.87716674804688,0.0016391629568366373,0.0014848566424994214
25,25,25,25,2019-03-13,117.60613250732422,116.14093780517578,116.466552734375,0.012615661022182145,0.009784609797357513
26,26,26,26,2019-03-14,118.31478881835938,114.97264862060548,115.4514617919922,0.029069002391886478,0.024801132717799712
27,27,27,27,2019-03-15,118.15196228027344,114.7236785888672,115.50892639160156,0.029882965169658604,0.02288165920364782
28,28,28,28,2019-03-18,118.00833892822266,114.12034606933594,115.8345184326172,0.034069234740354615,0.01876660364302385
