,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NVDA,NVDA_6m,NVDA_12m,NVDA_6m_ret,NVDA_12m_ret
0,0,0,0,2019-02-05,37.19631576538086,,,,
1,1,1,1,2019-02-06,37.95289611816406,,,,
2,2,2,2,2019-02-07,36.568729400634766,,,,
3,3,3,3,2019-02-08,36.75476837158203,,,,
4,4,4,4,2019-02-11,36.32811737060547,,,,
5,5,5,5,2019-02-12,37.49895477294922,,,,
6,6,6,6,2019-02-13,37.923126220703125,37.19631576538086,,0.019539850664423097,
7,7,7,7,2019-02-14,38.33242034912109,37.95289611816406,,0.009999875365911404,
8,8,8,8,2019-02-15,39.02946853637695,36.568729400634766,,0.06729080217097927,
9,9,9,9,2019-02-19,38.85582733154297,36.75476837158203,,0.05716425522587243,
10,10,10,10,2019-02-20,39.32962417602539,36.32811737060547,,0.08262214016762015,
11,11,11,11,2019-02-21,38.64000701904297,37.49895477294922,,0.030428908032308133,
12,12,12,12,2019-02-22,39.488372802734375,37.923126220703125,37.19631576538086,0.041274196987925116,0.061620539297786214
13,13,13,13,2019-02-25,39.36434173583984,38.33242034912109,37.95289611816406,0.026920329510119467,0.03718940481594135
14,14,14,14,2019-02-26,38.96993255615234,39.02946853637695,36.568729400634766,-0.001525410989625109,0.0656627450522218
15,15,15,15,2019-02-27,38.55071258544922,38.85582733154297,36.75476837158203,-0.007852483579626646,0.04886289027074309
16,16,16,16,2019-02-28,38.30488586425781,39.32962417602539,36.32811737060547,-0.02605512595750248,0.05441428394117187
17,17,17,17,2019-03-01,38.84869003295898,38.64000701904297,37.49895477294922,0.005400698136860171,0.03599394351608498
18,18,18,18,2019-03-04,38.93063735961914,39.488372802734375,37.923126220703125,-0.014124042180755914,0.026567196307935026
19,19,19,19,2019-03-05,38.86607360839844,39.36434173583984,38.33242034912109,-0.01265785493848981,0.013921720945794247
20,20,20,20,2019-03-06,37.756107330322266,38.96993255615234,39.02946853637695,-0.031147737401932996,-0.032625635290623234
21,21,21,21,2019-03-07,37.06330871582031,38.55071258544922,38.85582733154297,-0.03858304477075525,-0.04613255562486762
22,22,22,22,2019-03-08,37.405982971191406,38.30488586425781,39.32962417602539,-0.023467055775910017,-0.04891074463931955
23,23,23,23,2019-03-11,40.013275146484375,38.84869003295898,38.64000701904297,0.02997746159619208,0.035540058954042664
24,24,24,24,2019-03-12,40.35595703125,38.93063735961914,39.488372802734375,0.03661177335640731,0.021970624944453343
25,25,25,25,2019-03-13,41.87065887451172,38.86607360839844,39.36434173583984,0.07730611783393604,0.06366973327004644
26,26,26,26,2019-03-14,41.11082458496094,37.756107330322266,38.96993255615234,0.08885230739728489,0.05493702165698533
27,27,27,27,2019-03-15,42.16616439819336,37.06330871582031,38.55071258544922,0.13767944253166253,0.09378430566569551
28,28,28,28,2019-03-18,41.95261764526367,37.405982971191406,38.30488586425781,0.12154832764517653,0.09522889048494854
29,29,29,29,2019-03-19,43.63122177124024,40.013275146484375,38.84869003295898,0.09041865759578416,0.12310664102763291
30,30,30,30,2019-03-20,43.30591583251953,40.35595703125,38.93063735961914,0.07309847215332299,0.11238651020490753
31,31,31,31,2019-03-21,45.67483901977539,41.87065887451172,38.86607360839844,0.09085551189115448,0.17518531663321069
32,32,32,32,2019-03-22,44.07569122314453,41.11082458496094,37.756107330322266,0.07211888032205005,0.16737911664285776
33,33,33,33,2019-03-25,43.151973724365234,42.16616439819336,37.06330871582031,0.023379155781456662,0.16427742744797103
34,34,34,34,2019-03-26,43.91925430297852,41.95261764526367,37.405982971191406,0.04687756731520376,0.1741237848716175
35,35,35,35,2019-03-27,43.82737731933594,43.63122177124024,40.013275146484375,0.004495761065874904,0.09532091934210674
36,36,36,36,2019-03-28,44.01362228393555,43.30591583251953,40.35595703125,0.01634202712980337,0.09063507649820335
37,37,37,37,2019-03-29,44.58721923828125,45.67483901977539,41.87065887451172,-0.02381223020891754,0.06487980931733572
38,38,38,38,2019-04-01,45.26262664794922,44.07569122314453,41.11082458496094,0.02692947953545466,0.10099048376925723
39,39,39,39,2019-04-02,45.44142532348633,43.151973724365234,42.16616439819336,0.05305554767309251,0.07767509736866884
40,40,40,40,2019-04-03,46.83694076538086,43.91925430297852,41.95261764526367,0.06643296906351304,0.11642475235794048
41,41,41,41,2019-04-04,46.74755859375,43.82737731933594,43.63122177124024,0.06662915859958907,0.07142446844254802
42,42,42,42,2019-04-05,47.41551208496094,44.01362228393555,43.30591583251953,0.07729174797474103,0.09489687894685761
43,43,43,43,2019-04-08,47.62410354614258,44.58721923828125,45.67483901977539,0.06811109460833897,0.04267698733482628
44,44,44,44,2019-04-09,46.9958610534668,45.26262664794922,44.07569122314453,0.03829283746607559,0.06625352318442723
45,45,45,45,2019-04-10,47.70108413696289,45.44142532348633,43.151973724365234,0.04972684719703668,0.10542067998222415
46,46,46,46,2019-04-11,47.5620231628418,46.83694076538086,43.91925430297852,0.015480993967839973,0.08294241142469105
47,47,47,47,2019-04-12,47.18210220336914,46.74755859375,43.82737731933594,0.00929553591013077,0.07654404824614391
48,48,48,48,2019-04-15,45.863555908203125,47.41551208496094,44.01362228393555,-0.03273097997923036,0.04203093333998975
49,49,49,49,2019-04-16,46.735137939453125,47.62410354614258,44.58721923828125,-0.018666295856427872,0.0481734169088468
50,50,50,50,2019-04-17,46.506683349609375,46.9958610534668,45.26262664794922,-0.010408952892700274,0.027485296232063083
51,51,51,51,2019-04-18,46.260860443115234,47.70108413696289,45.44142532348633,-0.030192682617283473,0.018032777664775068
52,52,52,52,2019-04-22,46.79969787597656,47.5620231628418,46.83694076538086,-0.016028024801535534,-0.0007951605889645608
53,53,53,53,2019-04-23,47.345985412597656,47.18210220336914,46.74755859375,0.0034734189782839042,0.012801242179258265
54,54,54,54,2019-04-24,47.47014236450195,45.863555908203125,47.41551208496094,0.035029696770883634,0.0011521604879669578
55,55,55,55,2019-04-25,46.412330627441406,46.735137939453125,47.62410354614258,-0.006907165063467335,-0.025444529733291366
56,56,56,56,2019-04-26,44.22218704223633,46.506683349609375,46.9958610534668,-0.049121892657869703,-0.05901953808389393
57,57,57,57,2019-04-29,44.53011322021485,46.260860443115234,47.70108413696289,-0.03741277629344142,-0.06647586683026563
58,58,58,58,2019-04-30,44.944801330566406,46.79969787597656,47.5620231628418,-0.03963479743663734,-0.0550275547218545
59,59,59,59,2019-05-01,44.81318664550781,47.345985412597656,47.18210220336914,-0.05349553388777761,-0.050207927312152956
60,60,60,60,2019-05-02,45.48860168457031,47.47014236450195,45.863555908203125,-0.041742884710904704,-0.008175428533785944
61,61,61,61,2019-05-03,45.44390106201172,46.412330627441406,46.735137939453125,-0.02086578183723231,-0.027628823501371635
62,62,62,62,2019-05-06,44.65923309326172,44.22218704223633,46.506683349609375,0.009882958764747984,-0.0397244035327059
63,63,63,63,2019-05-07,42.98560333251953,44.53011322021485,46.260860443115234,-0.03468461622940977,-0.07079974473503647
64,64,64,64,2019-05-08,43.18672561645508,44.944801330566406,46.79969787597656,-0.03911633074492382,-0.07720076033602152
65,65,65,65,2019-05-09,42.260528564453125,44.81318664550781,47.345985412597656,-0.05696220849562306,-0.10741051862850048
66,66,66,66,2019-05-10,41.92033004760742,45.48860168457031,47.47014236450195,-0.07844320345800482,-0.11691164257060804
67,67,67,67,2019-05-13,39.3453254699707,45.44390106201172,46.412330627441406,-0.13420008955038953,-0.15226568159652643
68,68,68,68,2019-05-14,40.23676300048828,44.65923309326172,44.22218704223633,-0.09902700486454863,-0.09012272590547354
69,69,69,69,2019-05-15,39.625919342041016,42.98560333251953,44.53011322021485,-0.0781583537280921,-0.11013207745332054
70,70,70,70,2019-05-16,39.77737808227539,43.18672561645508,44.944801330566406,-0.07894433962089153,-0.114972657466765
71,71,71,71,2019-05-17,38.86854934692383,42.260528564453125,44.81318664550781,-0.08026353036157752,-0.13265375090614961
