,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MO,MO_6m,MO_12m,MO_6m_ret,MO_12m_ret
0,0,0,0,2019-02-05,33.130821228027344,,,,
1,1,1,1,2019-02-06,33.28619384765625,,,,
2,2,2,2,2019-02-07,32.91462707519531,,,,
3,3,3,3,2019-02-08,32.99569320678711,,,,
4,4,4,4,2019-02-11,33.029476165771484,,,,
5,5,5,5,2019-02-12,33.549678802490234,,,,
6,6,6,6,2019-02-13,33.10379409790039,33.130821228027344,,-0.000815770002830174,
7,7,7,7,2019-02-14,33.1983757019043,33.28619384765625,,-0.0026382753808944504,
8,8,8,8,2019-02-15,32.928131103515625,32.91462707519531,,0.00041027438316287856,
9,9,9,9,2019-02-19,33.09703826904297,32.99569320678711,,0.00307146334585906,
10,10,10,10,2019-02-20,34.12392807006836,33.029476165771484,,0.033135611924449915,
11,11,11,11,2019-02-21,34.02935028076172,33.549678802490234,,0.014297349345588461,
12,12,12,12,2019-02-22,34.792755126953125,33.10379409790039,33.130821228027344,0.051020164759901565,0.05016277403712088
13,13,13,13,2019-02-25,35.022457122802734,33.1983757019043,33.28619384765625,0.054944899632357824,0.05216166447545745
14,14,14,14,2019-02-26,35.1981086730957,32.928131103515625,32.91462707519531,0.06893733393018842,0.06937589153550627
15,15,15,15,2019-02-27,35.34674072265625,33.09703826904297,32.99569320678711,0.06797292359895302,0.07125316328815723
16,16,16,16,2019-02-28,35.40754318237305,34.12392807006836,33.029476165771484,0.037616276463511955,0.07199832672689976
17,17,17,17,2019-03-01,35.637237548828125,34.02935028076172,33.549678802490234,0.04725001373227555,0.06222291303077809
18,18,18,18,2019-03-04,35.44132232666016,34.792755126953125,33.10379409790039,0.018640869265469817,0.07061209424656334
19,19,19,19,2019-03-05,35.725067138671875,35.022457122802734,33.1983757019043,0.020061699651897857,0.07610888735808374
20,20,20,20,2019-03-06,36.934364318847656,35.1981086730957,32.928131103515625,0.04932809492343804,0.12166597620550346
