,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LNT,LNT_6m,LNT_12m,LNT_6m_ret,LNT_12m_ret
0,0,0,0,2019-02-05,38.06188201904297,,,,
1,1,1,1,2019-02-06,37.95033264160156,,,,
2,2,2,2,2019-02-07,38.38793563842773,,,,
3,3,3,3,2019-02-08,38.61101531982422,,,,
4,4,4,4,2019-02-11,38.5423698425293,,,,
5,5,5,5,2019-02-12,38.56811141967773,,,,
6,6,6,6,2019-02-13,38.52521133422852,38.06188201904297,,0.012173053212495955,
7,7,7,7,2019-02-14,38.50804138183594,37.95033264160156,,0.014695753671023493,
8,8,8,8,2019-02-15,38.593849182128906,38.38793563842773,,0.005364017113101749,
9,9,9,9,2019-02-19,38.73971557617188,38.61101531982422,,0.0033332523188422947,
10,10,10,10,2019-02-20,38.75687789916992,38.5423698425293,,0.0055655129022171845,
11,11,11,11,2019-02-21,39.15156555175781,38.56811141967773,,0.015127889611478373,
12,12,12,12,2019-02-22,39.19447326660156,38.52521133422852,38.06188201904297,0.017372050903674552,0.02975657501623119
13,13,13,13,2019-02-25,38.90274429321289,38.50804138183594,37.95033264160156,0.010249882809234112,0.025096266233178843
14,14,14,14,2019-02-26,39.00570297241211,38.593849182128906,38.38793563842773,0.010671487789145173,0.01609274694537044
15,15,15,15,2019-02-27,38.99712371826172,38.73971557617188,38.61101531982422,0.006644554258115498,0.009999954552846413
16,16,16,16,2019-02-28,39.35749053955078,38.75687789916992,38.5423698425293,0.015496930427250089,0.02114869169570488
17,17,17,17,2019-03-01,39.35749053955078,39.15156555175781,38.56811141967773,0.005259687189794304,0.02046714476847078
18,18,18,18,2019-03-04,39.70927810668945,39.19447326660156,38.52521133422852,0.013134628359110279,0.030734854695240177
19,19,19,19,2019-03-05,39.38323211669922,38.90274429321289,38.50804138183594,0.012351000738273221,0.022727479857651334
20,20,20,20,2019-03-06,39.48619842529297,39.00570297241211,38.593849182128906,0.012318594878823363,0.023121540402797347
21,21,21,21,2019-03-07,39.63206100463867,38.99712371826172,38.73971557617188,0.016281644024931596,0.023034382550181975
22,22,22,22,2019-03-08,39.68354034423828,39.35749053955078,38.75687789916992,0.008284313868025972,0.023909625730926143
23,23,23,23,2019-03-11,40.06106948852539,39.35749053955078,39.15156555175781,0.017876621180092034,0.02323033380530415
24,24,24,24,2019-03-12,40.455753326416016,39.70927810668945,39.19447326660156,0.018798508945968795,0.032180048733789546
25,25,25,25,2019-03-13,40.447174072265625,39.38323211669922,38.90274429321289,0.02701510004089469,0.039699764299717666
26,26,26,26,2019-03-14,40.26700210571289,39.48619842529297,39.00570297241211,0.019774090987694892,0.03233627488249269
27,27,27,27,2019-03-15,40.67026901245117,39.63206100463867,38.99712371826172,0.026196164960762047,0.04290432561840318
28,28,28,28,2019-03-18,40.41286087036133,39.68354034423828,39.35749053955078,0.018378413815816064,0.026814980232288788
29,29,29,29,2019-03-19,39.86372756958008,40.06106948852539,39.35749053955078,-0.004926027224556151,0.012862533232919748
30,30,30,30,2019-03-20,39.9666862487793,40.455753326416016,39.70927810668945,-0.012088937602785288,0.00648231734151028
31,31,31,31,2019-03-21,40.43001937866211,40.447174072265625,39.38323211669922,-0.00042412588758034,0.02657951635003153
32,32,32,32,2019-03-22,40.7989616394043,40.26700210571289,39.48619842529297,0.013210805519985103,0.03324612817805317
33,33,33,33,2019-03-25,40.83328628540039,40.67026901245117,39.63206100463867,0.004008266404613936,0.030309432573317974
34,34,34,34,2019-03-26,41.06495666503906,40.41286087036133,39.68354034423828,0.01613584835702575,0.03481081347121662
35,35,35,35,2019-03-27,40.82471084594727,39.86372756958008,40.06106948852539,0.02410670890447575,0.01906193137556178
36,36,36,36,2019-03-28,40.241249084472656,39.9666862487793,40.455753326416016,0.006869792356171356,-0.00530219373775187
37,37,37,37,2019-03-29,40.438602447509766,40.43001937866211,40.447174072265625,0.00021229445297232807,-0.00021192147418125362
38,38,38,38,2019-04-01,40.1983528137207,40.7989616394043,40.26700210571289,-0.014721179205294144,-0.0017048523208149646
39,39,39,39,2019-04-02,39.9409408569336,40.83328628540039,40.67026901245117,-0.02185338261118208,-0.017932710385915707
40,40,40,40,2019-04-03,39.92379379272461,41.06495666503906,40.41286087036133,-0.02778921408885815,-0.012101768276331026
41,41,41,41,2019-04-04,39.743595123291016,40.82471084594727,39.86372756958008,-0.026481895407315048,-0.003013577846662119
42,42,42,42,2019-04-05,40.10396957397461,40.241249084472656,39.9666862487793,-0.0034114127573394715,0.003434943901547749
43,43,43,43,2019-04-08,39.77792739868164,40.438602447509766,40.43001937866211,-0.016337731989766402,-0.016128905946669603
44,44,44,44,2019-04-09,39.8465690612793,40.1983528137207,40.7989616394043,-0.008751198191417786,-0.023343549439875044
45,45,45,45,2019-04-10,39.71785736083984,39.9409408569336,40.83328628540039,-0.005585334028380462,-0.027316658198029198
46,46,46,46,2019-04-11,40.00959014892578,39.92379379272461,41.06495666503906,0.0021490030894009138,-0.02569993010638616
47,47,47,47,2019-04-12,40.164024353027344,39.743595123291016,40.82471084594727,0.010578540477581111,-0.016183494732223358
