,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AON,AON_6m,AON_12m,AON_6m_ret,AON_12m_ret
0,0,0,0,2019-02-05,161.94309997558594,,,,
1,1,1,1,2019-02-06,161.55921936035156,,,,
2,2,2,2,2019-02-07,160.14849853515625,,,,
3,3,3,3,2019-02-08,161.38644409179688,,,,
4,4,4,4,2019-02-11,163.8720245361328,,,,
5,5,5,5,2019-02-12,164.37100219726562,,,,
6,6,6,6,2019-02-13,165.98326110839844,161.94309997558594,,0.024948028865827476,
7,7,7,7,2019-02-14,162.77796936035156,161.55921936035156,,0.007543673489048164,
8,8,8,8,2019-02-15,165.033203125,160.14849853515625,,0.030501095136845402,
9,9,9,9,2019-02-19,165.69532775878906,161.38644409179688,,0.026699167276659885,
10,10,10,10,2019-02-20,165.82969665527344,163.8720245361328,,0.011946347307797867,
11,11,11,11,2019-02-21,165.44583129882812,164.37100219726562,,0.006539043305659131,
12,12,12,12,2019-02-22,165.1195526123047,165.98326110839844,161.94309997558594,-0.005203587942097854,0.019614621661544263
13,13,13,13,2019-02-25,164.26544189453125,162.77796936035156,161.55921936035156,0.009138045768876557,0.01675065369153317
14,14,14,14,2019-02-26,164.43820190429688,165.033203125,160.14849853515625,-0.0036053424973667703,0.026785785744965596
15,15,15,15,2019-02-27,164.28463745117188,165.69532775878906,161.38644409179688,-0.008513760325642994,0.01795809663992909
16,16,16,16,2019-02-28,164.61090087890625,165.82969665527344,163.8720245361328,-0.007349683446028488,0.004508861990720758
17,17,17,17,2019-03-01,164.72607421875,165.44583129882812,164.37100219726562,-0.004350409281561718,0.0021601865094078576
18,18,18,18,2019-03-04,163.74722290039062,165.1195526123047,165.98326110839844,-0.008311127847688948,-0.013471468105133333
19,19,19,19,2019-03-05,150.90692138671875,164.26544189453125,162.77796936035156,-0.08132276852479725,-0.07292785393675205
20,20,20,20,2019-03-06,157.38465881347656,164.43820190429688,165.033203125,-0.042894795790369145,-0.0463454878575571
21,21,21,21,2019-03-07,155.9931640625,164.28463745117188,165.69532775878906,-0.05047016883204458,-0.05855423823665673
22,22,22,22,2019-03-08,155.5037384033203,164.61090087890625,165.82969665527344,-0.0553253911312076,-0.06226845046589402
23,23,23,23,2019-03-11,158.06605529785156,164.72607421875,165.44583129882812,-0.04043087260159062,-0.04460539103972472
24,24,24,24,2019-03-12,159.7646026611328,163.74722290039062,165.1195526123047,-0.02432175745466225,-0.03243074406666502
25,25,25,25,2019-03-13,160.3500518798828,150.90692138671875,164.26544189453125,0.0625758607119471,-0.023835750048767812
26,26,26,26,2019-03-14,161.7799072265625,157.38465881347656,164.43820190429688,0.027926790617470054,-0.01616591915351584
27,27,27,27,2019-03-15,163.1426239013672,155.9931640625,164.28463745117188,0.0458318791200536,-0.0069514323890699226
28,28,28,28,2019-03-18,162.3748779296875,155.5037384033203,164.61090087890625,0.044186330161053444,-0.013583686968967168
29,29,29,29,2019-03-19,161.1849822998047,158.06605529785156,164.72607421875,0.019731795014913178,-0.021496851277126194
30,30,30,30,2019-03-20,159.02566528320312,159.7646026611328,163.74722290039062,-0.004625163306649416,-0.028834428661179023
31,31,31,31,2019-03-21,161.41525268554688,160.3500518798828,150.90692138671875,0.006642971381524809,0.06963452174535556
32,32,32,32,2019-03-22,159.60147094726562,161.7799072265625,157.38465881347656,-0.013465431626475843,0.014085312701387798
33,33,33,33,2019-03-25,159.9181671142578,163.1426239013672,155.9931640625,-0.019764649544062873,0.0251613785472371
34,34,34,34,2019-03-26,160.99295043945312,162.3748779296875,155.5037384033203,-0.008510722273385118,0.035299550303387495
35,35,35,35,2019-03-27,161.2041015625,161.1849822998047,158.06605529785156,0.00011861689856296209,0.0198527524378036
36,36,36,36,2019-03-28,162.34613037109375,159.02566528320312,159.7646026611328,0.02088005783203184,0.01615832084805713
37,37,37,37,2019-03-29,163.81439208984375,161.41525268554688,160.3500518798828,0.014863151804932917,0.021604858678536898
38,38,38,38,2019-04-01,166.4438934326172,159.60147094726562,161.7799072265625,0.042871926209329114,0.028829205591786256
39,39,39,39,2019-04-02,166.15599060058594,159.9181671142578,163.1426239013672,0.039006346801557124,0.018470750482967313
40,40,40,40,2019-04-03,165.7720947265625,160.99295043945312,162.3748779296875,0.029685425815627386,0.020922059127558512
41,41,41,41,2019-04-04,165.58016967773438,161.2041015625,161.1849822998047,0.027146133831698727,0.027267970720464607
42,42,42,42,2019-04-05,165.62818908691406,162.34613037109375,159.02566528320312,0.020216427138227022,0.04151860513806205
43,43,43,43,2019-04-08,165.82008361816406,163.81439208984375,161.41525268554688,0.012243683248662984,0.027288814776372128
44,44,44,44,2019-04-09,165.0619659423828,166.4438934326172,159.60147094726562,-0.008302662607407862,0.034213312463275525
45,45,45,45,2019-04-10,165.86810302734375,166.15599060058594,159.9181671142578,-0.001732634328750926,0.037206128737298894
46,46,46,46,2019-04-11,166.87571716308594,165.7720947265625,160.99295043945312,0.006657468124196875,0.03654052371594507
47,47,47,47,2019-04-12,169.01576232910156,165.58016967773438,161.2041015625,0.020748817071837955,0.04845820106861809
48,48,48,48,2019-04-15,168.86224365234375,165.62818908691406,162.34613037109375,0.01952599121718701,0.04013716413415791
49,49,49,49,2019-04-16,169.79310607910156,165.82008361816406,163.81439208984375,0.023959838725484017,0.03649687865019091
50,50,50,50,2019-04-17,168.29605102539062,165.0619659423828,166.4438934326172,0.01959315742147849,0.011127819438586206
51,51,51,51,2019-04-18,168.10414123535156,165.86810302734375,166.15599060058594,0.013480821008962751,0.01172482934695207
52,52,52,52,2019-04-22,167.83538818359375,166.87571716308594,165.7720947265625,0.005750812861345933,0.012446566838855588
53,53,53,53,2019-04-23,171.1846466064453,169.01576232910156,165.58016967773438,0.012832437918544937,0.03384751289734056
54,54,54,54,2019-04-24,171.0982208251953,168.86224365234375,165.62818908691406,0.0132414275949988,0.03302597081110892
55,55,55,55,2019-04-25,172.3650360107422,169.79310607910156,165.82008361816406,0.015147434374882307,0.03947020318509353
56,56,56,56,2019-04-26,172.90243530273438,168.29605102539062,165.0619659423828,0.02737072111483352,0.04750015738385427
57,57,57,57,2019-04-29,171.36695861816406,168.10414123535156,165.86810302734375,0.01940950031828459,0.03315197732691155
58,58,58,58,2019-04-30,173.30067443847656,167.83538818359375,166.87571716308594,0.03256337244505536,0.03850145116746728
59,59,59,59,2019-05-01,169.0484619140625,171.1846466064453,169.01576232910156,-0.012478833439390824,0.00019347062374719393
60,60,60,60,2019-05-02,169.77963256835938,171.0982208251953,168.86224365234375,-0.007706615828478314,0.005432765171025311
61,61,61,61,2019-05-03,171.96337890625,172.3650360107422,169.79310607910156,-0.002330270185811667,0.012781866574355316
62,62,62,62,2019-05-06,172.85809326171875,172.90243530273438,168.29605102539062,-0.0002564570067390415,0.027107244694885013
63,63,63,63,2019-05-07,170.0778045654297,171.36695861816406,168.10414123535156,-0.007522769051453104,0.01174071807853272
64,64,64,64,2019-05-08,170.6839141845703,173.30067443847656,167.83538818359375,-0.015099538777820665,0.016972141762263915
65,65,65,65,2019-05-09,169.8084716796875,169.0484619140625,171.1846466064453,0.004495810000397116,-0.008039125903163802
66,66,66,66,2019-05-10,172.30015563964844,169.77963256835938,171.0982208251953,0.014845850666299398,0.007024823570088934
67,67,67,67,2019-05-13,169.53909301757812,171.96337890625,172.3650360107422,-0.014097686984817503,-0.016395105750959482
68,68,68,68,2019-05-14,171.29002380371094,172.85809326171875,172.90243530273438,-0.009071426326759502,-0.009325556902655907
69,69,69,69,2019-05-15,172.08853149414062,170.0778045654297,171.36695861816406,0.011822394661364477,0.004210688465238865
70,70,70,70,2019-05-16,174.80140686035156,170.6839141845703,173.30067443847656,0.02412349573451178,0.008659703297391186
71,71,71,71,2019-05-17,173.68545532226562,169.8084716796875,169.0484619140625,0.022831508959643365,0.02742996508634543
72,72,72,72,2019-05-20,171.75173950195312,172.30015563964844,169.77963256835938,-0.0031829114469419384,0.01161568619133213
73,73,73,73,2019-05-21,173.50271606445312,169.53909301757812,171.96337890625,0.023378814740173448,0.008951540543073122
74,74,74,74,2019-05-22,174.08949279785156,171.29002380371094,172.85809326171875,0.01634344448074021,0.007123759801448193
75,75,75,75,2019-05-23,171.48240661621094,172.08853149414062,170.0778045654297,-0.0035221689247219023,0.008258585265550566
76,76,76,76,2019-05-24,171.03985595703125,174.80140686035156,170.6839141845703,-0.021518996733964513,0.0020853855746243433
77,77,77,77,2019-05-28,172.50213623046875,173.68545532226562,169.8084716796875,-0.006813000487584153,0.01586295739038479
78,78,78,78,2019-05-29,172.31936645507812,171.75173950195312,172.30015563964844,0.003304926953118459,0.00011149621634620743
79,79,79,79,2019-05-30,174.859130859375,173.50271606445312,169.53909301757812,0.007817830323866515,0.031379416670851645
80,80,80,80,2019-05-31,173.23330688476562,174.08949279785156,171.29002380371094,-0.00491807919780729,0.011344986928611744
81,81,81,81,2019-06-03,175.1862030029297,171.48240661621094,172.08853149414062,0.02159869609835896,0.018000452917424914
82,82,82,82,2019-06-04,175.86927795410156,171.03985595703125,174.80140686035156,0.02823565285440588,0.006109053198885883
83,83,83,83,2019-06-05,180.34274291992188,172.50213623046875,173.68545532226562,0.045452229524727716,0.038329562975229825
84,84,84,84,2019-06-06,180.6121063232422,172.31936645507812,171.75173950195312,0.04812424766154133,0.051588221737854933
85,85,85,85,2019-06-07,183.01719665527344,174.859130859375,173.50271606445312,0.04665507460665186,0.054837646387540406
86,86,86,86,2019-06-10,183.6232452392578,173.23330688476562,174.08949279785156,0.059976563060148314,0.054763514375198996
87,87,87,87,2019-06-11,182.25718688964844,175.1862030029297,171.48240661621094,0.04036267563034346,0.06283315289335878
88,88,88,88,2019-06-12,182.0455017089844,175.86927795410156,171.03985595703125,0.03511826412623753,0.06434550409536133
89,89,89,89,2019-06-13,182.4784393310547,180.34274291992188,172.50213623046875,0.011842430566119999,0.0578329249630698
90,90,90,90,2019-06-14,183.5174102783203,180.6121063232422,172.31936645507812,0.016085876047968295,0.06498424439229478
91,91,91,91,2019-06-17,181.6414489746093,183.01719665527344,174.859130859375,-0.007517040506611394,0.038787326014383394
92,92,92,92,2019-06-18,182.91134643554688,183.6232452392578,173.23330688476562,-0.0038769536110928593,0.055867083096318604
93,93,93,93,2019-06-19,184.7103576660156,182.25718688964844,175.1862030029297,0.013459939869764792,0.05436589468707553
94,94,94,94,2019-06-20,186.17263793945312,182.0455017089844,175.86927795410156,0.022670904755813792,0.05858533170324698
95,95,95,95,2019-06-21,184.72959899902344,182.4784393310547,180.34274291992188,0.012336578919796004,0.024325104565197098
96,96,96,96,2019-06-24,186.17263793945312,183.5174102783203,180.6121063232422,0.014468532751775065,0.030787147824184125
97,97,97,97,2019-06-25,185.91290283203125,181.6414489746093,183.01719665527344,0.023515854346763287,0.015822044210479724
98,98,98,98,2019-06-26,182.68045043945312,182.91134643554688,183.6232452392578,-0.0012623382889760393,-0.005134397873081009
99,99,99,99,2019-06-27,185.2587280273437,184.7103576660156,182.25718688964844,0.0029688121892961217,0.01646871209261347
100,100,100,100,2019-06-28,185.65313720703125,186.17263793945312,182.0455017089844,-0.0027904247271332006,0.01981721857546348
101,101,101,101,2019-07-01,187.73117065429688,184.72959899902344,182.4784393310547,0.01624846083972331,0.028785490178993678
102,102,102,102,2019-07-02,188.4911346435547,186.17263793945312,183.5174102783203,0.012453477212132524,0.027102193506824745
103,103,103,103,2019-07-03,190.9443359375,185.91290283203125,181.6414489746093,0.027063388440632163,0.0512156614880952
