,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VRTX,VRTX_6m,VRTX_12m,VRTX_6m_ret,VRTX_12m_ret
0,0,0,0,2019-02-05,187.0200042724609,,,,
1,1,1,1,2019-02-06,182.38999938964844,,,,
2,2,2,2,2019-02-07,180.17999267578125,,,,
3,3,3,3,2019-02-08,181.33999633789065,,,,
4,4,4,4,2019-02-11,181.52999877929688,,,,
5,5,5,5,2019-02-12,184.009994506836,,,,
6,6,6,6,2019-02-13,185.25,187.0200042724609,,-0.009464251053498351,
7,7,7,7,2019-02-14,185.72000122070312,182.38999938964844,,0.018257590011504066,
8,8,8,8,2019-02-15,188.07000732421875,180.17999267578125,,0.04378962686847765,
9,9,9,9,2019-02-19,186.8600006103516,181.33999633789065,,0.03044008152606059,
10,10,10,10,2019-02-20,187.83999633789065,181.52999877929688,,0.0347600815348732,
11,11,11,11,2019-02-21,183.0599975585937,184.009994506836,,-0.00516274646270376,
12,12,12,12,2019-02-22,185.759994506836,185.25,187.0200042724609,0.0027530067845398243,-0.006737299416319509
13,13,13,13,2019-02-25,186.3300018310547,185.72000122070312,182.38999938964844,0.0032845175874549604,0.021602074974456542
14,14,14,14,2019-02-26,188.9199981689453,188.07000732421875,180.17999267578125,0.004519544912130691,0.04850708096592604
15,15,15,15,2019-02-27,189.8099975585937,186.8600006103516,181.33999633789065,0.01578720399553868,0.04670784929829219
16,16,16,16,2019-02-28,188.75,187.83999633789065,181.52999877929688,0.004844568142305494,0.03977304726080644
17,17,17,17,2019-03-01,192.1600036621093,183.0599975585937,184.009994506836,0.04971051144367511,0.04429112221385623
18,18,18,18,2019-03-04,190.0399932861328,185.759994506836,185.25,0.023040476452745207,0.025856913825278438
19,19,19,19,2019-03-05,187.8000030517578,186.3300018310547,185.72000122070312,0.007889235261404615,0.011199665180827267
20,20,20,20,2019-03-06,181.1100006103516,188.9199981689453,188.07000732421875,-0.04134023731891778,-0.03700753146602809
