,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CMA,CMA_6m,CMA_12m,CMA_6m_ret,CMA_12m_ret
0,0,0,0,2019-02-05,62.65524291992188,,,,
1,1,1,1,2019-02-06,62.67098617553711,,,,
2,2,2,2,2019-02-07,65.70219421386719,,,,
3,3,3,3,2019-02-08,64.8282470703125,,,,
4,4,4,4,2019-02-11,65.39513397216797,,,,
5,5,5,5,2019-02-12,66.33992767333984,,,,
6,6,6,6,2019-02-13,66.5052719116211,62.65524291992188,,0.061447834407406976,
7,7,7,7,2019-02-14,65.8675308227539,62.67098617553711,,0.05100517547726935,
8,8,8,8,2019-02-15,68.00117492675781,65.70219421386719,,0.03499092747811772,
9,9,9,9,2019-02-19,68.84361267089844,64.8282470703125,,0.06193851881003187,
10,10,10,10,2019-02-20,69.52859497070312,65.39513397216797,,0.06320747045635455,
11,11,11,11,2019-02-21,69.0798110961914,66.33992767333984,,0.041300669430073045,
12,12,12,12,2019-02-22,69.36322784423828,66.5052719116211,62.65524291992188,0.042973374147167176,0.10706182933309671
13,13,13,13,2019-02-25,68.59168243408203,65.8675308227539,62.67098617553711,0.04135803448680475,0.09447268377046858
14,14,14,14,2019-02-26,68.00117492675781,68.00117492675781,65.70219421386719,0.0,0.03499092747811772
15,15,15,15,2019-02-27,69.14279174804688,68.84361267089844,64.8282470703125,0.004345778287067059,0.06655346816727636
16,16,16,16,2019-02-28,68.58379364013672,69.52859497070312,65.39513397216797,-0.013588672846970518,0.04875989197186814
17,17,17,17,2019-03-01,68.386962890625,69.0798110961914,66.33992767333984,-0.01002967718892045,0.03085675985908254
18,18,18,18,2019-03-04,68.1192626953125,69.36322784423828,66.5052719116211,-0.017934072383701927,0.024268614160938062
19,19,19,19,2019-03-05,68.0090560913086,68.59168243408203,65.8675308227539,-0.008494125265601338,0.032512608895533424
20,20,20,20,2019-03-06,66.56038665771484,68.00117492675781,68.00117492675781,-0.021187696691929214,-0.021187696691929214
21,21,21,21,2019-03-07,65.19042205810547,69.14279174804688,68.84361267089844,-0.05716242561254481,-0.05306506255354093
22,22,22,22,2019-03-08,65.71794891357422,68.58379364013672,69.52859497070312,-0.041786033907657005,-0.05480689001028394
23,23,23,23,2019-03-11,64.94635772705078,68.386962890625,69.0798110961914,-0.05031083437755479,-0.05983591013856315
24,24,24,24,2019-03-12,64.74164581298828,68.1192626953125,69.36322784423828,-0.04958387317595914,-0.06662870478905913
25,25,25,25,2019-03-13,64.90699005126953,68.0090560913086,68.59168243408203,-0.04561254365704248,-0.053719230263138185
26,26,26,26,2019-03-14,65.21656036376953,66.56038665771484,68.00117492675781,-0.020189580641349125,-0.040949506622312226
27,27,27,27,2019-03-15,65.30387878417969,65.19042205810547,69.14279174804688,0.0017403895003638148,-0.05552152099753227
28,28,28,28,2019-03-18,65.80394744873047,65.71794891357422,68.58379364013672,0.0013086004140108187,-0.04053211471491747
29,29,29,29,2019-03-19,64.13702392578125,64.94635772705078,68.386962890625,-0.01246157335983189,-0.06214545558399642
30,30,30,30,2019-03-20,61.31913375854492,64.74164581298828,68.1192626953125,-0.052864149674686556,-0.09982681355762113
31,31,31,31,2019-03-21,59.81889724731445,64.90699005126953,68.0090560913086,-0.07839052157457971,-0.12042747414400334
32,32,32,32,2019-03-22,57.20737075805664,65.21656036376953,66.56038665771484,-0.12280913867641385,-0.14051925430896095
33,33,33,33,2019-03-25,56.985107421875,65.30387878417969,65.19042205810547,-0.12738556295862735,-0.12586687395453455
34,34,34,34,2019-03-26,57.81856155395508,65.80394744873047,65.71794891357422,-0.12135116819544922,-0.12020136797037961
35,35,35,35,2019-03-27,57.358192443847656,64.13702392578125,64.94635772705078,-0.10569295341452067,-0.11683742628176019
36,36,36,36,2019-03-28,58.02495956420898,61.31913375854492,64.74164581298828,-0.05372179925612364,-0.103745991694141
37,37,37,37,2019-03-29,58.1995964050293,59.81889724731445,64.90699005126953,-0.02707005506287319,-0.10333854090202177
38,38,38,38,2019-04-01,60.39042663574219,57.20737075805664,65.21656036376953,0.055640660207011416,-0.07400166002481268
39,39,39,39,2019-04-02,61.06511688232422,56.985107421875,65.30387878417969,0.0715978199399343,-0.064908271618352
