,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PEAK,PEAK_6m,PEAK_12m,PEAK_6m_ret,PEAK_12m_ret
30,30,30,30,2019-03-20,24.62702369689941,24.96415901184082,24.562803268432617,-0.013504773574847917,0.002614539870102295
31,31,31,31,2019-03-21,25.40564727783203,25.06850814819336,24.667160034179688,0.013448711333186036,0.029938073237011142
32,32,32,32,2019-03-22,25.40564727783203,25.12470054626465,24.44239997863769,0.011182092739774108,0.03940886737948013
33,33,33,33,2019-03-25,25.4377555847168,24.98823928833008,24.40226936340332,0.017989114446997023,0.04243401324249074
34,34,34,34,2019-03-26,25.5661849975586,24.45845413208008,24.378183364868164,0.04529030573627302,0.04873216412025538
35,35,35,35,2019-03-27,25.29326820373535,24.330020904541016,24.83572578430176,0.03959089484442457,0.018422752103455453
36,36,36,36,2019-03-28,25.4377555847168,24.62702369689941,24.96415901184082,0.03292041692880088,0.018971060577339882
37,37,37,37,2019-03-29,25.12470054626465,25.40564727783203,25.06850814819336,-0.011058436279737127,0.0022415533361261897
38,38,38,38,2019-04-01,25.02837562561035,25.40564727783203,25.12470054626465,-0.014849913017208283,-0.0038338733819702764
39,39,39,39,2019-04-02,25.084562301635746,25.4377555847168,24.98823928833008,-0.013884608722840919,0.0038547339087890986
40,40,40,40,2019-04-03,25.06850814819336,25.5661849975586,24.45845413208008,-0.019466214822929873,0.024942460092484797
41,41,41,41,2019-04-04,24.924022674560547,25.29326820373535,24.330020904541016,-0.014598569318941323,0.02441435510269807
42,42,42,42,2019-04-05,25.05245590209961,25.4377555847168,24.62702369689941,-0.015146764081996333,0.017275015058103138
43,43,43,43,2019-04-08,24.81966781616211,25.12470054626465,25.40564727783203,-0.012140750873462225,-0.02306492943327698
44,44,44,44,2019-04-09,24.715320587158203,25.02837562561035,25.40564727783203,-0.012508004639814274,-0.027172174876102462
45,45,45,45,2019-04-10,24.859806060791016,25.084562301635746,25.4377555847168,-0.008959942698704149,-0.022720146122994445
46,46,46,46,2019-04-11,24.77953720092773,25.06850814819336,25.5661849975586,-0.011527249470026923,-0.03076907237845572
47,47,47,47,2019-04-12,24.771509170532227,24.924022674560547,25.29326820373535,-0.006119136787015811,-0.020628375463399795
48,48,48,48,2019-04-15,24.73137283325196,25.05245590209961,25.4377555847168,-0.012816430856215533,-0.027769067483659593
