,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DXCM,DXCM_6m,DXCM_12m,DXCM_6m_ret,DXCM_12m_ret
0,0,0,0,2019-02-05,37.185001373291016,,,,
1,1,1,1,2019-02-06,36.290000915527344,,,,
2,2,2,2,2019-02-07,35.9900016784668,,,,
3,3,3,3,2019-02-08,36.38249969482422,,,,
4,4,4,4,2019-02-11,37.807498931884766,,,,
5,5,5,5,2019-02-12,38.182498931884766,,,,
6,6,6,6,2019-02-13,37.26250076293945,37.185001373291016,,0.002084157235075601,
7,7,7,7,2019-02-14,36.95750045776367,36.290000915527344,,0.01839348375300598,
8,8,8,8,2019-02-15,37.122501373291016,35.9900016784668,,0.03146706424028323,
9,9,9,9,2019-02-19,36.97499847412109,36.38249969482422,,0.016285268584257162,
10,10,10,10,2019-02-20,36.3849983215332,37.807498931884766,,-0.03762482709883519,
11,11,11,11,2019-02-21,36.5625,38.182498931884766,,-0.042427787001965034,
12,12,12,12,2019-02-22,34.21500015258789,37.26250076293945,37.185001373291016,-0.08178465073344043,-0.07987094556990915
13,13,13,13,2019-02-25,35.224998474121094,36.95750045776367,36.290000915527344,-0.046878223964917254,-0.02934699406277963
14,14,14,14,2019-02-26,34.897499084472656,37.122501373291016,35.9900016784668,-0.05993675551236455,-0.030355725008142986
15,15,15,15,2019-02-27,35.022499084472656,36.97499847412109,36.38249969482422,-0.05280593563823921,-0.03738062589869373
16,16,16,16,2019-02-28,34.83250045776367,36.3849983215332,37.807498931884766,-0.04266862540572769,-0.07868805285112745
17,17,17,17,2019-03-01,35.872501373291016,36.5625,38.182498931884766,-0.018871757311698767,-0.060498857414090224
18,18,18,18,2019-03-04,35.375,34.21500015258789,37.26250076293945,0.03390325419374207,-0.050654162342660736
19,19,19,19,2019-03-05,36.74250030517578,35.224998474121094,36.95750045776367,0.04308025257033177,-0.005817497123042692
20,20,20,20,2019-03-06,35.852500915527344,34.897499084472656,37.122501373291016,0.027365910340538147,-0.03421106904928062
21,21,21,21,2019-03-07,35.76750183105469,35.022499084472656,36.97499847412109,0.021272118382674954,-0.03265711136976868
22,22,22,22,2019-03-08,35.810001373291016,34.83250045776367,36.3849983215332,0.028062898232431355,-0.015803132465774916
23,23,23,23,2019-03-11,36.022499084472656,35.872501373291016,36.5625,0.0041814120967131885,-0.01476925580929489
24,24,24,24,2019-03-12,35.9474983215332,35.375,34.21500015258789,0.016183698135214142,0.05063563236062918
25,25,25,25,2019-03-13,36.8650016784668,36.74250030517578,35.224998474121094,0.003334051092700463,0.046557935426188024
26,26,26,26,2019-03-14,36.712501525878906,35.852500915527344,34.897499084472656,0.023987186064866828,0.05200952758857791
27,27,27,27,2019-03-15,37.75,35.76750183105469,35.022499084472656,0.05542735912363983,0.07787853485123208
28,28,28,28,2019-03-18,36.53749847412109,35.810001373291016,34.83250045776367,0.020315472575565874,0.04894848184742928
29,29,29,29,2019-03-19,36.73500061035156,36.022499084472656,35.872501373291016,0.01977934746304233,0.024043465162502553
30,30,30,30,2019-03-20,36.540000915527344,35.9474983215332,35.375,0.016482443053324358,0.032932888071444344
31,31,31,31,2019-03-21,35.540000915527344,36.8650016784668,36.74250030517578,-0.03594196941847416,-0.03272775068818723
32,32,32,32,2019-03-22,32.25749969482422,36.712501525878906,35.852500915527344,-0.12134835943865951,-0.10027197905031415
33,33,33,33,2019-03-25,31.020000457763672,37.75,35.76750183105469,-0.1782781335691742,-0.1327322605787653
34,34,34,34,2019-03-26,30.237499237060547,36.53749847412109,35.810001373291016,-0.17242557646694745,-0.15561301096142188
35,35,35,35,2019-03-27,28.88500022888184,36.73500061035156,36.022499084472656,-0.21369267050611318,-0.1981400246233167
36,36,36,36,2019-03-28,29.59499931335449,36.540000915527344,35.9474983215332,-0.19006572052989845,-0.17671602489159732
