,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CI,CI_6m,CI_12m,CI_6m_ret,CI_12m_ret
0,0,0,0,2019-02-05,176.8607177734375,,,,
1,1,1,1,2019-02-06,177.8377227783203,,,,
2,2,2,2,2019-02-07,176.3959197998047,,,,
3,3,3,3,2019-02-08,172.04197692871094,,,,
4,4,4,4,2019-02-11,173.48377990722656,,,,
5,5,5,5,2019-02-12,175.59915161132812,,,,
6,6,6,6,2019-02-13,179.08987426757812,176.8607177734375,,0.012604022658079694,
7,7,7,7,2019-02-14,182.33399963378903,177.8377227783203,,0.025283032110535064,
8,8,8,8,2019-02-15,187.69337463378903,176.3959197998047,,0.06404600994629606,
9,9,9,9,2019-02-19,188.0822906494141,172.04197692871094,,0.09323488375950117,
10,10,10,10,2019-02-20,184.1362152099609,173.48377990722656,,0.06140306205243462,
11,11,11,11,2019-02-21,182.00192260742188,175.59915161132812,,0.036462425571768486,
12,12,12,12,2019-02-22,183.8042449951172,179.08987426757812,176.8607177734375,0.026324049569074637,0.039259861144375297
13,13,13,13,2019-02-25,181.76483154296875,182.33399963378903,177.8377227783203,-0.003121568615636394,0.02208254077535443
14,14,14,14,2019-02-26,178.4732666015625,187.69337463378903,176.3959197998047,-0.04912324715891547,0.011776614811246366
15,15,15,15,2019-02-27,171.4254150390625,188.0822906494141,172.04197692871094,-0.08856163731757205,-0.0035837875189258517
16,16,16,16,2019-02-28,165.46836853027344,184.1362152099609,173.48377990722656,-0.10138063638595751,-0.04620265584044514
17,17,17,17,2019-03-01,169.08245849609375,182.00192260742188,175.59915161132812,-0.07098531667270025,-0.03711118792679846
18,18,18,18,2019-03-04,162.85032653808594,183.8042449951172,179.08987426757812,-0.11400127596393594,-0.09067820163427376
19,19,19,19,2019-03-05,161.36111450195312,181.76483154296875,182.33399963378903,-0.1122533818440683,-0.11502454382594118
20,20,20,20,2019-03-06,156.42852783203125,178.4732666015625,187.69337463378903,-0.12351843606216739,-0.1665740565577183
21,21,21,21,2019-03-07,155.3850860595703,171.4254150390625,188.0822906494141,-0.09357030855568937,-0.17384520614325916
22,22,22,22,2019-03-08,154.787353515625,165.46836853027344,184.1362152099609,-0.06455019233899251,-0.159386689146787
23,23,23,23,2019-03-11,155.2522735595703,169.08245849609375,182.00192260742188,-0.0817955041554056,-0.14697454106323127
24,24,24,24,2019-03-12,155.8879852294922,162.85032653808594,183.8042449951172,-0.042753007971190415,-0.15188038647511437
25,25,25,25,2019-03-13,159.39852905273438,161.36111450195312,181.76483154296875,-0.01216269145931681,-0.12305077005475085
26,26,26,26,2019-03-14,160.878662109375,156.42852783203125,178.4732666015625,0.028448354906990936,-0.09858397746182934
27,27,27,27,2019-03-15,157.9279022216797,155.3850860595703,171.4254150390625,0.016364608899045452,-0.07873694116072083
