,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TAP,TAP_6m,TAP_12m,TAP_6m_ret,TAP_12m_ret
0,0,0,0,2019-02-05,59.01070785522461,,,,
1,1,1,1,2019-02-06,58.26542282104492,,,,
2,2,2,2,2019-02-07,58.17669677734375,,,,
3,3,3,3,2019-02-08,57.61773300170898,,,,
4,4,4,4,2019-02-11,57.99037551879883,,,,
5,5,5,5,2019-02-12,52.51607894897461,,,,
6,6,6,6,2019-02-13,52.9508171081543,59.01070785522461,,-0.10269137529984385,
7,7,7,7,2019-02-14,53.09278106689453,58.26542282104492,,-0.08877721131514871,
8,8,8,8,2019-02-15,54.0421257019043,58.17669677734375,,-0.07106919616394614,
9,9,9,9,2019-02-19,54.21958160400391,57.61773300170898,,-0.05897752689444191,
10,10,10,10,2019-02-20,54.4680061340332,57.99037551879883,,-0.06074058588607989,
11,11,11,11,2019-02-21,55.08020782470703,52.51607894897461,,0.04882559640874495,
12,12,12,12,2019-02-22,54.94712448120117,52.9508171081543,59.01070785522461,0.03770116274068691,-0.06886179681140125
13,13,13,13,2019-02-25,54.157474517822266,53.09278106689453,58.26542282104492,0.02005345038502071,-0.0705040503325568
14,14,14,14,2019-02-26,54.157474517822266,54.0421257019043,58.17669677734375,0.0021344241074867654,-0.06908646386205142
15,15,15,15,2019-02-27,54.21958160400391,54.21958160400391,57.61773300170898,0.0,-0.05897752689444191
16,16,16,16,2019-02-28,54.70757675170898,54.4680061340332,57.99037551879883,0.004398373186017546,-0.056609372464326624
17,17,17,17,2019-03-01,54.85047149658203,55.08020782470703,52.51607894897461,-0.0041709415631860924,0.04445100613615027
18,18,18,18,2019-03-04,54.70756912231445,54.94712448120117,52.9508171081543,-0.004359743319574005,0.033177052028714016
19,19,19,19,2019-03-05,54.56465530395508,54.157474517822266,53.09278106689453,0.00751845963568365,0.02772268107798026
20,20,20,20,2019-03-06,53.73399353027344,54.157474517822266,54.0421257019043,-0.007819437507365135,-0.0057017033958011165
21,21,21,21,2019-03-07,53.62681579589844,54.21958160400391,54.21958160400391,-0.010932688718160444,-0.010932688718160444
22,22,22,22,2019-03-08,53.099830627441406,54.70757675170898,54.4680061340332,-0.02938799741696374,-0.025118883610775744
