,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HSY,HSY_6m,HSY_12m,HSY_6m_ret,HSY_12m_ret
0,0,0,0,2019-02-05,95.85740661621094,,,,
1,1,1,1,2019-02-06,95.8935546875,,,,
2,2,2,2,2019-02-07,96.63436889648438,,,,
3,3,3,3,2019-02-08,97.95343780517578,,,,
4,4,4,4,2019-02-11,98.14315795898438,,,,
5,5,5,5,2019-02-12,99.10987854003906,,,,
6,6,6,6,2019-02-13,98.60393524169922,95.85740661621094,,0.028652231710009524,
7,7,7,7,2019-02-14,97.75467681884766,95.8935546875,,0.019408208793726844,
8,8,8,8,2019-02-15,98.79364776611328,96.63436889648438,,0.022344833357808236,
9,9,9,9,2019-02-19,99.100830078125,97.95343780517578,,0.011713649859143471,
10,10,10,10,2019-02-20,99.9952621459961,98.14315795898438,,0.01887145497993603,
11,11,11,11,2019-02-21,101.12471771240234,99.10987854003906,,0.020329347609373993,
12,12,12,12,2019-02-22,100.2335205078125,98.60393524169922,95.85740661621094,0.0165265743412657,0.04565232928867391
13,13,13,13,2019-02-25,99.5514907836914,97.75467681884766,95.8935546875,0.018380849114497888,0.03814579726564493
14,14,14,14,2019-02-26,99.79700469970705,98.79364776611328,96.63436889648438,0.010156087524666901,0.03272785696578118
15,15,15,15,2019-02-27,99.65151977539062,99.100830078125,97.95343780517578,0.005556862609843893,0.017335603611914552
16,16,16,16,2019-02-28,100.65184020996094,99.9952621459961,98.14315795898438,0.006566091731488477,0.025561458415929383
17,17,17,17,2019-03-01,102.06141662597656,101.12471771240234,99.10987854003906,0.009262808685787105,0.029780463152773606
18,18,18,18,2019-03-04,100.615478515625,100.2335205078125,98.60393524169922,0.0038106813556721963,0.020400233205653207
19,19,19,19,2019-03-05,101.6249008178711,99.5514907836914,97.75467681884766,0.02082751366009039,0.03959119016060453
20,20,20,20,2019-03-06,101.56124114990234,99.79700469970705,98.79364776611328,0.01767825051968197,0.0280138799039098
21,21,21,21,2019-03-07,101.78861236572266,99.65151977539062,99.100830078125,0.02144565978671409,0.027121692981570078
22,22,22,22,2019-03-08,101.1611099243164,100.65184020996094,99.9952621459961,0.005059715880932902,0.01165903017103087
23,23,23,23,2019-03-11,101.29753112792967,102.06141662597656,101.12471771240234,-0.007484566874534915,0.0017089137001975452
24,24,24,24,2019-03-12,100.36084747314452,100.615478515625,100.2335205078125,-0.002530734298907489,0.001270303234755632
25,25,25,25,2019-03-13,100.7427749633789,101.6249008178711,99.5514907836914,-0.008680213681813154,0.011966512709246757
26,26,26,26,2019-03-14,100.37902069091795,101.56124114990234,99.79700469970705,-0.011640468800882986,0.005831998595170473
27,27,27,27,2019-03-15,100.75186920166016,101.78861236572266,99.65151977539062,-0.010185256876648618,0.011041973356248569
28,28,28,28,2019-03-18,100.50634002685548,101.1611099243164,100.65184020996094,-0.006472545605231028,-0.00144557896608688
29,29,29,29,2019-03-19,99.42415618896484,101.29753112792967,102.06141662597656,-0.01849378674983626,-0.025839935640678546
30,30,30,30,2019-03-20,99.85157012939452,100.36084747314452,100.615478515625,-0.005074462368268473,-0.007592354551211988
31,31,31,31,2019-03-21,101.3975601196289,100.7427749633789,101.6249008178711,0.006499574351490844,-0.002237057024534028
32,32,32,32,2019-03-22,101.8522491455078,100.37902069091795,101.56124114990234,0.014676656979212277,0.002865345010661491
33,33,33,33,2019-03-25,102.23419189453124,100.75186920166016,101.78861236572266,0.014712607365170882,0.004377498803182611
34,34,34,34,2019-03-26,102.98899841308594,100.50634002685548,101.1611099243164,0.024701510228778423,0.018069082972073547
35,35,35,35,2019-03-27,102.9617156982422,99.42415618896484,101.29753112792967,0.03558048310265671,0.016428678485863824
36,36,36,36,2019-03-28,103.9711456298828,99.85157012939452,100.36084747314452,0.04125699270577177,0.03597317328058991
37,37,37,37,2019-03-29,104.42584228515624,101.3975601196289,100.7427749633789,0.02986543425654986,0.03655912121853078
38,38,38,38,2019-04-01,103.52554321289062,101.8522491455078,100.37902069091795,0.016428641305626268,0.03134641581791553
39,39,39,39,2019-04-02,104.35308837890624,102.23419189453124,100.75186920166016,0.02072590828087084,0.03574344779686478
40,40,40,40,2019-04-03,104.4531021118164,102.98899841308594,100.50634002685548,0.014216117461964162,0.039268787261642846
