,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ORCL,ORCL_6m,ORCL_12m,ORCL_6m_ret,ORCL_12m_ret
0,0,0,0,2019-02-05,47.21368789672852,,,,
1,1,1,1,2019-02-06,47.23210906982422,,,,
2,2,2,2,2019-02-07,46.27382659912109,,,,
3,3,3,3,2019-02-08,47.02018356323242,,,,
4,4,4,4,2019-02-11,47.2044677734375,,,,
5,5,5,5,2019-02-12,47.195255279541016,,,,
6,6,6,6,2019-02-13,47.37953186035156,47.21368789672852,,0.003512624643637219,
7,7,7,7,2019-02-14,47.43481063842773,47.23210906982422,,0.004291605278600841,
8,8,8,8,2019-02-15,47.65596008300781,46.27382659912109,,0.029868579831540787,
9,9,9,9,2019-02-19,47.9323844909668,47.02018356323242,,0.019400199203979174,
10,10,10,10,2019-02-20,47.7020378112793,47.2044677734375,,0.010540740343264465,
11,11,11,11,2019-02-21,48.01531600952149,47.195255279541016,,0.01737591469996702,
12,12,12,12,2019-02-22,48.35624694824219,47.37953186035156,47.21368789672852,0.020614705328229954,0.024199741693824217
13,13,13,13,2019-02-25,48.42995834350586,47.43481063842773,47.23210906982422,0.020979270111641357,0.02536091013659436
14,14,14,14,2019-02-26,48.46681594848633,47.65596008300781,46.27382659912109,0.01701478396545064,0.04739157123018001
15,15,15,15,2019-02-27,48.26409530639648,47.9323844909668,47.02018356323242,0.00692039044066739,0.02645484659776476
16,16,16,16,2019-02-28,48.03375625610352,47.7020378112793,47.2044677734375,0.006953968007332945,0.01756800832171801
17,17,17,17,2019-03-01,48.383888244628906,48.01531600952149,47.195255279541016,0.007676138901893781,0.025185433536645263
18,18,18,18,2019-03-04,47.95082092285156,48.35624694824219,47.37953186035156,-0.008384149949117625,0.012057718598483369
19,19,19,19,2019-03-05,48.24567413330078,48.42995834350586,47.43481063842773,-0.0038051697029756193,0.017094270725646288
20,20,20,20,2019-03-06,48.2364616394043,48.46681594848633,47.65596008300781,-0.0047528253006524634,0.012181090369081993
21,21,21,21,2019-03-07,48.44839096069336,48.26409530639648,47.9323844909668,0.003818483556501162,0.010765299394270844
22,22,22,22,2019-03-08,48.62346267700195,48.03375625610352,47.7020378112793,0.012276916628261691,0.0193162579210564
23,23,23,23,2019-03-11,48.5221061706543,48.383888244628906,48.01531600952149,0.0028566932307416693,0.010554760506674699
24,24,24,24,2019-03-12,48.65108871459961,47.95082092285156,48.35624694824219,0.014603874934168815,0.006097283907764872
25,25,25,25,2019-03-13,48.89067077636719,48.24567413330078,48.42995834350586,0.013369004675617191,0.00951296364109111
26,26,26,26,2019-03-14,48.88145446777344,48.2364616394043,48.46681594848633,0.013371478886466504,0.008555101282655242
27,27,27,27,2019-03-15,48.78009796142578,48.44839096069336,48.26409530639648,0.006846605101943126,0.010691232307443954
28,28,28,28,2019-03-18,49.25922775268555,48.62346267700195,48.03375625610352,0.013075273554803868,0.025512714226389566
29,29,29,29,2019-03-19,49.79367065429688,48.5221061706543,48.383888244628906,0.02620587983486211,0.029137435225133457
30,30,30,30,2019-03-20,48.50367736816406,48.65108871459961,47.95082092285156,-0.0030299701472314977,0.011529655481852918
31,31,31,31,2019-03-21,49.79367065429688,48.89067077636719,48.24567413330078,0.018469778867631792,0.0320857061032882
32,32,32,32,2019-03-22,48.62346267700195,48.88145446777344,48.2364616394043,-0.005277907410500049,0.008022998048462071
33,33,33,33,2019-03-25,48.59580993652344,48.78009796142578,48.44839096069336,-0.003777934702961727,0.0030428043719692432
34,34,34,34,2019-03-26,49.093379974365234,49.25922775268555,48.62346267700195,-0.0033668367509328556,0.009664414492338125
35,35,35,35,2019-03-27,48.66030502319336,49.79367065429688,48.5221061706543,-0.022761238852466947,0.002848162692134837
36,36,36,36,2019-03-28,49.01045227050781,48.50367736816406,48.65108871459961,0.010448174856869219,0.007386547051728476
37,37,37,37,2019-03-29,49.48959732055664,49.79367065429688,48.89067077636719,-0.006106666364312341,0.012250323725952361
38,38,38,38,2019-04-01,50.29124069213867,48.62346267700195,48.88145446777344,0.03429986108178906,0.028840922180306094
39,39,39,39,2019-04-02,49.89501953125,48.59580993652344,48.78009796142578,0.026735012677504777,0.022856074842364515
40,40,40,40,2019-04-03,49.81209182739258,49.093379974365234,49.25922775268555,0.01463968977900132,0.011223563582498208
41,41,41,41,2019-04-04,49.590946197509766,48.66030502319336,49.79367065429688,0.01912526388547775,-0.004071289666403022
42,42,42,42,2019-04-05,49.69231033325195,49.01045227050781,48.50367736816406,0.013912502969380958,0.024506038089970872
43,43,43,43,2019-04-08,49.498809814453125,49.48959732055664,49.79367065429688,0.00018615010820988154,-0.005921653012706973
44,44,44,44,2019-04-09,49.60016250610352,50.29124069213867,48.62346267700195,-0.013741521913639643,0.020087006875459057
45,45,45,45,2019-04-10,49.95186614990234,49.89501953125,48.59580993652344,0.001139324509467965,0.027904797042177076
46,46,46,46,2019-04-11,49.7852783203125,49.81209182739258,49.093379974365234,-0.0005382931351887166,0.014093516199303213
47,47,47,47,2019-04-12,50.44242477416992,49.590946197509766,48.66030502319336,0.0171700409439437,0.03662368639339886
48,48,48,48,2019-04-15,50.5627326965332,49.69231033325195,49.01045227050781,0.017516238577838905,0.0316724362684464
49,49,49,49,2019-04-16,50.52571487426758,49.498809814453125,49.48959732055664,0.020746055585251888,0.02093606757395383
50,50,50,50,2019-04-17,50.42390060424805,49.60016250610352,50.29124069213867,0.016607568534541706,0.0026378333539525123
51,51,51,51,2019-04-18,50.460933685302734,49.95186614990234,49.89501953125,0.010191161504811808,0.011342097054362288
52,52,52,52,2019-04-22,50.55348205566406,49.7852783203125,49.81209182739258,0.015430339274373983,0.014883740093480258
53,53,53,53,2019-04-23,50.84964370727539,50.44242477416992,49.590946197509766,0.0080729452425925,0.025381598986889964
54,54,54,54,2019-04-24,51.0717887878418,50.5627326965332,49.69231033325195,0.010067812085312822,0.027760400861594814
55,55,55,55,2019-04-25,50.91444396972656,50.52571487426758,49.498809814453125,0.007693688182865532,0.028599357450814544
56,56,56,56,2019-04-26,51.284664154052734,50.42390060424805,49.60016250610352,0.017070546694917255,0.03396161550361709
